@relation data_sosial_lulus
@attribute JK{L,P}
@attribute JUR{AKU,EKO,HUK,KOM}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute SKS_S1{SKS1_B,SKS1_C,SKS1_K,SKS1_SB}
@attribute SKS_S2{SKS2_B,SKS2_C,SKS2_K,SKS2_SB}
@attribute IP_S1{IPS1_CUM,IPS1_KM,IPS1_M,IPS1_SM}
@attribute IP_S2{IPS2_CUM,IPS2_KM,IPS2_M,IPS2_SM}
@attribute STATUS_LULUS{LC,LLW_1,LLW_2,LTW}
@data
"P","AKU","G3","SMTA","PDG","PDG","SKS1_B","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"L","AKU","G6","SRJN","GRD","PS","SKS1_B","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"L","AKU","G4","SRJN","GRD","PNS","SKS1_B","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"L","AKU","G3","SRJN","LL","PS","SKS1_B","SKS2_SB","IPS1_SM","IPS2_CUM","LLW_1"
"P","AKU","G3","SD","BPN","BPN","SKS1_B","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"L","AKU","G5","SRJN","GRD","PSN","SKS1_B","SKS2_B","IPS1_SM","IPS2_SM","LLW_1"
"P","AKU","G3","SMP","BPN","BPN","SKS1_B","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"P","AKU","G4","SMTA","LL","GRD","SKS1_B","SKS2_B","IPS1_M","IPS2_SM","LTW"
"P","AKU","G3","SRJN","PNS","PNS","SKS1_B","SKS2_SB","IPS1_SM","IPS2_CUM","LLW_1"
"L","AKU","G5","SMTA","LL","PNS","SKS1_B","SKS2_B","IPS1_M","IPS2_SM","LLW_1"
"L","AKU","G3","SMP","LL","PSN","SKS1_B","SKS2_SB","IPS1_CUM","IPS2_M","LLW_1"
"P","AKU","G2","SMP","LL","LL","SKS1_B","SKS2_SB","IPS1_CUM","IPS2_CUM","LLW_1"
"P","AKU","G4","SRJN","LL","PNS","SKS1_B","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"P","AKU","G4","SRJN","PNS","PNS","SKS1_B","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"L","AKU","G3","SD","LL","LL","SKS1_B","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","AKU","G3","LL","GRD","PSN","SKS1_B","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","AKU","G3","SMTA","PSN","PNS","SKS1_B","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","AKU","G3","SMP","LL","PDG","SKS1_B","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","AKU","G4","SMP","PDG","PSN","SKS1_B","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","AKU","G1","SMTA","LL","LL","SKS1_B","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","AKU","G4","SMTA","PDG","GRD","SKS1_B","SKS2_SB","IPS1_SM","IPS2_CUM","LLW_1"
"P","AKU","G3","SRJN","PDG","PDG","SKS1_B","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"P","AKU","G2","LL","LL","BPN","SKS1_B","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"P","AKU","G4","SRJN","GRD","LL","SKS1_B","SKS2_SB","IPS1_CUM","IPS2_CUM","LC"
"P","AKU","G3","SMTA","PDG","PDG","SKS1_B","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"L","AKU","G4","SMTA","PDG","PSN","SKS1_B","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","AKU","G4","SRJN","LL","PSN","SKS1_B","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","AKU","G3","SMTA","LL","LL","SKS1_B","SKS2_SB","IPS1_SM","IPS2_CUM","LLW_1"
"P","AKU","G4","SRJN","GRD","PDG","SKS1_B","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"L","AKU","G5","SRJN","PS","LL","SKS1_B","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","AKU","G5","SRJN","GRD","GRD","SKS1_B","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"L","AKU","G3","SMP","PDG","PSN","SKS1_B","SKS2_SB","IPS1_SM","IPS2_CUM","LLW_1"
"P","AKU","G3","SMTA","LL","PS","SKS1_B","SKS2_B","IPS1_SM","IPS2_KM","LLW_1"
"L","AKU","G4","SRJN","PS","PNS","SKS1_B","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"P","AKU","G4","SMP","PDG","PDG","SKS1_B","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"L","AKU","G3","SMTA","LL","PSN","SKS1_B","SKS2_SB","IPS1_CUM","IPS2_CUM","LLW_1"
"P","AKU","G4","SMP","LL","LL","SKS1_B","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","AKU","G4","SMP","PDG","GRD","SKS1_B","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"P","AKU","G4","SRJN","GRD","PNS","SKS1_B","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"P","AKU","G2","SMP","LL","BPN","SKS1_B","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"L","AKU","G4","SMTA","LL","GRD","SKS1_B","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","AKU","G2","SMTA","PDG","PDG","SKS1_B","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"L","AKU","G5","SRJN","GRD","PSN","SKS1_B","SKS2_B","IPS1_M","IPS2_SM","LTW"
"L","AKU","G2","SMTA","LL","BPN","SKS1_B","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","AKU","G4","SMTA","LL","PS","SKS1_B","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"L","AKU","G7","SRJN","PDG","LL","SKS1_B","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","AKU","G7","SRJN","GRD","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"L","AKU","G5","SRJN","PNS","GRD","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LLW_1"
"P","AKU","G5","SRJN","PNS","PNS","SKS1_SB","SKS2_SB","IPS1_M","IPS2_SM","LLW_1"
"P","AKU","G4","SMTA","LL","PSN","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LTW"
"L","AKU","G4","SMTA","PSN","PSN","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LTW"
"L","AKU","G4","SMTA","PS","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LLW_1"
"P","AKU","G3","SRJN","LL","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","AKU","G3","SMP","BPN","BPN","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LTW"
"P","AKU","G5","SRJN","LL","GRD","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LTW"
"P","AKU","G4","SMTA","LL","LL","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LTW"
"P","AKU","G2","SMTA","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LTW"
"L","AKU","G4","SRJN","GRD","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","AKU","G3","SRJN","GRD","LL","SKS1_SB","SKS2_SB","IPS1_M","IPS2_SM","LLW_1"
"L","AKU","G4","SMTA","PSN","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","AKU","G4","SRJN","LL","PS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LLW_1"
"P","AKU","G2","SMP","LL","PDG","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"P","AKU","G4","SRJN","GRD","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"P","AKU","G4","SMTA","LL","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"P","AKU","G5","SRJN","LL","PNS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LTW"
"L","AKU","G7","SMTA","LL","GRD","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LTW"
"L","AKU","G4","SRJN","LL","PNS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LLW_1"
"L","AKU","G4","SRJN","LL","LL","SKS1_SB","SKS2_B","IPS1_M","IPS2_M","LLW_1"
"L","AKU","G5","SRJN","GRD","LL","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LTW"
"L","AKU","G2","SMTA","LL","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","AKU","G2","SMP","BPN","BPN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LLW_1"
"L","AKU","G4","SMTA","LL","PDG","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LTW"
"P","AKU","G4","SRJN","LL","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"P","AKU","G4","SRJN","GRD","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LTW"
"L","AKU","G5","LL","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","AKU","G3","SMTA","LL","LL","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"L","AKU","G7","SMTA","LL","PNS","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LLW_1"
"P","AKU","G3","SMTA","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","AKU","G3","SMTA","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","AKU","G7","SRJN","PNS","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","AKU","G4","SRJN","GRD","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_KM","LTW"
"P","AKU","G5","SRJN","PDG","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","AKU","G5","SRJN","GRD","PNS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LC"
"L","AKU","G7","SRJN","PS","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LTW"
"P","AKU","G4","SMTA","PNS","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","AKU","G2","SMP","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"P","AKU","G2","LL","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","AKU","G3","SRJN","GRD","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","AKU","G2","SMP","LL","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","AKU","G3","SRJN","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LTW"
"L","AKU","G5","SRJN","GRD","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LLW_1"
"P","AKU","G4","SRJN","LL","PS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LTW"
"P","AKU","G6","SRJN","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","AKU","G2","SD","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"P","AKU","G4","SRJN","GRD","GRD","SKS1_SB","SKS2_B","IPS1_SM","IPS2_M","LLW_1"
"L","AKU","G4","SRJN","PS","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","AKU","G4","SRJN","PSN","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","AKU","G2","LL","LL","BPN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LLW_1"
"P","AKU","G3","SMP","LL","PS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LLW_1"
"L","AKU","G7","SMTA","LL","PS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LTW"
"P","AKU","G3","SMTA","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","AKU","G3","SRJN","LL","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","AKU","G4","SRJN","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","AKU","G4","SRJN","GRD","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","AKU","G5","SMTA","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","AKU","G4","SRJN","GRD","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","AKU","G5","SRJN","PNS","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","AKU","G4","SRJN","GRD","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","AKU","G4","SMP","PDG","LL","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"P","AKU","G4","SRJN","LL","GRD","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LTW"
"P","AKU","G1","SD","LL","LL","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"P","AKU","G3","SMTA","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_KM","LLW_1"
"P","AKU","G1","SMTA","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"P","AKU","G3","SMTA","LL","PS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"L","AKU","G1","SMTA","LL","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LLW_1"
"P","AKU","G5","SMTA","PNS","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","AKU","G4","SRJN","GRD","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"P","AKU","G2","SD","LL","BPN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","AKU","G4","SMTA","PS","PDG","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"L","AKU","G5","SRJN","GRD","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"L","EKO","G3","SMP","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_2"
"P","EKO","G2","SMTA","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","EKO","G2","SMP","LL","PS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LTW"
"P","EKO","G5","SRJN","LL","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","EKO","G1","SMP","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","EKO","G3","SMTA","LL","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","EKO","G2","SMTA","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","EKO","G4","SRJN","GRD","GRD","SKS1_SB","SKS2_B","IPS1_M","IPS2_M","LLW_1"
"P","EKO","G3","LL","PDG","LL","SKS1_SB","SKS2_B","IPS1_SM","IPS2_SM","LLW_1"
"P","EKO","G4","SMTA","LL","GRD","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LTW"
"L","EKO","G3","SRJN","GRD","GRD","SKS1_SB","SKS2_B","IPS1_M","IPS2_M","LTW"
"L","EKO","G3","SRJN","GRD","GRD","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LLW_1"
"L","EKO","G3","SMTA","LL","PS","SKS1_SB","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"P","EKO","G3","SMTA","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","EKO","G1","SD","PDG","PDG","SKS1_SB","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"P","EKO","G3","SRJN","PNS","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","EKO","G4","SRJN","PNS","PDG","SKS1_SB","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"P","EKO","G4","SRJN","GRD","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","EKO","G1","SMTA","PDG","PDG","SKS1_SB","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"P","EKO","G1","SMTA","LL","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","EKO","G3","SMTA","LL","LL","SKS1_SB","SKS2_B","IPS1_M","IPS2_KM","LLW_1"
"L","EKO","G3","SMTA","BPN","PS","SKS1_SB","SKS2_B","IPS1_KM","IPS2_M","LTW"
"P","EKO","G2","SMTA","PDG","PDG","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LLW_1"
"P","EKO","G3","SRJN","PS","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","EKO","G3","SMTA","PDG","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","EKO","G3","SMTA","LL","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_KM","LTW"
"L","EKO","G3","SMTA","LL","PNS","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LC"
"L","EKO","G3","SMTA","LL","PS","SKS1_SB","SKS2_B","IPS1_KM","IPS2_M","LTW"
"L","EKO","G3","SRJN","GRD","BPN","SKS1_SB","SKS2_B","IPS1_M","IPS2_KM","LLW_1"
"P","EKO","G2","SD","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","EKO","G1","SD","LL","PDG","SKS1_SB","SKS2_B","IPS1_KM","IPS2_M","LLW_1"
"P","EKO","G2","SD","BPN","BPN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LC"
"P","EKO","G3","SMTA","LL","PNS","SKS1_SB","SKS2_B","IPS1_KM","IPS2_SM","LTW"
"P","EKO","G3","SMTA","PDG","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","EKO","G3","SMTA","PSN","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","EKO","G4","SMTA","LL","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","EKO","G4","SRJN","GRD","PDG","SKS1_SB","SKS2_B","IPS1_KM","IPS2_SM","LLW_2"
"L","EKO","G3","SMTA","PDG","PDG","SKS1_SB","SKS2_B","IPS1_KM","IPS2_SM","LTW"
"L","EKO","G3","SRJN","LL","GRD","SKS1_SB","SKS2_B","IPS1_KM","IPS2_M","LLW_1"
"P","EKO","G4","SRJN","PDG","PNS","SKS1_SB","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"L","EKO","G3","SRJN","GRD","PNS","SKS1_SB","SKS2_B","IPS1_SM","IPS2_KM","LLW_1"
"L","EKO","G2","SD","BPN","PDG","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LLW_1"
"L","EKO","G2","SD","PDG","PDG","SKS1_SB","SKS2_B","IPS1_M","IPS2_KM","LLW_1"
"P","EKO","G2","SD","PDG","BPN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","EKO","G3","SRJN","GRD","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LLW_1"
"P","EKO","G2","SMTA","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","EKO","G3","SMTA","PS","PDG","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LTW"
"L","EKO","G2","LL","BPN","BPN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","EKO","G2","SMP","PDG","LL","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LLW_1"
"P","EKO","G4","SRJN","LL","PNS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LLW_1"
"P","EKO","G1","LL","BPN","BPN","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LLW_1"
"P","EKO","G3","SMP","LL","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","EKO","G3","SRJN","GRD","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LLW_1"
"P","EKO","G4","SRJN","GRD","PS","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LLW_1"
"L","EKO","G3","SRJN","GRD","PDG","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_M","LLW_1"
"P","EKO","G2","SRJN","PNS","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","EKO","G3","SMP","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"L","EKO","G2","SMTA","LL","PSN","SKS1_SB","SKS2_B","IPS1_SM","IPS2_SM","LLW_2"
"L","EKO","G3","SD","PDG","GRD","SKS1_SB","SKS2_C","IPS1_KM","IPS2_KM","LLW_1"
"P","EKO","G4","SRJN","PDG","GRD","SKS1_SB","SKS2_B","IPS1_KM","IPS2_KM","LTW"
"L","EKO","G2","SMTA","PDG","LL","SKS1_SB","SKS2_C","IPS1_KM","IPS2_KM","LLW_1"
"P","EKO","G3","SD","PDG","PSN","SKS1_SB","SKS2_B","IPS1_M","IPS2_M","LLW_1"
"L","EKO","G2","SMTA","PS","PS","SKS1_SB","SKS2_C","IPS1_KM","IPS2_KM","LLW_2"
"L","EKO","G3","SMTA","LL","PNS","SKS1_SB","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"L","EKO","G2","SMP","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_KM","LTW"
"L","EKO","G4","SRJN","GRD","PNS","SKS1_SB","SKS2_B","IPS1_SM","IPS2_KM","LLW_1"
"P","EKO","G3","SRJN","PNS","GRD","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_M","LLW_1"
"L","EKO","G3","SMTA","LL","PSN","SKS1_SB","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"L","EKO","G4","SRJN","GRD","PSN","SKS1_SB","SKS2_SB","IPS1_M","IPS2_KM","LLW_1"
"L","EKO","G3","SD","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LLW_1"
"P","EKO","G4","SD","PDG","PDG","SKS1_SB","SKS2_B","IPS1_KM","IPS2_SM","LTW"
"P","EKO","G2","SRJN","LL","PDG","SKS1_SB","SKS2_SB","IPS1_M","IPS2_M","LLW_1"
"P","EKO","G6","SRJN","LL","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LLW_1"
"P","EKO","G2","SMTA","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","EKO","G3","SRJN","GRD","GRD","SKS1_SB","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"L","EKO","G5","SRJN","GRD","LL","SKS1_SB","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"L","EKO","G7","SMTA","PNS","PS","SKS1_SB","SKS2_SB","IPS1_M","IPS2_KM","LLW_1"
"P","EKO","G3","SMP","PDG","PDG","SKS1_SB","SKS2_B","IPS1_KM","IPS2_M","LLW_1"
"L","EKO","G4","SRJN","PNS","GRD","SKS1_SB","SKS2_C","IPS1_KM","IPS2_KM","LLW_2"
"P","EKO","G4","SRJN","PS","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","EKO","G4","SRJN","GRD","PNS","SKS1_SB","SKS2_B","IPS1_KM","IPS2_M","LLW_1"
"L","EKO","G2","SMTA","LL","PDG","SKS1_SB","SKS2_B","IPS1_M","IPS2_KM","LLW_1"
"L","EKO","G3","SMTA","PNS","PNS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LLW_1"
"P","EKO","G3","SMTA","LL","PDG","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LTW"
"P","EKO","G3","SD","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","EKO","G3","SMTA","PDG","GRD","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LLW_1"
"L","EKO","G3","SRJN","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","EKO","G4","LL","LL","PS","SKS1_SB","SKS2_B","IPS1_M","IPS2_M","LLW_2"
"L","EKO","G2","SMTA","LL","PDG","SKS1_SB","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"P","EKO","G7","SRJN","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","EKO","G5","SRJN","PDG","PS","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LTW"
"L","EKO","G4","SRJN","PNS","PNS","SKS1_SB","SKS2_SB","IPS1_M","IPS2_SM","LLW_1"
"L","EKO","G5","SRJN","PNS","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","EKO","G4","SMTA","LL","LL","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LTW"
"L","EKO","G4","SRJN","PNS","PS","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LTW"
"L","EKO","G2","SMTA","LL","PDG","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LTW"
"P","EKO","G4","SMTA","LL","PS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LLW_1"
"P","EKO","G4","SRJN","GRD","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","EKO","G2","SRJN","PNS","PNS","SKS1_SB","SKS2_SB","IPS1_M","IPS2_SM","LTW"
"P","EKO","G2","SMP","LL","PSN","SKS1_SB","SKS2_B","IPS1_SM","IPS2_SM","LTW"
"L","EKO","G2","SMTA","PDG","PDG","SKS1_SB","SKS2_B","IPS1_KM","IPS2_SM","LLW_1"
"L","EKO","G4","SRJN","GRD","GRD","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LTW"
"P","EKO","G4","SMTA","LL","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","EKO","G3","SRJN","GRD","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","EKO","G3","SD","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","EKO","G3","SRJN","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","EKO","G2","SRJN","GRD","PDG","SKS1_SB","SKS2_B","IPS1_SM","IPS2_M","LTW"
"P","EKO","G3","SRJN","PS","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
