@relation data_uji_mipa_lulus_dem
@attribute JK{L,P}
@attribute JUR{BIO,FISIKA,IF,MTK}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute STATUS_LULUS{LC,LLW_1,LLW_2,LTW}
@data
"P","BIO","G3","SMTA","LL","PNS","LLW_1"
"P","FISIKA","G2","SMTA","PDG","PS","LLW_1"
"L","FISIKA","G3","SMP","PDG","PS","LLW_1"
"P","MTK","G2","LL","PDG","LL","LLW_1"
"P","BIO","G1","SD","LL","LL","LLW_1"
"P","MTK","G1","SMTA","LL","PS","LLW_1"
"P","BIO","G3","SMTA","LL","GRD","LLW_1"
"P","BIO","G5","SRJN","PDG","PNS","LLW_1"
"P","MTK","G3","SRJN","GRD","PDG","LLW_1"
"L","BIO","G7","SMTA","GRD","PS","LLW_1"
"P","FISIKA","G3","SMTA","PDG","PSN","LLW_1"
"P","BIO","G3","LL","PDG","PS","LLW_1"
"P","MTK","G5","SRJN","PDG","PDG","LLW_1"
"P","MTK","G2","SMP","PDG","LL","LLW_1"
"P","MTK","G3","SMTA","LL","BPN","LLW_1"
"P","BIO","G4","SMP","LL","PNS","LLW_1"
"L","IF","G4","SRJN","LL","GRD","LLW_1"
"P","BIO","G2","LL","PDG","PDG","LLW_1"
"P","BIO","G3","SMP","LL","BPN","LLW_1"
"P","FISIKA","G1","SD","LL","PDG","LLW_1"
"L","MTK","G2","SMTA","LL","PDG","LLW_1"
"P","BIO","G2","SMP","LL","PDG","LLW_1"
"P","BIO","G3","SD","BPN","PNS","LLW_1"
"P","MTK","G2","SMP","LL","PDG","LLW_1"
"P","MTK","G3","SMP","PDG","PDG","LLW_1"
"P","BIO","G4","SMTA","LL","LL","LLW_1"
"L","MTK","G4","SMP","LL","PDG","LLW_1"
"L","IF","G2","SMTA","LL","PNS","LLW_1"
"P","BIO","G3","SMTA","PDG","PNS","LLW_1"
"P","MTK","G2","SMTA","BPN","BPN","LLW_1"
"P","BIO","G1","SD","LL","BPN","LLW_1"
"L","FISIKA","G3","SMTA","PDG","PSN","LLW_1"
"L","FISIKA","G2","LL","PDG","BPN","LLW_1"
"P","MTK","G2","SMTA","PDG","PDG","LLW_1"
"L","MTK","G3","LL","PDG","PNS","LLW_1"
"P","FISIKA","G2","SMTA","PDG","LL","LLW_1"
"P","IF","G4","SMTA","GRD","PNS","LLW_1"
"P","MTK","G1","LL","LL","PDG","LLW_1"
"L","IF","G3","SRJN","PS","PS","LLW_1"
"P","MTK","G3","SMTA","LL","PS","LLW_1"
"L","MTK","G4","SMTA","LL","PS","LLW_1"
"P","FISIKA","G3","SD","LL","GRD","LLW_1"
"L","FISIKA","G4","SRJN","GRD","PNS","LLW_1"
"L","FISIKA","G4","SRJN","GRD","PNS","LLW_1"
"L","MTK","G2","SD","LL","PDG","LLW_1"
"P","MTK","G2","SMTA","LL","PDG","LLW_1"
"L","IF","G2","SD","BPN","BPN","LLW_1"
"P","MTK","G2","SMP","LL","PDG","LLW_1"
"P","FISIKA","G3","SD","PDG","PNS","LLW_1"
"P","MTK","G2","SMTA","BPN","BPN","LLW_1"
"P","IF","G4","SRJN","PNS","PNS","LLW_1"
"P","MTK","G3","SMTA","PDG","PDG","LLW_1"
"L","BIO","G4","SMTA","LL","PNS","LLW_1"
"P","BIO","G2","SD","BPN","BPN","LLW_1"
"L","BIO","G3","SD","PDG","BPN","LLW_1"
"P","FISIKA","G2","SD","LL","LL","LLW_1"
"P","MTK","G4","SRJN","PDG","PNS","LLW_1"
"P","BIO","G2","SMTA","LL","PDG","LLW_1"
"P","FISIKA","G4","SRJN","PNS","PSN","LLW_1"
"P","FISIKA","G2","SMTA","LL","PDG","LLW_1"
"L","IF","G3","SRJN","PS","PDG","LLW_1"
"P","IF","G4","SMTA","PNS","PS","LLW_1"
"L","MTK","G2","SMTA","LL","PSN","LLW_1"
"P","FISIKA","G2","SMP","LL","PS","LLW_1"
"P","IF","G3","SRJN","GRD","PSN","LLW_1"
"P","FISIKA","G1","LL","PDG","PDG","LLW_1"
"P","MTK","G1","SD","LL","LL","LLW_1"
"L","FISIKA","G4","SRJN","GRD","PDG","LLW_1"
"P","FISIKA","G2","SRJN","GRD","PNS","LLW_1"
"L","FISIKA","G3","SMTA","LL","PS","LLW_1"
"P","BIO","G1","SD","PDG","PDG","LLW_1"
"L","BIO","G3","SMTA","PDG","PDG","LLW_1"
"L","FISIKA","G3","SMTA","LL","PNS","LLW_1"
"P","IF","G3","SRJN","GRD","PDG","LLW_1"
"P","BIO","G1","SMTA","LL","PDG","LLW_1"
"P","FISIKA","G4","SMTA","LL","PS","LLW_1"
"P","MTK","G3","SMTA","LL","PNS","LLW_1"
"P","IF","G4","SMTA","LL","GRD","LLW_1"
"L","BIO","G3","SRJN","GRD","PDG","LLW_1"
"P","MTK","G4","SRJN","GRD","PDG","LLW_1"
"P","FISIKA","G2","SD","BPN","BPN","LLW_1"
"P","BIO","G4","SRJN","GRD","GRD","LLW_1"
"P","FISIKA","G3","SMTA","LL","LL","LLW_1"
"P","IF","G4","SRJN","GRD","GRD","LLW_1"
"P","MTK","G3","LL","LL","PDG","LLW_1"
"L","MTK","G4","SD","PDG","PNS","LLW_1"
"L","FISIKA","G2","SD","LL","BPN","LLW_1"
"L","FISIKA","G1","SMP","BPN","PDG","LLW_1"
"L","BIO","G3","SRJN","PDG","PNS","LLW_1"
"L","IF","G3","SMTA","LL","PSN","LLW_1"
"P","FISIKA","G2","SD","BPN","PSN","LLW_1"
"P","MTK","G2","SD","BPN","BPN","LLW_1"
"L","MTK","G3","SMTA","PDG","PDG","LLW_1"
"P","MTK","G3","SMP","LL","GRD","LLW_1"
"P","FISIKA","G4","SMTA","LL","PS","LLW_1"
"P","MTK","G4","SRJN","PSN","GRD","LLW_1"
"P","BIO","G3","SMTA","LL","GRD","LTW"
"P","BIO","G4","SD","PDG","PS","LTW"
"P","BIO","G2","SD","PDG","BPN","LTW"
"L","BIO","G2","SMTA","LL","PNS","LTW"
"P","BIO","G2","SMTA","BPN","BPN","LTW"
"P","BIO","G4","SRJN","PNS","PNS","LTW"
"P","MTK","G3","SMTA","LL","PDG","LTW"
"L","FISIKA","G4","SMTA","LL","PNS","LTW"
"L","MTK","G2","LL","LL","PSN","LTW"
"P","FISIKA","G2","SD","BPN","PDG","LTW"
"P","FISIKA","G1","SMP","LL","LL","LTW"
"P","IF","G4","SRJN","LL","GRD","LTW"
"P","BIO","G3","SMTA","GRD","GRD","LTW"
"L","IF","G5","SRJN","GRD","GRD","LTW"
"P","BIO","G3","SMTA","GRD","GRD","LTW"
"P","BIO","G2","SD","BPN","BPN","LTW"
"P","BIO","G3","SD","PDG","PDG","LTW"
"P","BIO","G2","LL","BPN","BPN","LTW"
"P","BIO","G2","SMP","BPN","LL","LTW"
"P","FISIKA","G3","SRJN","GRD","GRD","LTW"
"P","FISIKA","G4","SMTA","PDG","GRD","LTW"
"P","BIO","G4","SD","LL","PS","LTW"
"P","BIO","G2","SMTA","LL","PDG","LTW"
"P","BIO","G3","SRJN","GRD","PSN","LTW"
"P","BIO","G1","SMTA","GRD","GRD","LTW"
"L","BIO","G1","SMTA","BPN","BPN","LTW"
"L","BIO","G2","LL","PS","PS","LTW"
"P","MTK","G2","SD","LL","BPN","LTW"
"P","FISIKA","G3","SD","LL","BPN","LTW"
"P","FISIKA","G3","SD","LL","PNS","LTW"
"P","BIO","G2","SMP","LL","PDG","LTW"
"L","IF","G4","SRJN","LL","GRD","LTW"
"P","IF","G4","SMTA","LL","GRD","LTW"
"P","MTK","G2","SD","PDG","PDG","LTW"
"P","BIO","G3","SMTA","LL","PDG","LTW"
"L","IF","G3","SMTA","PDG","PNS","LTW"
"P","MTK","G2","SD","LL","PDG","LTW"
"P","FISIKA","G2","SRJN","GRD","GRD","LTW"
"P","BIO","G1","SD","BPN","BPN","LTW"
"P","BIO","G3","SRJN","PNS","LL","LTW"
"P","FISIKA","G4","SRJN","GRD","PS","LTW"
"P","BIO","G2","SMTA","GRD","BPN","LTW"
"L","IF","G1","SD","LL","LL","LTW"
"L","IF","G4","SRJN","LL","GRD","LTW"
"P","FISIKA","G4","SRJN","GRD","PNS","LTW"
"L","FISIKA","G2","SD","BPN","PDG","LTW"
"L","MTK","G2","SMTA","PDG","GRD","LTW"
"P","MTK","G3","SRJN","GRD","PS","LTW"
"P","MTK","G3","SMTA","PNS","PDG","LTW"
"P","FISIKA","G2","SMTA","PDG","PDG","LTW"
"P","FISIKA","G3","SMTA","PDG","GRD","LTW"
"P","MTK","G3","SMTA","PNS","PNS","LTW"
"P","BIO","G4","SRJN","PNS","PNS","LTW"
"P","BIO","G3","SRJN","GRD","LL","LTW"
"P","BIO","G2","SMP","LL","PS","LTW"
"L","FISIKA","G1","SMTA","LL","PS","LTW"
"P","IF","G4","SRJN","GRD","GRD","LTW"
"P","BIO","G3","SMTA","LL","LL","LTW"
"P","BIO","G4","SMTA","LL","PDG","LTW"
"P","MTK","G4","SMTA","PNS","PDG","LTW"
"P","MTK","G1","LL","PDG","PDG","LTW"
"P","FISIKA","G3","LL","LL","PSN","LTW"
"P","BIO","G4","SRJN","BPN","PNS","LTW"
"P","BIO","G3","SMTA","PNS","GRD","LTW"
"P","MTK","G2","SMTA","PDG","PDG","LTW"
"P","BIO","G2","SMP","LL","PDG","LTW"
"P","MTK","G3","SMP","LL","PNS","LTW"
"L","FISIKA","G3","SMTA","PDG","PSN","LTW"
"P","BIO","G2","SD","PDG","PDG","LTW"
"P","BIO","G2","SMP","LL","LL","LTW"
"P","MTK","G3","SMTA","LL","BPN","LTW"
"P","MTK","G3","SMTA","PS","PNS","LTW"
"P","BIO","G4","SRJN","PNS","GRD","LTW"
"P","IF","G5","SRJN","PS","PNS","LTW"
"L","BIO","G3","SMTA","PDG","PNS","LTW"
"P","BIO","G2","SMTA","LL","GRD","LTW"
"P","MTK","G3","SMP","PDG","PS","LTW"
"P","BIO","G2","SD","BPN","BPN","LTW"
"P","BIO","G2","LL","LL","BPN","LTW"
"P","BIO","G2","SD","LL","PS","LTW"
"P","BIO","G3","SMTA","LL","PNS","LTW"
"L","FISIKA","G2","SMTA","LL","LL","LTW"
"L","BIO","G4","SMTA","LL","PDG","LTW"
"P","BIO","G2","SD","PDG","PSN","LTW"
"P","BIO","G1","SD","PDG","PDG","LTW"
"P","BIO","G2","SMTA","PDG","PDG","LTW"
"P","BIO","G3","SD","PDG","PDG","LTW"
"P","IF","G2","SMP","LL","PDG","LTW"
"P","FISIKA","G1","SMP","BPN","BPN","LTW"
"L","FISIKA","G1","SD","BPN","BPN","LTW"
"P","BIO","G3","SRJN","GRD","GRD","LTW"
"P","MTK","G4","SMTA","PDG","PDG","LTW"
"P","BIO","G3","SMTA","LL","BPN","LTW"
"L","FISIKA","G1","SMP","BPN","PSN","LTW"
"P","FISIKA","G1","SD","BPN","BPN","LTW"
"P","BIO","G4","SRJN","LL","PDG","LTW"
"L","FISIKA","G3","SD","PDG","GRD","LTW"
"L","IF","G4","SRJN","GRD","PNS","LTW"
"L","FISIKA","G1","SD","BPN","BPN","LTW"
"P","BIO","G3","SMP","LL","PSN","LTW"
"P","BIO","G2","SD","LL","PDG","LTW"
"L","FISIKA","G4","SMP","LL","PDG","LTW"
"P","IF","G3","SMTA","LL","PS","LTW"
"P","IF","G2","SD","BPN","PDG","LLW_2"
"P","BIO","G2","SMTA","PDG","PS","LLW_2"
"P","BIO","G1","SMP","LL","PDG","LLW_2"
"P","IF","G4","SRJN","LL","LL","LLW_2"
"P","MTK","G3","SMTA","LL","PS","LLW_2"
"L","MTK","G3","SMTA","LL","PNS","LLW_2"
"P","IF","G3","SRJN","GRD","GRD","LLW_2"
"L","FISIKA","G2","SD","PDG","PDG","LLW_2"
"L","IF","G4","SRJN","GRD","GRD","LLW_2"
"P","MTK","G3","SMTA","LL","PDG","LLW_2"
"L","MTK","G1","SD","BPN","BPN","LLW_2"
"P","BIO","G2","SMTA","PDG","PS","LLW_2"
"L","IF","G4","SRJN","PDG","GRD","LLW_2"
"L","BIO","G2","SD","PDG","PDG","LLW_2"
"L","FISIKA","G1","SD","LL","BPN","LLW_2"
"P","BIO","G3","SRJN","PNS","LL","LLW_2"
"P","BIO","G3","SRJN","GRD","LL","LLW_2"
"P","BIO","G3","SRJN","GRD","LL","LLW_2"
"P","IF","G3","SMTA","LL","PSN","LLW_2"
"L","IF","G3","SRJN","PNS","PNS","LLW_2"
"P","BIO","G2","LL","BPN","BPN","LLW_2"
"P","MTK","G3","SMTA","PS","GRD","LLW_2"
"L","IF","G3","SRJN","GRD","PDG","LLW_2"
"L","IF","G2","SD","PDG","PDG","LLW_2"
"P","IF","G4","SRJN","PS","PNS","LLW_2"
"L","IF","G3","SMTA","PNS","PDG","LLW_2"
"L","MTK","G3","SD","BPN","BPN","LLW_2"
"P","IF","G6","SRJN","LL","PNS","LLW_2"
"P","BIO","G5","SMTA","PDG","PNS","LLW_2"
"L","BIO","G1","SRJN","GRD","PNS","LLW_2"
"L","MTK","G5","LL","PDG","PDG","LLW_2"
"P","IF","G3","SRJN","GRD","GRD","LLW_2"
"P","MTK","G3","SMTA","PDG","PDG","LLW_2"
"L","IF","G4","SRJN","GRD","GRD","LLW_2"
"L","MTK","G1","SMTA","PS","PS","LLW_2"
"P","BIO","G2","LL","LL","PDG","LLW_2"
"P","MTK","G1","SMTA","BPN","BPN","LLW_2"
"L","MTK","G3","SD","BPN","BPN","LLW_2"
"P","FISIKA","G4","SMTA","PDG","GRD","LLW_2"
"L","BIO","G4","SMTA","LL","PNS","LLW_2"
"P","MTK","G5","SRJN","PS","GRD","LLW_2"
"P","MTK","G2","SMTA","PDG","LL","LLW_2"
"P","BIO","G2","SD","BPN","BPN","LLW_2"
"P","FISIKA","G2","LL","LL","BPN","LLW_2"
"L","IF","G4","SRJN","PS","PNS","LLW_2"
"P","IF","G3","SRJN","GRD","BPN","LLW_2"
"P","BIO","G2","SD","PDG","GRD","LLW_2"
"P","MTK","G4","SMTA","LL","LL","LLW_2"
"P","MTK","G3","SMTA","PDG","PNS","LLW_2"
"L","MTK","G2","SD","LL","PDG","LLW_2"
"P","BIO","G4","SRJN","LL","PDG","LLW_2"
"L","MTK","G3","SRJN","PDG","PNS","LLW_2"
"L","IF","G4","SMTA","LL","PS","LLW_2"
"P","MTK","G4","SMTA","LL","PS","LLW_2"
"P","MTK","G4","SRJN","PDG","PNS","LLW_2"
"L","IF","G3","SD","LL","PSN","LLW_2"
"P","BIO","G3","SRJN","PSN","PNS","LLW_2"
"P","BIO","G6","SRJN","PNS","PNS","LLW_2"
"L","MTK","G4","LL","PS","PDG","LLW_2"
"P","IF","G4","SRJN","GRD","GRD","LLW_2"
"P","MTK","G4","SRJN","GRD","GRD","LLW_2"
"L","IF","G5","SRJN","GRD","GRD","LLW_2"
"L","MTK","G3","SMTA","GRD","PNS","LLW_2"
"L","IF","G3","LL","LL","LL","LLW_2"
"L","FISIKA","G3","SRJN","PDG","PSN","LLW_2"
"L","MTK","G2","SMTA","PDG","PDG","LLW_2"
"L","FISIKA","G4","SRJN","GRD","PSN","LLW_2"
"P","BIO","G4","SRJN","LL","LL","LC"
"P","MTK","G3","SRJN","GRD","PNS","LC"
"P","FISIKA","G3","SRJN","GRD","GRD","LC"
"P","BIO","G3","SMTA","LL","PSN","LC"
"L","IF","G3","SRJN","GRD","BPN","LC"
"P","FISIKA","G2","SMTA","PS","PS","LC"
"P","BIO","G3","SD","BPN","PSN","LC"
"P","MTK","G2","SMTA","PDG","PDG","LC"
"P","BIO","G1","SD","LL","BPN","LC"
