,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,STATUS_LULUS
1833,L,EKO,G2,LL,BPN,BPN,LLW
3275,P,KOM,G3,SRJN,GRD,PSN,LLW
1011,L,AKU,G7,SMTA,PDG,PNS,LLW
767,P,AKU,G4,SRJN,PNS,GRD,LLW
3164,P,KOM,G5,SMTA,PS,PNS,LLW
5945,L,HUK,G4,SMTA,ABRI,LL,LLW
2242,P,EKO,G5,LL,PSN,PSN,LLW
5912,L,HUK,G3,SD,PDG,PDG,LLW
3273,P,KOM,G3,SMTA,PS,PDG,LLW
6123,L,HUK,G1,SMTA,PDG,LL,LLW
857,P,AKU,G3,SRJN,GRD,GRD,LLW
6219,L,HUK,G5,SRJN,GRD,PSN,LLW
5554,P,HUK,G3,SMTA,PNS,PNS,LLW
1779,P,EKO,G3,SMTA,PDG,PDG,LLW
5166,P,HUK,G4,SMTA,PDG,PNS,LLW
2013,L,EKO,G4,SMTA,LL,GRD,LLW
2116,L,EKO,G4,SRJN,GRD,PNS,LLW
5520,L,HUK,G4,SRJN,PNS,PNS,LLW
3257,P,KOM,G3,SRJN,GRD,GRD,LLW
6069,L,HUK,G2,SMTA,PSN,PDG,LLW
2145,L,EKO,G3,SMTA,PDG,PDG,LLW
6004,L,HUK,G3,SMTA,PSN,PDG,LLW
1941,L,EKO,G4,SRJN,GRD,PNS,LLW
3438,P,KOM,G3,SD,LL,PDG,LLW
822,P,AKU,G4,SRJN,GRD,LL,LLW
5978,L,HUK,G5,SRJN,GRD,GRD,LLW
1978,L,EKO,G3,SMTA,LL,PNS,LLW
5776,L,HUK,G3,SMTA,GRD,GRD,LLW
2099,L,EKO,G4,SRJN,GRD,GRD,LLW
2256,L,EKO,G4,SRJN,PSN,PSN,LLW
3342,P,KOM,G4,SRJN,LL,PDG,LLW
773,L,AKU,G7,SMTA,PDG,PDG,LLW
1808,L,EKO,G3,SMTA,LL,ABRI,LLW
5865,P,HUK,G5,SRJN,PNS,PNS,LLW
3411,P,KOM,G4,SMTA,LL,LL,LLW
1942,L,EKO,G2,SMTA,LL,PDG,LLW
3197,P,KOM,G4,SMTA,PNS,PS,LLW
947,L,AKU,G4,SRJN,LL,PS,LLW
3151,P,KOM,G3,SMP,PDG,PDG,LLW
3391,P,KOM,G4,SMP,LL,PNS,LLW
2021,L,EKO,G2,SMTA,LL,PDG,LLW
6300,L,HUK,G5,SRJN,GRD,PNS,LLW
2293,P,EKO,G4,SMTA,PDG,PDG,LLW
3456,P,KOM,G4,SRJN,LL,PS,LLW
1035,L,AKU,G5,SMTA,LL,PNS,LLW
5733,L,HUK,G4,SMTA,LL,PSN,LLW
6266,P,HUK,G5,SRJN,PDG,PDG,LLW
1070,L,AKU,G3,SMTA,LL,PSN,LLW
5675,L,HUK,G4,SMTA,PDG,PDG,LLW
5361,L,HUK,G3,SRJN,LL,PDG,LLW
699,L,AKU,G4,SRJN,GRD,PNS,LLW
6178,L,HUK,G4,SRJN,GRD,ABRI,LLW
3217,L,KOM,G2,SMTA,LL,PS,LLW
6240,P,HUK,G3,SMTA,LL,PSN,LLW
5379,L,HUK,G4,SRJN,GRD,PS,LLW
5378,L,HUK,G7,SRJN,PDG,PDG,LLW
772,P,AKU,G4,SMTA,PS,LL,LLW
1868,L,EKO,G4,SMTA,LL,PNS,LLW
1865,L,EKO,G3,SRJN,GRD,PDG,LLW
6359,L,HUK,G6,SRJN,PNS,PNS,LLW
1819,L,EKO,G6,SRJN,PNS,GRD,LLW
5617,P,HUK,G3,SRJN,GRD,GRD,LLW
5849,P,HUK,G4,SMTA,LL,PSN,LLW
2187,P,EKO,G7,SRJN,LL,PS,LLW
984,L,AKU,G3,SD,LL,BPN,LLW
