,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,IPK_TERAKHIR
50,P,FISIKA,G2,SMTA,PS,PS,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
51,P,FISIKA,G3,SMTA,PDG,PDG,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,IPK_M
52,P,FISIKA,G1,SMTA,PS,BPN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,IPK_CUM
53,P,FISIKA,G2,SMP,BPN,LL,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_KM
54,P,FISIKA,G3,LL,LL,PSN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
55,P,FISIKA,G3,SMP,LL,LL,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
56,P,FISIKA,G1,SD,LL,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
57,P,FISIKA,G2,SD,LL,PS,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_B,IPK_CUM
58,P,FISIKA,G3,SD,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_KM
59,P,FISIKA,G2,SD,LL,LL,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_KM
60,P,FISIKA,G4,SMTA,LL,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_KM
61,P,FISIKA,G3,SRJN,GRD,GRD,IPS1_M,IPS2_M,SKS1_B,SKS2_B,IPK_M
62,L,FISIKA,G3,SMTA,LL,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
63,P,FISIKA,G3,SRJN,GRD,LL,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_KM
64,P,FISIKA,G3,SMP,LL,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
65,L,FISIKA,G2,SD,BPN,PSN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
66,P,FISIKA,G2,SMP,PS,PS,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,IPK_SM
67,P,FISIKA,G2,SD,PDG,GRD,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,IPK_SM
68,L,FISIKA,G3,SRJN,GRD,GRD,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,IPK_M
69,P,FISIKA,G1,SD,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
70,P,FISIKA,G1,SMTA,LL,GRD,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,IPK_SM
71,P,FISIKA,G1,SMP,LL,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
72,L,FISIKA,G2,SMTA,BPN,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
73,L,FISIKA,G3,SRJN,GRD,PDG,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,IPK_M
74,P,FISIKA,G2,SMTA,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_KM
75,L,FISIKA,G3,SRJN,PDG,PSN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_KM
76,P,FISIKA,G3,SD,LL,GRD,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,IPK_M
77,P,FISIKA,G1,SD,BPN,BPN,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,IPK_M
78,P,FISIKA,G2,LL,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_KM
79,L,FISIKA,G2,SD,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
80,P,FISIKA,G3,SD,LL,PNS,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
81,L,FISIKA,G2,LL,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
82,L,FISIKA,G3,SRJN,GRD,PSN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_KM
83,L,FISIKA,G2,SMTA,PDG,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_KM
84,P,FISIKA,G2,SRJN,GRD,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_KM
85,P,FISIKA,G2,SRJN,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,IPK_KM
86,P,FISIKA,G4,SMTA,PDG,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
87,P,FISIKA,G2,SRJN,GRD,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,IPK_M
88,P,FISIKA,G4,SRJN,GRD,PNS,IPS1_M,IPS2_M,SKS1_B,SKS2_B,IPK_M
89,P,FISIKA,G4,SRJN,GRD,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_KM
90,L,FISIKA,G2,SD,LL,PS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,IPK_M
91,P,FISIKA,G3,SMTA,LL,PDG,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,IPK_SM
92,L,FISIKA,G3,SRJN,GRD,GRD,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,IPK_SM
93,L,FISIKA,G2,SD,BPN,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
94,L,FISIKA,G2,LL,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
95,P,FISIKA,G2,SMTA,PDG,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
96,L,FISIKA,G3,SRJN,PDG,ABRI,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,IPK_KM
97,P,FISIKA,G2,SMTA,PDG,LL,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
98,P,FISIKA,G3,SD,PDG,PDG,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,IPK_M
99,L,FISIKA,G2,LL,PDG,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_KM
100,L,FISIKA,G3,SD,LL,PS,IPS1_SM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
101,P,FISIKA,G1,SD,LL,PDG,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,IPK_SM
102,P,FISIKA,G3,SMTA,LL,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
103,L,FISIKA,G2,SMTA,BPN,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_KM
104,L,FISIKA,G1,SD,BPN,BPN,IPS1_M,IPS2_M,SKS1_B,SKS2_B,IPK_SM
105,P,FISIKA,G1,SMP,LL,LL,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
106,P,FISIKA,G2,SD,BPN,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
107,P,FISIKA,G2,LL,BPN,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
108,P,FISIKA,G3,SRJN,GRD,GRD,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
109,P,FISIKA,G3,SMTA,LL,PNS,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,IPK_SM
110,P,FISIKA,G3,SMTA,LL,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_KM
111,L,FISIKA,G4,SRJN,GRD,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
112,P,FISIKA,G3,SMTA,PS,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_KM
113,L,FISIKA,G2,SD,LL,BPN,IPS1_M,IPS2_M,SKS1_B,SKS2_B,IPK_SM
114,L,FISIKA,G2,SMTA,PDG,PDG,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
115,P,FISIKA,G1,SD,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_KM
116,L,FISIKA,G2,SMTA,LL,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,IPK_KM
117,L,FISIKA,G4,SRJN,GRD,ABRI,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_B,IPK_SM
118,L,FISIKA,G1,SMTA,LL,PS,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_B,IPK_CUM
119,P,FISIKA,G3,SRJN,GRD,GRD,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_B,IPK_CUM
120,P,FISIKA,G1,SMTA,PDG,BPN,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
121,L,FISIKA,G2,LL,BPN,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
122,L,FISIKA,G3,SMTA,PSN,PSN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
123,P,FISIKA,G4,SMTA,LL,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,IPK_M
124,P,FISIKA,G2,SD,LL,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
125,P,FISIKA,G2,LL,LL,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
126,P,FISIKA,G4,SRJN,GRD,GRD,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
127,L,FISIKA,G3,SMP,LL,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
128,P,FISIKA,G1,SD,BPN,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
129,P,FISIKA,G5,SRJN,LL,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
130,P,FISIKA,G1,SD,BPN,BPN,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
131,L,FISIKA,G3,LL,BPN,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
132,P,FISIKA,G1,SRJN,LL,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
133,P,FISIKA,G2,SMTA,LL,PS,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_B,IPK_SM
134,P,FISIKA,G4,SMTA,PDG,GRD,IPS1_M,IPS2_M,SKS1_B,SKS2_B,IPK_SM
135,P,FISIKA,G2,SMP,LL,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
136,L,FISIKA,G1,SMP,BPN,PDG,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,IPK_M
