@relation data_uji_mipa_lulus
@attribute JK{L,P}
@attribute JUR{BIO,FISIKA,IF,MTK}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute SKS_S1 real
@attribute SKS_S2 real
@attribute IP_S1{IPS1_CUM,IPS1_KM,IPS1_M,IPS1_SM}
@attribute IP_S2{IPS2_CUM,IPS2_KM,IPS2_M,IPS2_SM}
@attribute STATUS_LULUS{LC,LLW_1,LLW_2,LTW}
@data
"P","IF","G3","SMTA","PDG","PSN",19.0,18.0,"IPS1_KM","IPS2_M","LLW_1"
"P","MTK","G3","SMTA","PDG","PDG",21.0,18.0,"IPS1_CUM","IPS2_SM","LLW_1"
"L","BIO","G3","SMTA","PS","PS",21.0,23.0,"IPS1_SM","IPS2_SM","LLW_1"
"P","FISIKA","G1","SMP","BPN","BPN",18.0,19.0,"IPS1_KM","IPS2_KM","LLW_1"
"L","MTK","G4","SRJN","GRD","GRD",21.0,19.0,"IPS1_M","IPS2_SM","LLW_1"
"L","BIO","G4","SMTA","LL","GRD",21.0,19.0,"IPS1_M","IPS2_KM","LLW_1"
"P","BIO","G3","SMTA","LL","PNS",22.0,21.0,"IPS1_SM","IPS2_CUM","LLW_1"
"P","FISIKA","G2","SMTA","PDG","PS",18.0,19.0,"IPS1_KM","IPS2_KM","LLW_1"
"L","FISIKA","G3","SMP","PDG","PS",19.0,20.0,"IPS1_M","IPS2_KM","LLW_1"
"P","MTK","G2","LL","PDG","LL",21.0,18.0,"IPS1_KM","IPS2_M","LLW_1"
"P","BIO","G1","SD","LL","LL",21.0,21.0,"IPS1_KM","IPS2_SM","LLW_1"
"P","MTK","G1","SMTA","LL","PS",21.0,18.0,"IPS1_KM","IPS2_KM","LLW_1"
"P","BIO","G3","SMTA","LL","GRD",21.0,21.0,"IPS1_KM","IPS2_KM","LLW_1"
"P","BIO","G5","SRJN","PDG","PNS",21.0,21.0,"IPS1_KM","IPS2_M","LLW_1"
"P","MTK","G3","SRJN","GRD","PDG",19.0,17.0,"IPS1_SM","IPS2_KM","LLW_1"
"L","BIO","G7","SMTA","GRD","PS",22.0,21.0,"IPS1_SM","IPS2_M","LLW_1"
"P","FISIKA","G3","SMTA","PDG","PSN",18.0,19.0,"IPS1_KM","IPS2_KM","LLW_1"
"P","BIO","G3","LL","PDG","PS",21.0,21.0,"IPS1_SM","IPS2_KM","LLW_1"
"P","MTK","G5","SRJN","PDG","PDG",21.0,18.0,"IPS1_M","IPS2_M","LLW_1"
"P","MTK","G2","SMP","PDG","LL",19.0,17.0,"IPS1_CUM","IPS2_CUM","LLW_1"
"P","MTK","G3","SMTA","LL","BPN",21.0,22.0,"IPS1_M","IPS2_SM","LLW_1"
"P","BIO","G4","SMP","LL","PNS",24.0,18.0,"IPS1_KM","IPS2_M","LLW_1"
"L","IF","G4","SRJN","LL","GRD",20.0,20.0,"IPS1_CUM","IPS2_SM","LLW_1"
"P","BIO","G2","LL","PDG","PDG",21.0,21.0,"IPS1_KM","IPS2_KM","LLW_1"
"P","BIO","G3","SMP","LL","BPN",21.0,23.0,"IPS1_SM","IPS2_SM","LLW_1"
"P","FISIKA","G1","SD","LL","PDG",18.0,17.0,"IPS1_M","IPS2_KM","LLW_1"
"L","MTK","G2","SMTA","LL","PDG",21.0,18.0,"IPS1_KM","IPS2_M","LLW_1"
"P","BIO","G2","SMP","LL","PDG",21.0,21.0,"IPS1_KM","IPS2_KM","LLW_1"
"P","BIO","G3","SD","BPN","PNS",21.0,21.0,"IPS1_KM","IPS2_KM","LLW_1"
"P","MTK","G2","SMP","LL","PDG",21.0,18.0,"IPS1_SM","IPS2_SM","LLW_1"
"P","MTK","G3","SMP","PDG","PDG",21.0,18.0,"IPS1_SM","IPS2_SM","LLW_1"
"P","BIO","G4","SMTA","LL","LL",22.0,21.0,"IPS1_KM","IPS2_KM","LLW_1"
"L","MTK","G4","SMP","LL","PDG",21.0,19.0,"IPS1_M","IPS2_M","LLW_1"
"L","IF","G2","SMTA","LL","PNS",19.0,18.0,"IPS1_KM","IPS2_KM","LLW_1"
"P","BIO","G3","SMTA","PDG","PNS",21.0,19.0,"IPS1_M","IPS2_M","LLW_1"
"P","MTK","G2","SMTA","BPN","BPN",21.0,19.0,"IPS1_M","IPS2_KM","LLW_1"
"P","BIO","G1","SD","LL","BPN",21.0,21.0,"IPS1_KM","IPS2_KM","LLW_1"
"L","FISIKA","G3","SMTA","PDG","PSN",20.0,17.0,"IPS1_KM","IPS2_M","LLW_1"
"L","FISIKA","G2","LL","PDG","BPN",18.0,19.0,"IPS1_KM","IPS2_KM","LLW_1"
"P","MTK","G2","SMTA","PDG","PDG",21.0,18.0,"IPS1_SM","IPS2_KM","LLW_1"
"L","MTK","G3","LL","PDG","PNS",21.0,18.0,"IPS1_M","IPS2_M","LLW_1"
"P","FISIKA","G2","SMTA","PDG","LL",18.0,19.0,"IPS1_KM","IPS2_KM","LLW_1"
"P","IF","G4","SMTA","GRD","PNS",19.0,18.0,"IPS1_M","IPS2_M","LLW_1"
"P","MTK","G1","LL","LL","PDG",19.0,17.0,"IPS1_M","IPS2_SM","LLW_1"
"L","IF","G3","SRJN","PS","PS",19.0,20.0,"IPS1_CUM","IPS2_SM","LLW_1"
"P","MTK","G3","SMTA","LL","PS",21.0,19.0,"IPS1_KM","IPS2_KM","LLW_1"
"L","MTK","G4","SMTA","LL","PS",21.0,18.0,"IPS1_M","IPS2_SM","LLW_1"
"P","FISIKA","G3","SD","LL","GRD",18.0,20.0,"IPS1_KM","IPS2_M","LLW_1"
"L","FISIKA","G4","SRJN","GRD","PNS",18.0,19.0,"IPS1_M","IPS2_KM","LLW_1"
"L","FISIKA","G4","SRJN","GRD","PNS",18.0,19.0,"IPS1_KM","IPS2_KM","LLW_1"
"L","MTK","G2","SD","LL","PDG",21.0,18.0,"IPS1_KM","IPS2_SM","LLW_1"
"P","MTK","G2","SMTA","LL","PDG",21.0,19.0,"IPS1_SM","IPS2_M","LLW_1"
"L","IF","G2","SD","BPN","BPN",19.0,18.0,"IPS1_SM","IPS2_CUM","LLW_1"
"P","MTK","G2","SMP","LL","PDG",19.0,17.0,"IPS1_KM","IPS2_KM","LLW_1"
"P","FISIKA","G3","SD","PDG","PNS",18.0,19.0,"IPS1_KM","IPS2_KM","LLW_1"
"P","MTK","G2","SMTA","BPN","BPN",21.0,19.0,"IPS1_KM","IPS2_KM","LLW_1"
"P","IF","G4","SRJN","PNS","PNS",20.0,20.0,"IPS1_CUM","IPS2_CUM","LLW_1"
"P","MTK","G3","SMTA","PDG","PDG",21.0,18.0,"IPS1_KM","IPS2_M","LLW_1"
"L","BIO","G4","SMTA","LL","PNS",21.0,21.0,"IPS1_M","IPS2_M","LLW_1"
"P","BIO","G2","SD","BPN","BPN",21.0,21.0,"IPS1_SM","IPS2_M","LLW_1"
"L","BIO","G3","SD","PDG","BPN",21.0,21.0,"IPS1_M","IPS2_SM","LLW_1"
"P","FISIKA","G2","SD","LL","LL",19.0,17.0,"IPS1_KM","IPS2_KM","LLW_1"
"P","MTK","G4","SRJN","PDG","PNS",21.0,19.0,"IPS1_KM","IPS2_KM","LLW_1"
"P","BIO","G2","SMTA","LL","PDG",21.0,21.0,"IPS1_M","IPS2_M","LLW_1"
"P","FISIKA","G4","SRJN","PNS","PSN",19.0,20.0,"IPS1_M","IPS2_M","LLW_1"
"P","FISIKA","G2","SMTA","LL","PDG",19.0,22.0,"IPS1_SM","IPS2_M","LLW_1"
"L","IF","G3","SRJN","PS","PDG",19.0,20.0,"IPS1_SM","IPS2_KM","LLW_1"
