@relation data_sosial_lulus_dem
@attribute JK{L,P}
@attribute JUR{AKU,EKO,HUK,KOM}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute STATUS_LULUS{LC,LLW_1,LLW_2,LTW}
@data
"L","EKO","G3","SMTA","LL","PSN","LLW_1"
"L","EKO","G4","SRJN","LL","PNS","LLW_2"
"L","EKO","G3","SMTA","PNS","PNS","LLW_1"
"P","EKO","G3","SRJN","PNS","GRD","LLW_1"
"P","EKO","G2","SMP","LL","PDG","LTW"
"P","EKO","G3","SRJN","LL","PS","LTW"
"P","EKO","G4","SRJN","GRD","GRD","LTW"
"P","EKO","G4","SD","PDG","PDG","LTW"
"L","EKO","G3","SMTA","LL","PSN","LTW"
"P","EKO","G4","SRJN","LL","PS","LLW_2"
"P","EKO","G2","SD","BPN","BPN","LTW"
"P","EKO","G4","SRJN","LL","PDG","LTW"
"P","EKO","G1","SMP","BPN","BPN","LTW"
"L","EKO","G4","SMTA","PDG","PNS","LLW_1"
"L","EKO","G3","SMTA","PDG","PDG","LLW_1"
"P","EKO","G5","SRJN","GRD","GRD","LLW_2"
"L","EKO","G4","SMTA","LL","PNS","LTW"
"L","EKO","G4","SD","PDG","PDG","LTW"
"P","EKO","G3","SRJN","LL","PNS","LLW_1"
"P","EKO","G1","SD","BPN","BPN","LLW_1"
"P","EKO","G5","SMTA","LL","PNS","LTW"
"L","EKO","G4","SMTA","LL","GRD","LLW_1"
"L","EKO","G3","SMTA","LL","PSN","LLW_1"
"L","EKO","G4","SRJN","GRD","GRD","LLW_2"
"L","EKO","G4","SRJN","LL","LL","LLW_1"
"P","EKO","G3","SRJN","GRD","GRD","LLW_1"
"P","EKO","G3","SMTA","LL","PSN","LTW"
"L","EKO","G2","SMTA","LL","PDG","LLW_1"
"P","EKO","G4","SMTA","PDG","PDG","LLW_1"
"P","EKO","G1","SMTA","PSN","PSN","LLW_1"
"P","EKO","G2","SRJN","LL","PS","LLW_1"
"P","EKO","G4","SD","PDG","PDG","LTW"
"L","EKO","G5","SRJN","LL","PNS","LLW_1"
"P","EKO","G3","SRJN","GRD","PSN","LTW"
"L","EKO","G4","SRJN","PDG","PDG","LLW_2"
"L","EKO","G3","SD","LL","PDG","LLW_1"
"L","EKO","G4","SRJN","GRD","GRD","LLW_2"
"P","EKO","G2","SMTA","LL","PSN","LTW"
"P","EKO","G5","SRJN","GRD","PNS","LTW"
"P","EKO","G2","SRJN","LL","PS","LTW"
"L","EKO","G3","SMTA","LL","LL","LTW"
"P","EKO","G2","SMP","BPN","BPN","LTW"
"P","EKO","G4","SRJN","LL","GRD","LLW_2"
"P","EKO","G4","SRJN","GRD","GRD","LTW"
"L","EKO","G3","SRJN","LL","LL","LLW_1"
"L","EKO","G7","SRJN","PNS","PNS","LTW"
"L","EKO","G2","SMTA","LL","PDG","LLW_1"
"P","EKO","G4","SRJN","GRD","LL","LTW"
"P","EKO","G2","SRJN","PSN","PDG","LTW"
"P","EKO","G5","SRJN","GRD","PDG","LTW"
"L","EKO","G6","SMP","BPN","BPN","LTW"
"P","EKO","G3","SMTA","PSN","PSN","LTW"
"L","EKO","G3","SMTA","LL","PSN","LTW"
"P","EKO","G5","SMTA","PS","PS","LLW_1"
"P","EKO","G2","SMTA","BPN","PS","LTW"
"P","EKO","G3","SMTA","LL","PNS","LTW"
"P","EKO","G4","SMTA","PNS","PNS","LLW_1"
"P","EKO","G3","SMTA","LL","PS","LTW"
"P","EKO","G2","SMTA","LL","PSN","LTW"
"L","EKO","G3","SRJN","PNS","PSN","LTW"
"L","EKO","G7","SRJN","LL","PS","LLW_1"
"L","EKO","G3","SRJN","GRD","PS","LTW"
"L","EKO","G3","SRJN","LL","PSN","LLW_1"
"L","EKO","G3","SMTA","LL","PDG","LTW"
"P","EKO","G2","SRJN","LL","LL","LTW"
"L","EKO","G3","SMTA","BPN","BPN","LTW"
"P","EKO","G2","SMTA","LL","PSN","LTW"
"P","EKO","G3","SMTA","LL","PDG","LTW"
"L","EKO","G1","SMP","LL","PSN","LTW"
"L","EKO","G2","SMTA","LL","PDG","LLW_2"
"L","EKO","G3","SRJN","LL","PS","LTW"
"P","EKO","G4","SRJN","GRD","PS","LTW"
"P","EKO","G5","SRJN","PDG","PDG","LTW"
"L","EKO","G5","SRJN","PNS","PNS","LLW_2"
"P","EKO","G4","SRJN","LL","PS","LTW"
"P","EKO","G4","SRJN","PNS","PS","LTW"
"L","EKO","G4","SMTA","LL","PDG","LTW"
"L","EKO","G4","SRJN","GRD","PSN","LTW"
"P","EKO","G3","SMTA","PDG","PDG","LLW_1"
"L","EKO","G4","SRJN","LL","PDG","LLW_1"
"P","EKO","G4","SRJN","GRD","GRD","LTW"
"L","EKO","G5","SRJN","GRD","LL","LTW"
"L","EKO","G4","SMTA","LL","PS","LTW"
"P","EKO","G5","SRJN","LL","PDG","LTW"
"L","EKO","G4","SMTA","PS","PS","LTW"
"L","EKO","G4","SRJN","GRD","PSN","LTW"
"P","EKO","G7","SMTA","LL","PDG","LLW_1"
"L","EKO","G4","SRJN","GRD","GRD","LLW_1"
"P","EKO","G4","SMTA","LL","PS","LTW"
"L","EKO","G2","SD","LL","PDG","LTW"
"L","EKO","G4","SRJN","LL","GRD","LTW"
"P","EKO","G3","SRJN","GRD","PSN","LLW_1"
"L","EKO","G1","SD","LL","BPN","LLW_1"
"L","EKO","G3","SRJN","GRD","LL","LTW"
"P","EKO","G3","SMTA","PNS","PNS","LTW"
"P","EKO","G4","SRJN","LL","PS","LTW"
"L","EKO","G4","SRJN","LL","PNS","LLW_1"
"L","EKO","G2","SRJN","PDG","LL","LLW_1"
"P","EKO","G4","SMTA","LL","PDG","LTW"
"P","EKO","G4","SMTA","LL","GRD","LTW"
"P","EKO","G3","SMTA","LL","PSN","LLW_1"
"P","EKO","G4","SRJN","GRD","PNS","LC"
"P","EKO","G3","SMTA","LL","PDG","LTW"
"P","EKO","G3","SMTA","LL","PDG","LTW"
"P","EKO","G5","SRJN","GRD","PS","LTW"
"P","EKO","G4","SMTA","PS","PDG","LTW"
"L","EKO","G7","SMTA","PS","PS","LTW"
"L","EKO","G7","SRJN","PDG","LL","LLW_1"
"L","EKO","G5","SMTA","LL","LL","LTW"
"P","EKO","G3","SMTA","LL","PS","LTW"
"P","EKO","G4","SRJN","GRD","PSN","LTW"
"P","EKO","G3","SRJN","GRD","GRD","LTW"
"L","EKO","G4","SRJN","LL","LL","LLW_1"
"L","EKO","G4","SMTA","PNS","PNS","LLW_2"
"P","EKO","G3","SMTA","PDG","PDG","LLW_1"
"P","EKO","G3","SMTA","LL","PS","LTW"
"L","EKO","G4","SMTA","LL","PNS","LTW"
"L","EKO","G2","SD","BPN","BPN","LLW_1"
"P","EKO","G4","SMP","LL","PS","LTW"
"L","EKO","G4","SRJN","LL","PNS","LTW"
"L","EKO","G4","SMP","LL","PS","LLW_2"
"P","EKO","G3","SMTA","PDG","LL","LTW"
"L","EKO","G3","SMTA","PS","GRD","LTW"
"P","EKO","G4","SMTA","PS","PS","LLW_1"
"L","EKO","G4","SMTA","PDG","PS","LTW"
"P","EKO","G6","SRJN","PS","PS","LTW"
"L","EKO","G4","SRJN","LL","GRD","LTW"
"L","EKO","G4","SMTA","LL","PSN","LLW_1"
"P","EKO","G3","SMTA","PDG","PNS","LTW"
"L","EKO","G6","SMTA","LL","PS","LLW_1"
"P","EKO","G3","SMTA","PDG","BPN","LTW"
"P","EKO","G3","SD","LL","BPN","LTW"
"P","EKO","G4","SRJN","PS","PS","LC"
"P","EKO","G4","SRJN","LL","PS","LTW"
"L","EKO","G4","SMTA","PDG","GRD","LTW"
"L","EKO","G2","SMTA","LL","PS","LTW"
"L","EKO","G2","SMTA","LL","BPN","LTW"
"L","EKO","G4","SD","LL","GRD","LC"
"P","EKO","G4","SMTA","LL","PNS","LTW"
"L","EKO","G4","SRJN","LL","GRD","LLW_2"
"L","EKO","G6","SRJN","GRD","PNS","LLW_1"
"L","EKO","G3","SMTA","PDG","GRD","LLW_1"
"P","EKO","G5","SRJN","GRD","PSN","LTW"
"P","EKO","G1","SD","LL","PSN","LLW_1"
"L","EKO","G6","SRJN","GRD","GRD","LLW_1"
"L","EKO","G4","SMTA","PNS","GRD","LTW"
"L","EKO","G4","SMTA","LL","LL","LLW_1"
"L","EKO","G4","SRJN","PSN","PSN","LLW_1"
"P","EKO","G4","SRJN","LL","LL","LTW"
"L","EKO","G4","SRJN","GRD","GRD","LLW_1"
"L","EKO","G6","SRJN","PNS","PNS","LC"
"P","EKO","G4","SMTA","PDG","PDG","LTW"
"L","EKO","G4","SRJN","GRD","PS","LLW_1"
"P","EKO","G4","SRJN","PNS","PSN","LTW"
"L","EKO","G3","SMP","PDG","PDG","LLW_1"
"P","EKO","G5","SRJN","GRD","GRD","LTW"
"L","EKO","G3","SMTA","LL","PNS","LTW"
"L","EKO","G2","SMTA","PS","PS","LLW_1"
"P","EKO","G5","SMTA","LL","PNS","LTW"
"L","EKO","G2","SMTA","LL","PDG","LTW"
"P","EKO","G3","SMTA","LL","PDG","LTW"
"P","EKO","G3","SMTA","LL","PS","LLW_1"
"P","EKO","G4","SMTA","LL","GRD","LLW_1"
"L","EKO","G4","SRJN","PNS","PNS","LLW_1"
"P","EKO","G4","SMTA","LL","PS","LTW"
"P","EKO","G3","SMTA","PDG","PSN","LTW"
"P","EKO","G4","SRJN","GRD","PSN","LTW"
"P","EKO","G2","SMP","LL","BPN","LTW"
"L","EKO","G3","SRJN","GRD","PSN","LTW"
"P","EKO","G4","SRJN","GRD","LL","LLW_1"
"L","EKO","G4","SRJN","GRD","GRD","LTW"
"P","EKO","G3","SMTA","GRD","PDG","LTW"
"P","EKO","G5","LL","PSN","PSN","LLW_1"
"P","EKO","G4","SRJN","LL","LL","LTW"
"P","EKO","G2","SMTA","LL","PSN","LTW"
"P","EKO","G4","SMTA","LL","PS","LTW"
"P","EKO","G6","SRJN","LL","PS","LC"
"P","EKO","G5","SMTA","LL","LL","LLW_1"
"P","EKO","G3","SRJN","PNS","BPN","LTW"
"L","EKO","G4","SMTA","LL","PSN","LLW_1"
"P","EKO","G4","SRJN","LL","PNS","LTW"
"P","EKO","G4","SMTA","LL","PNS","LTW"
"P","EKO","G2","SMTA","PDG","PSN","LC"
"P","EKO","G5","SMTA","LL","PNS","LTW"
"P","EKO","G1","LL","BPN","PDG","LTW"
"L","EKO","G2","SRJN","PS","PS","LLW_1"
"L","EKO","G4","SMTA","LL","PNS","LTW"
"P","EKO","G2","SD","PDG","BPN","LTW"
"P","EKO","G3","SMTA","LL","PSN","LLW_1"
"L","EKO","G5","SRJN","PS","PSN","LLW_1"
"L","EKO","G4","SMTA","LL","PDG","LTW"
"L","EKO","G3","SMP","PDG","PDG","LTW"
"P","EKO","G4","SRJN","GRD","GRD","LTW"
"P","EKO","G4","SMTA","LL","LL","LLW_1"
"L","EKO","G4","SMTA","LL","PDG","LTW"
"P","EKO","G2","SMP","BPN","BPN","LTW"
"P","EKO","G4","SMTA","PDG","PNS","LTW"
"L","EKO","G3","SRJN","GRD","PNS","LTW"
"P","EKO","G3","SMTA","LL","PS","LTW"
"P","EKO","G2","LL","LL","BPN","LTW"
"P","EKO","G7","SRJN","LL","PDG","LTW"
"P","EKO","G3","SMTA","PDG","PDG","LTW"
"P","EKO","G3","SD","PDG","PDG","LTW"
"P","EKO","G3","SMTA","GRD","PDG","LTW"
"P","EKO","G3","SMTA","LL","PDG","LTW"
"L","EKO","G4","SRJN","PNS","PNS","LTW"
"P","EKO","G3","SMTA","LL","PS","LC"
"P","EKO","G2","SD","LL","PS","LTW"
"P","EKO","G2","SMTA","LL","PDG","LLW_1"
"P","EKO","G6","SRJN","GRD","PS","LTW"
"P","EKO","G4","SRJN","GRD","LL","LTW"
"P","EKO","G2","SRJN","GRD","GRD","LLW_1"
"P","EKO","G3","SD","LL","PDG","LTW"
"P","EKO","G4","SMTA","PDG","PSN","LTW"
"L","EKO","G4","SRJN","PS","PDG","LLW_1"
"L","EKO","G2","SMTA","BPN","BPN","LTW"
"P","EKO","G4","SRJN","PDG","PNS","LTW"
"P","EKO","G3","SMP","LL","PS","LTW"
"L","EKO","G7","SMTA","LL","PS","LTW"
"P","EKO","G5","LL","PSN","GRD","LTW"
"L","EKO","G4","SRJN","GRD","PDG","LLW_1"
"P","EKO","G4","SRJN","GRD","PS","LC"
"P","EKO","G4","SMTA","LL","PSN","LC"
"P","EKO","G2","SRJN","LL","BPN","LTW"
"P","EKO","G4","SRJN","PNS","PS","LC"
"P","EKO","G3","SD","BPN","PDG","LC"
"P","EKO","G4","SRJN","GRD","PNS","LC"
"P","EKO","G4","SMTA","LL","PNS","LC"
"P","KOM","G1","SMTA","LL","PSN","LLW_2"
"P","KOM","G4","SMP","PDG","PDG","LLW_2"
"P","KOM","G5","SMTA","LL","PS","LLW_2"
"L","KOM","G3","SMTA","LL","PSN","LLW_2"
"P","KOM","G4","SMTA","PDG","PDG","LLW_1"
"P","KOM","G1","SMTA","PDG","PDG","LLW_2"
"P","KOM","G3","SMTA","PDG","PSN","LLW_2"
"P","KOM","G4","SRJN","GRD","LL","LLW_2"
"P","KOM","G1","SRJN","PDG","PDG","LLW_2"
"L","KOM","G3","SMTA","PS","LL","LLW_2"
"P","KOM","G3","SRJN","LL","GRD","LLW_2"
"P","KOM","G3","SMTA","PDG","LL","LLW_2"
"P","KOM","G2","SRJN","GRD","GRD","LLW_1"
"P","KOM","G4","SRJN","GRD","PS","LLW_2"
"P","KOM","G4","SRJN","PS","PNS","LLW_1"
"L","KOM","G2","SRJN","GRD","LL","LLW_2"
"P","KOM","G3","SMTA","PNS","PNS","LLW_1"
"L","KOM","G4","SRJN","LL","GRD","LLW_1"
"P","KOM","G3","SRJN","GRD","BPN","LLW_1"
"L","KOM","G2","SD","LL","PDG","LLW_2"
"P","KOM","G4","SRJN","PNS","PNS","LLW_1"
"P","KOM","G2","SMP","LL","PDG","LLW_1"
"L","KOM","G3","SMP","LL","PDG","LLW_2"
"L","KOM","G2","SD","LL","BPN","LLW_2"
"L","KOM","G2","SMTA","LL","PSN","LLW_1"
"L","KOM","G3","SRJN","GRD","PDG","LLW_2"
"L","KOM","G2","LL","PDG","PDG","LLW_2"
"L","KOM","G3","SRJN","GRD","PNS","LLW_1"
"P","KOM","G3","SMTA","GRD","PNS","LLW_1"
"P","KOM","G3","SMTA","PNS","GRD","LLW_1"
"L","KOM","G1","SMTA","LL","PS","LLW_2"
"P","KOM","G1","SMP","PDG","LL","LLW_1"
"P","KOM","G2","SMTA","LL","PDG","LLW_1"
"P","KOM","G3","SD","LL","PDG","LLW_1"
"P","KOM","G2","SMTA","LL","PSN","LLW_2"
"P","KOM","G3","SMP","PDG","PDG","LLW_1"
"L","KOM","G4","SRJN","LL","GRD","LLW_2"
"L","KOM","G3","SMTA","LL","PNS","LLW_2"
"L","KOM","G1","SRJN","LL","PS","LLW_2"
"P","KOM","G3","SRJN","GRD","GRD","LLW_1"
"P","KOM","G4","SMTA","PDG","LL","LLW_2"
"L","KOM","G3","SRJN","GRD","PS","LLW_2"
"P","KOM","G2","SD","PDG","BPN","LLW_2"
"P","KOM","G2","SRJN","LL","PSN","LLW_2"
"P","KOM","G1","SMTA","BPN","BPN","LLW_1"
"P","KOM","G2","SMTA","PDG","PDG","LLW_1"
"P","KOM","G2","SMTA","LL","PS","LLW_2"
"L","KOM","G3","SMTA","LL","LL","LLW_1"
"P","KOM","G3","SRJN","PNS","GRD","LLW_1"
"P","KOM","G3","SMTA","LL","PS","LLW_1"
"L","KOM","G2","SRJN","LL","PS","LLW_2"
"P","KOM","G4","SRJN","LL","PS","LLW_1"
"P","KOM","G4","SRJN","PDG","PNS","LLW_2"
"P","KOM","G2","SMTA","PDG","LL","LLW_1"
"P","KOM","G3","SMTA","LL","PDG","LTW"
"L","KOM","G4","SRJN","GRD","LL","LLW_1"
"L","KOM","G1","SRJN","PDG","BPN","LLW_1"
"P","KOM","G2","SD","LL","BPN","LLW_1"
"P","KOM","G3","SMP","PDG","PDG","LLW_1"
"P","KOM","G3","SMTA","LL","PNS","LLW_2"
"P","KOM","G3","SMTA","LL","BPN","LLW_2"
"P","KOM","G3","SMTA","PDG","PDG","LLW_1"
"L","KOM","G3","SRJN","GRD","LL","LLW_2"
"P","KOM","G5","SMTA","PDG","PDG","LLW_2"
"P","KOM","G4","SMTA","PDG","PDG","LLW_2"
"P","KOM","G4","SRJN","PNS","LL","LLW_1"
"P","KOM","G4","SMTA","LL","PSN","LLW_2"
"P","KOM","G5","SMTA","PS","PNS","LLW_2"
"L","KOM","G3","SMTA","LL","PSN","LLW_2"
"P","KOM","G3","SRJN","LL","PS","LLW_1"
"P","KOM","G5","SRJN","PNS","PNS","LLW_2"
"L","KOM","G3","SRJN","PS","PSN","LLW_2"
"P","KOM","G4","SMTA","LL","PNS","LLW_1"
"P","KOM","G3","SRJN","GRD","PSN","LLW_2"
"P","KOM","G3","SRJN","LL","PS","LLW_2"
"L","KOM","G5","SMTA","LL","PNS","LLW_2"
"P","KOM","G3","SMTA","LL","LL","LLW_2"
"L","KOM","G4","SRJN","GRD","GRD","LLW_2"
"L","KOM","G4","SRJN","LL","PS","LLW_2"
"P","KOM","G4","SRJN","GRD","PNS","LLW_1"
"P","KOM","G4","SRJN","PNS","PDG","LTW"
"P","KOM","G4","SMTA","LL","PS","LLW_1"
"P","KOM","G7","SRJN","PNS","PNS","LLW_1"
"L","KOM","G4","SMTA","PDG","PNS","LLW_2"
"P","KOM","G3","SRJN","PNS","PNS","LTW"
"P","KOM","G5","SRJN","LL","PSN","LLW_1"
"P","KOM","G3","SMTA","LL","PNS","LTW"
"P","KOM","G4","SRJN","PNS","GRD","LLW_2"
"P","KOM","G5","SRJN","GRD","PDG","LLW_2"
"P","KOM","G2","SMTA","PDG","PDG","LTW"
"L","KOM","G2","SMTA","GRD","PDG","LLW_1"
"P","KOM","G3","SMTA","LL","PSN","LLW_2"
"L","KOM","G3","SMTA","LL","PNS","LLW_1"
"L","KOM","G5","SRJN","GRD","PNS","LLW_1"
"L","KOM","G3","SMTA","PDG","PDG","LLW_2"
"L","KOM","G4","SMTA","PNS","PNS","LLW_1"
"P","KOM","G2","SRJN","PDG","PDG","LLW_2"
"L","KOM","G4","SMTA","PDG","PNS","LLW_2"
"P","KOM","G4","SMTA","PNS","PS","LLW_1"
"L","KOM","G6","SRJN","LL","LL","LLW_1"
"P","KOM","G2","SMP","PDG","PDG","LLW_2"
"P","KOM","G3","SMP","LL","PSN","LLW_2"
"L","KOM","G2","SMTA","GRD","BPN","LLW_1"
"P","KOM","G5","SRJN","PNS","PDG","LLW_1"
"P","KOM","G3","SMP","PDG","PDG","LLW_2"
"L","KOM","G2","SD","LL","LL","LLW_2"
"P","KOM","G3","SRJN","PNS","GRD","LTW"
"L","KOM","G3","SMTA","LL","PSN","LLW_1"
"P","KOM","G3","SRJN","PNS","PNS","LTW"
"P","KOM","G4","SRJN","GRD","PNS","LTW"
"P","KOM","G2","SMTA","PS","PDG","LLW_2"
"P","KOM","G4","SMTA","LL","PDG","LLW_2"
"L","KOM","G3","LL","PSN","PDG","LLW_1"
"L","KOM","G7","SMTA","PDG","PDG","LLW_1"
"P","KOM","G2","LL","PDG","BPN","LTW"
"P","KOM","G4","SRJN","PDG","PS","LLW_1"
"P","KOM","G2","SMTA","LL","PDG","LLW_1"
"L","KOM","G2","SRJN","GRD","GRD","LLW_1"
"P","KOM","G4","SRJN","LL","PS","LLW_2"
"L","KOM","G5","SMTA","LL","PS","LLW_1"
"L","KOM","G5","SRJN","GRD","LL","LLW_2"
"P","KOM","G6","SRJN","PDG","PS","LLW_1"
"P","KOM","G4","SRJN","PNS","PS","LLW_1"
"L","KOM","G5","SRJN","PDG","PNS","LLW_1"
"L","KOM","G4","SRJN","GRD","GRD","LLW_2"
"P","KOM","G3","SRJN","GRD","GRD","LTW"
"P","KOM","G4","SRJN","GRD","GRD","LLW_1"
"L","KOM","G3","SMP","PDG","PDG","LLW_1"
"P","KOM","G7","SRJN","PS","PS","LLW_2"
"L","KOM","G5","SRJN","GRD","PDG","LLW_2"
"L","KOM","G4","SMTA","PDG","GRD","LLW_1"
"P","KOM","G4","SMTA","LL","PDG","LTW"
"P","KOM","G1","SD","PDG","GRD","LTW"
"P","KOM","G4","SMTA","LL","PNS","LLW_2"
"P","KOM","G2","SMP","LL","PDG","LLW_1"
"P","KOM","G4","SMTA","LL","PS","LLW_1"
"L","KOM","G3","SRJN","LL","PNS","LTW"
"P","KOM","G2","SRJN","PDG","BPN","LLW_1"
"P","KOM","G3","SRJN","GRD","PDG","LLW_1"
"L","KOM","G7","SRJN","GRD","PS","LLW_1"
"P","KOM","G3","SRJN","GRD","GRD","LLW_2"
"P","KOM","G3","SMTA","LL","PSN","LLW_1"
"P","KOM","G3","SRJN","PDG","PDG","LTW"
"P","KOM","G3","SRJN","PSN","LL","LLW_2"
"P","KOM","G4","SMTA","LL","PDG","LLW_1"
"P","KOM","G3","SRJN","PNS","GRD","LLW_1"
"L","KOM","G4","SMTA","PSN","PSN","LTW"
"L","KOM","G2","SMTA","PDG","BPN","LLW_2"
"P","KOM","G3","SMTA","LL","PS","LLW_1"
"L","KOM","G4","SRJN","GRD","GRD","LTW"
"P","KOM","G3","SMTA","PS","PDG","LLW_2"
"P","KOM","G2","SMTA","PDG","PDG","LLW_2"
"P","KOM","G3","SRJN","GRD","PSN","LLW_1"
"L","KOM","G5","SMP","LL","PDG","LTW"
"P","KOM","G4","SMP","PDG","PDG","LLW_2"
"P","KOM","G4","SRJN","GRD","GRD","LLW_1"
"L","KOM","G3","SMP","PDG","PDG","LLW_2"
"P","KOM","G3","SMTA","GRD","PDG","LTW"
"P","KOM","G4","SMP","PDG","PDG","LLW_1"
"P","KOM","G6","SD","LL","BPN","LLW_1"
"P","KOM","G3","SRJN","LL","PS","LLW_1"
"L","KOM","G3","SMTA","LL","PSN","LTW"
"L","KOM","G4","SMTA","PDG","PDG","LLW_2"
"P","KOM","G3","SRJN","PSN","PSN","LLW_2"
"P","KOM","G3","SMTA","PNS","PS","LTW"
"P","KOM","G3","SMP","PDG","PDG","LLW_1"
"P","KOM","G6","SRJN","LL","LL","LLW_2"
"P","KOM","G2","SMTA","LL","PDG","LLW_2"
"L","KOM","G3","SMTA","PS","PDG","LLW_1"
"P","KOM","G4","SRJN","LL","PNS","LLW_1"
"P","KOM","G3","SMTA","LL","PS","LTW"
"L","KOM","G4","SRJN","LL","PS","LLW_2"
"L","KOM","G3","SRJN","GRD","PNS","LLW_2"
"P","KOM","G2","SMTA","LL","PDG","LLW_1"
"P","KOM","G4","SD","LL","PDG","LTW"
"P","KOM","G3","SRJN","PNS","PS","LLW_1"
"P","KOM","G7","SRJN","PS","PNS","LLW_2"
"P","KOM","G2","SRJN","PNS","PDG","LLW_1"
"P","KOM","G3","SD","PDG","PSN","LLW_2"
"P","KOM","G2","SD","LL","BPN","LLW_1"
"P","KOM","G3","SRJN","PNS","BPN","LLW_1"
"P","KOM","G4","SRJN","GRD","GRD","LLW_1"
"P","KOM","G3","SRJN","LL","PDG","LLW_1"
"P","KOM","G5","SMP","PDG","PDG","LLW_1"
"P","KOM","G3","SMTA","LL","PS","LTW"
"P","KOM","G3","SRJN","PS","PNS","LLW_1"
"P","KOM","G4","SRJN","LL","PS","LTW"
"L","KOM","G5","SRJN","LL","PS","LTW"
"L","KOM","G3","SRJN","LL","LL","LLW_2"
"P","KOM","G5","SMP","LL","PDG","LLW_1"
"P","KOM","G4","SRJN","GRD","GRD","LLW_1"
"P","KOM","G7","SMTA","LL","PDG","LTW"
"P","KOM","G2","SMP","PDG","PS","LLW_1"
"P","KOM","G4","SMTA","LL","PNS","LTW"
"P","KOM","G4","SRJN","GRD","GRD","LTW"
"L","KOM","G4","SRJN","PNS","PNS","LLW_2"
"P","KOM","G4","SMTA","PS","LL","LLW_1"
"P","KOM","G7","SMTA","LL","PS","LLW_2"
"P","KOM","G4","SRJN","LL","PDG","LLW_2"
"P","KOM","G2","SRJN","LL","BPN","LLW_1"
"L","KOM","G3","SMTA","PNS","LL","LLW_2"
"L","KOM","G4","SMTA","LL","PNS","LLW_1"
"L","KOM","G4","SMTA","LL","LL","LLW_1"
"L","KOM","G4","SRJN","GRD","PNS","LLW_1"
"L","KOM","G3","SD","PDG","PS","LC"
"L","KOM","G5","SRJN","PSN","PS","LLW_1"
"L","KOM","G5","SMTA","LL","PS","LLW_1"
"P","KOM","G3","SMTA","LL","PS","LLW_1"
"P","KOM","G3","SMTA","PNS","LL","LLW_1"
"P","KOM","G4","SMTA","PNS","LL","LC"
"P","KOM","G2","SMTA","LL","LL","LC"
"P","KOM","G4","SRJN","LL","GRD","LLW_1"
"L","KOM","G4","SRJN","GRD","PDG","LLW_1"
"L","KOM","G7","SMTA","PDG","LL","LLW_1"
"L","KOM","G4","SMTA","PDG","PDG","LLW_1"
"L","KOM","G7","SMTA","PDG","PDG","LLW_1"
"P","KOM","G4","SRJN","LL","PNS","LLW_1"
"P","KOM","G4","SRJN","GRD","PNS","LLW_1"
"L","KOM","G4","SMTA","PSN","PSN","LC"
"P","KOM","G3","SRJN","GRD","GRD","LLW_1"
"P","KOM","G2","SD","LL","BPN","LLW_1"
"P","KOM","G4","SRJN","GRD","PSN","LLW_1"
"P","KOM","G5","SMP","PDG","PDG","LLW_1"
"P","KOM","G4","SMTA","LL","LL","LLW_1"
"P","KOM","G4","SMTA","LL","GRD","LLW_1"
"L","KOM","G4","SRJN","PS","PS","LLW_1"
"P","KOM","G4","SRJN","GRD","PDG","LLW_1"
"P","KOM","G3","SRJN","GRD","GRD","LLW_1"
"P","KOM","G4","SMTA","PDG","GRD","LTW"
"P","KOM","G6","SRJN","PNS","PDG","LLW_1"
"P","KOM","G3","SD","LL","PNS","LLW_1"
"P","KOM","G3","SMTA","LL","PS","LLW_1"
"L","KOM","G4","SMTA","PDG","PNS","LLW_1"
"P","KOM","G2","SMTA","PDG","PDG","LLW_1"
"P","KOM","G3","SMTA","LL","BPN","LLW_1"
"P","KOM","G3","SMTA","PNS","BPN","LTW"
"P","KOM","G3","SMTA","PS","LL","LLW_2"
"L","KOM","G1","SMTA","LL","PDG","LLW_1"
"P","KOM","G1","SMP","LL","BPN","LLW_1"
"P","KOM","G3","SMTA","PNS","PS","LLW_2"
"P","KOM","G5","SRJN","GRD","GRD","LLW_1"
"P","KOM","G1","SMTA","PDG","BPN","LLW_1"
"P","KOM","G4","SMTA","PNS","PNS","LLW_1"
"P","KOM","G3","SRJN","PS","PS","LLW_1"
"P","KOM","G3","SMTA","PDG","PDG","LLW_1"
"P","KOM","G4","SRJN","GRD","PNS","LLW_1"
"P","KOM","G5","SRJN","PDG","PS","LLW_1"
"P","KOM","G4","SRJN","GRD","PNS","LLW_1"
"P","KOM","G7","SRJN","PNS","PNS","LLW_1"
"P","KOM","G2","SMTA","PDG","PDG","LLW_1"
"P","KOM","G4","SRJN","GRD","GRD","LLW_1"
"L","KOM","G4","SMTA","PS","PS","LC"
"P","KOM","G3","SD","PDG","PDG","LLW_1"
"L","KOM","G4","SRJN","PNS","PS","LLW_1"
"P","KOM","G4","SRJN","LL","GRD","LTW"
"L","KOM","G5","SRJN","PNS","GRD","LLW_1"
"L","KOM","G7","SRJN","LL","PDG","LTW"
"P","KOM","G5","SRJN","GRD","GRD","LLW_1"
"L","KOM","G2","SRJN","PS","PDG","LLW_1"
"P","KOM","G3","SD","LL","PDG","LLW_1"
