,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IPK_TERAKHIR
1540,P,HUK,G3,SMTA,LL,GRD,IPK_CUM
1541,L,HUK,G5,SRJN,GRD,PSN,IPK_SM
1542,P,HUK,G6,SRJN,GRD,PNS,IPK_SM
1543,L,HUK,G4,SMTA,LL,PDG,IPK_M
1544,P,HUK,G4,SRJN,LL,GRD,IPK_SM
1545,P,HUK,G2,SMTA,LL,PS,IPK_SM
1546,P,HUK,G4,SRJN,PNS,PNS,IPK_CUM
1547,L,HUK,G3,SMTA,PSN,PSN,IPK_CUM
1548,P,HUK,G4,SMP,PDG,PDG,IPK_SM
1549,P,HUK,G3,SMTA,PS,PSN,IPK_SM
1550,P,HUK,G3,SMTA,PDG,PDG,IPK_CUM
1551,P,HUK,G3,SMTA,LL,PSN,IPK_SM
1552,P,HUK,G5,SMTA,PDG,PDG,IPK_CUM
1553,P,HUK,G4,SMTA,PDG,PDG,IPK_CUM
1554,L,HUK,G7,SRJN,PS,PS,IPK_SM
1555,L,HUK,G3,SRJN,PS,PS,IPK_SM
1556,P,HUK,G6,SMTA,LL,PS,IPK_CUM
1557,P,HUK,G2,SMTA,LL,PDG,IPK_SM
1558,L,HUK,G7,SRJN,LL,PDG,IPK_M
1559,P,HUK,G5,SRJN,PNS,PNS,IPK_SM
1560,P,HUK,G4,SMTA,LL,PNS,IPK_CUM
1561,P,HUK,G4,SRJN,GRD,PS,IPK_SM
1562,P,HUK,G4,SRJN,LL,PSN,IPK_SM
1563,P,HUK,G2,SMP,LL,PDG,IPK_CUM
1564,P,HUK,G5,SMTA,LL,PNS,IPK_SM
1565,P,HUK,G5,SRJN,PDG,PDG,IPK_KM
1566,P,HUK,G3,SMTA,LL,PDG,IPK_CUM
1567,L,HUK,G3,SMTA,PS,PS,IPK_CUM
1568,L,HUK,G4,SMTA,PNS,ABRI,IPK_CUM
1569,L,HUK,G3,SRJN,PDG,PDG,IPK_SM
1570,L,HUK,G4,SRJN,GRD,PSN,IPK_SM
1571,L,HUK,G3,SRJN,PDG,PNS,IPK_SM
1572,P,HUK,G5,SMTA,PDG,PDG,IPK_SM
1573,L,HUK,G3,SMP,PDG,PDG,IPK_SM
1574,P,HUK,G4,SMTA,LL,PNS,IPK_SM
1575,L,HUK,G3,SMTA,PDG,PDG,IPK_SM
1576,P,HUK,G2,SMTA,BPN,LL,IPK_CUM
1577,P,HUK,G4,SMTA,GRD,PNS,IPK_CUM
1578,L,HUK,G4,SRJN,PS,PNS,IPK_SM
1579,L,HUK,G2,LL,PDG,PDG,IPK_SM
1580,P,HUK,G3,SMTA,PDG,PS,IPK_CUM
1581,P,HUK,G5,SMTA,PDG,PDG,IPK_SM
1582,L,HUK,G4,SMTA,PS,PS,IPK_SM
1583,P,HUK,G3,SRJN,PDG,GRD,IPK_CUM
1584,L,HUK,G5,SRJN,GRD,PNS,IPK_SM
1585,L,HUK,G4,SRJN,GRD,PNS,IPK_SM
1586,L,HUK,G5,SRJN,GRD,PS,IPK_SM
1587,P,HUK,G2,SMTA,LL,PS,IPK_SM
1588,P,HUK,G3,SRJN,GRD,PNS,IPK_CUM
1589,L,HUK,G3,SMTA,PDG,GRD,IPK_SM
1590,L,HUK,G5,SRJN,PNS,PS,IPK_SM
1591,L,HUK,G2,SMP,LL,PSN,IPK_SM
1592,P,HUK,G3,SRJN,LL,PSN,IPK_SM
1593,P,HUK,G1,SMTA,LL,PS,IPK_CUM
1594,L,HUK,G3,SRJN,LL,PNS,IPK_M
1595,P,HUK,G2,SMP,LL,PSN,IPK_SM
1596,L,HUK,G6,SRJN,PDG,PS,IPK_SM
1597,P,HUK,G2,SMP,LL,PSN,IPK_CUM
1598,P,HUK,G4,SMTA,PDG,PS,IPK_CUM
1599,L,HUK,G4,LL,LL,PDG,IPK_SM
1600,L,HUK,G3,SD,PDG,PNS,IPK_CUM
1601,L,HUK,G4,SRJN,GRD,ABRI,IPK_SM
1602,L,HUK,G3,LL,PDG,BPN,IPK_SM
1603,L,HUK,G5,SRJN,LL,LL,IPK_M
1604,P,HUK,G1,SD,BPN,BPN,IPK_CUM
1605,P,HUK,G3,SRJN,GRD,BPN,IPK_CUM
1606,L,HUK,G4,SRJN,GRD,GRD,IPK_CUM
1607,P,HUK,G4,SMTA,LL,ABRI,IPK_SM
1608,P,HUK,G4,SMTA,LL,PNS,IPK_CUM
1609,L,HUK,G4,SRJN,GRD,ABRI,IPK_SM
1610,P,HUK,G4,SRJN,GRD,PSN,IPK_M
1611,L,HUK,G5,SRJN,PDG,PDG,IPK_M
1612,L,HUK,G4,SMP,LL,GRD,IPK_CUM
1613,L,HUK,G3,SRJN,GRD,PNS,IPK_CUM
1614,P,HUK,G3,SRJN,PS,GRD,IPK_SM
1615,P,HUK,G4,SMTA,PDG,PNS,IPK_SM
1616,L,HUK,G4,SRJN,GRD,GRD,IPK_SM
1617,P,HUK,G2,SMTA,LL,PDG,IPK_CUM
