,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,STATUS_LULUS
116,L,AKU,G4,SRJN,GRD,PNS,LTW
117,P,AKU,G4,SRJN,GRD,GRD,LTW
118,P,AKU,G4,SMTA,PDG,ABRI,LTW
119,P,AKU,G3,SRJN,PNS,GRD,LTW
120,P,AKU,G3,SMTA,LL,PNS,LTW
121,P,AKU,G5,SRJN,GRD,PSN,LLW
122,P,AKU,G3,SMTA,GRD,LL,LTW
123,L,AKU,G4,SRJN,GRD,GRD,LLW
124,P,AKU,G2,SMP,PDG,LL,LTW
125,P,AKU,G4,SRJN,PNS,PDG,LTW
126,P,AKU,G4,SRJN,GRD,GRD,LTW
127,L,AKU,G7,SRJN,LL,PNS,LLW
128,L,AKU,G3,SMTA,LL,PS,LTW
129,L,AKU,G4,SRJN,PS,LL,LLW
130,L,AKU,G4,SMTA,PSN,PS,LLW
131,P,AKU,G4,SD,PDG,PS,LTW
132,P,AKU,G3,SRJN,LL,PDG,LTW
133,P,AKU,G4,SRJN,PS,PNS,LTW
134,P,AKU,G2,SMTA,LL,LL,LTW
135,P,AKU,G2,SRJN,LL,PDG,LTW
136,P,AKU,G4,SRJN,PNS,PSN,LLW
137,P,AKU,G3,SRJN,LL,PS,LTW
138,L,AKU,G3,SRJN,GRD,GRD,LTW
139,L,AKU,G4,SMP,BPN,GRD,LTW
140,L,AKU,G3,SRJN,GRD,BPN,LLW
141,P,AKU,G4,SRJN,GRD,GRD,LTW
142,P,AKU,G4,SRJN,GRD,GRD,LLW
143,P,AKU,G5,SMTA,PNS,GRD,LTW
144,L,AKU,G4,SRJN,PS,GRD,LLW
145,L,AKU,G4,SRJN,PS,PS,LTW
146,P,AKU,G3,SRJN,GRD,PS,LTW
147,L,AKU,G3,SRJN,PSN,PSN,LLW
148,P,AKU,G4,SMTA,PDG,PDG,LTW
149,P,AKU,G4,SRJN,PDG,PDG,LTW
150,P,AKU,G3,SMTA,LL,PS,LTW
151,P,AKU,G2,SMP,BPN,BPN,LTW
152,P,AKU,G4,SRJN,GRD,LL,LTW
153,L,AKU,G4,SRJN,GRD,GRD,LTW
154,P,AKU,G2,LL,PDG,PDG,LTW
155,L,AKU,G3,SMTA,LL,PNS,LTW
156,P,AKU,G3,SRJN,GRD,GRD,LTW
157,P,AKU,G5,SRJN,GRD,GRD,LTW
158,L,AKU,G3,SRJN,LL,PDG,LLW
159,P,AKU,G4,SMTA,LL,PS,LLW
160,P,AKU,G4,SMTA,LL,PSN,LTW
161,L,AKU,G5,SRJN,GRD,GRD,LTW
162,P,AKU,G2,SD,LL,LL,LTW
163,P,AKU,G5,SRJN,GRD,PSN,LTW
164,P,AKU,G4,SD,LL,PDG,LTW
