@relation data_uji_mipa_sosial_ipk
@attribute JK{L,P}
@attribute JUR{AKU,EKO,HUK,KOM}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{ABRI,BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{ABRI,BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute IP_S1 real
@attribute IP_S2 real
@attribute IPK_TERAKHIR{IPK_CUM,IPK_KM,IPK_M,IPK_SM}
@data
"L","HUK","G4","SMTA","PNS","PSN",2.8,2.65,"IPK_SM"
"P","KOM","G5","SRJN","PS","PNS",3.41,3.45,"IPK_SM"
"L","AKU","G6","SRJN","GRD","GRD",3.05,3.35,"IPK_SM"
"P","KOM","G4","SRJN","GRD","GRD",3.14,3.77,"IPK_SM"
"L","HUK","G4","SRJN","GRD","ABRI",2.7,2.75,"IPK_SM"
"L","AKU","G2","SMTA","LL","PSN",3.45,3.45,"IPK_SM"
"P","KOM","G4","SRJN","GRD","PNS",3.14,3.7,"IPK_SM"
"P","KOM","G3","SMTA","PS","LL",3.45,3.05,"IPK_SM"
"L","HUK","G4","SMTA","LL","PNS",2.7,2.3,"IPK_SM"
"L","HUK","G7","SRJN","PS","PNS",2.4,2.85,"IPK_SM"
"L","KOM","G2","SMTA","LL","PSN",3.27,2.82,"IPK_SM"
"P","AKU","G3","SMTA","LL","BPN",3.33,3.5,"IPK_SM"
"L","EKO","G2","SMP","PDG","PDG",3.33,2.75,"IPK_SM"
"L","AKU","G4","SRJN","GRD","PNS",2.96,2.57,"IPK_SM"
"L","AKU","G3","SMTA","LL","PSN",2.67,3.0,"IPK_SM"
"P","KOM","G4","SRJN","GRD","PNS",2.95,3.35,"IPK_SM"
"L","AKU","G3","SMP","PSN","PSN",3.0,3.25,"IPK_SM"
"P","HUK","G4","SRJN","PNS","PSN",2.0,2.85,"IPK_SM"
"L","KOM","G4","SRJN","GRD","LL",3.36,2.86,"IPK_SM"
"P","KOM","G4","SRJN","GRD","ABRI",3.77,3.04,"IPK_SM"
"L","KOM","G2","SRJN","LL","PS",3.05,2.86,"IPK_SM"
"L","AKU","G5","SMTA","LL","PNS",2.95,3.19,"IPK_SM"
"P","KOM","G4","SRJN","PNS","PDG",2.55,3.29,"IPK_SM"
"L","HUK","G4","SRJN","GRD","PDG",3.0,3.0,"IPK_SM"
"L","AKU","G5","LL","LL","PS",3.18,3.35,"IPK_SM"
"P","HUK","G2","SMTA","LL","PSN",2.75,3.15,"IPK_SM"
"P","KOM","G3","SMTA","LL","PS",3.5,3.5,"IPK_SM"
"L","AKU","G4","SRJN","LL","PNS",3.25,2.95,"IPK_SM"
"P","AKU","G4","SMTA","PNS","PDG",3.32,3.39,"IPK_SM"
"P","HUK","G4","SRJN","PNS","PNS",2.4,3.1,"IPK_SM"
"P","AKU","G3","SRJN","GRD","GRD",3.08,3.09,"IPK_SM"
"P","HUK","G3","SMP","LL","PS",3.0,2.68,"IPK_SM"
"P","HUK","G3","SRJN","LL","LL",2.6,3.1,"IPK_SM"
"P","HUK","G3","SRJN","PDG","PDG",2.9,2.65,"IPK_SM"
"P","EKO","G4","SRJN","GRD","GRD",3.29,3.42,"IPK_SM"
"L","KOM","G5","SRJN","LL","PS",2.91,2.85,"IPK_SM"
"P","HUK","G3","SRJN","LL","PSN",3.1,2.73,"IPK_SM"
"L","HUK","G3","LL","PDG","BPN",3.5,2.86,"IPK_SM"
"P","AKU","G5","SMTA","PNS","PS",3.27,3.09,"IPK_SM"
"L","EKO","G1","SD","LL","BPN",3.54,3.42,"IPK_SM"
"P","HUK","G3","SRJN","GRD","GRD",2.55,2.4,"IPK_SM"
"P","HUK","G4","SRJN","LL","PSN",3.3,2.91,"IPK_SM"
"L","HUK","G4","SMTA","LL","PNS",2.57,2.23,"IPK_SM"
"P","AKU","G3","SRJN","PDG","BPN",2.5,2.58,"IPK_SM"
"L","EKO","G2","SMTA","LL","PS",2.38,2.56,"IPK_SM"
"L","EKO","G3","SMTA","PDG","GRD",3.08,3.46,"IPK_SM"
"P","KOM","G3","SMTA","PNS","PS",2.95,3.5,"IPK_SM"
"P","EKO","G3","SMTA","LL","GRD",3.17,2.62,"IPK_SM"
"L","HUK","G4","SRJN","GRD","PNS",2.9,2.3,"IPK_SM"
"L","HUK","G2","LL","PDG","PDG",2.8,2.9,"IPK_SM"
"L","HUK","G4","SRJN","PNS","PDG",2.1,2.15,"IPK_SM"
"P","HUK","G4","SMTA","PNS","PNS",2.6,2.95,"IPK_SM"
"P","HUK","G4","SMTA","LL","ABRI",2.6,3.05,"IPK_SM"
"L","KOM","G5","SMTA","LL","PDG",3.32,3.45,"IPK_SM"
"L","HUK","G4","SRJN","GRD","PSN",3.1,3.12,"IPK_SM"
"L","AKU","G5","SRJN","PS","PS",3.36,3.39,"IPK_SM"
"P","KOM","G2","SMTA","PDG","PDG",3.23,3.45,"IPK_SM"
"P","EKO","G4","SMTA","PDG","PDG",3.23,2.83,"IPK_SM"
"P","HUK","G4","SMTA","PDG","PDG",3.1,2.65,"IPK_SM"
"L","EKO","G3","SRJN","PNS","PSN",3.21,3.08,"IPK_SM"
"P","KOM","G7","SRJN","PNS","PNS",3.36,3.45,"IPK_SM"
"P","HUK","G3","SMTA","PDG","GRD",3.2,2.64,"IPK_SM"
"L","AKU","G4","SRJN","LL","PSN",3.48,3.13,"IPK_SM"
"L","HUK","G4","SRJN","GRD","ABRI",2.8,2.6,"IPK_SM"
"L","AKU","G4","SRJN","GRD","GRD",3.33,3.65,"IPK_SM"
"L","EKO","G4","SRJN","LL","GRD",3.54,3.54,"IPK_SM"
"P","HUK","G3","SMTA","LL","GRD",2.7,3.0,"IPK_SM"
"P","HUK","G7","SRJN","PDG","PDG",2.6,2.15,"IPK_SM"
"L","EKO","G4","SRJN","GRD","PS",3.12,2.96,"IPK_SM"
"L","AKU","G3","LL","PDG","PDG",3.21,2.92,"IPK_SM"
"L","HUK","G2","SMTA","LL","PS",2.6,3.05,"IPK_SM"
"L","AKU","G4","SMTA","LL","PNS",2.62,3.0,"IPK_SM"
"L","EKO","G4","SD","PDG","PDG",3.29,2.79,"IPK_SM"
"L","AKU","G7","SRJN","GRD","GRD",3.25,3.19,"IPK_SM"
"L","EKO","G4","SRJN","GRD","PDG",2.95,3.55,"IPK_SM"
"P","AKU","G2","LL","LL","PDG",3.08,3.17,"IPK_SM"
"P","HUK","G4","SMTA","LL","PNS",3.2,3.05,"IPK_SM"
"P","EKO","G3","SRJN","LL","PS",3.12,3.79,"IPK_SM"
"L","AKU","G4","SRJN","GRD","PNS",2.25,3.11,"IPK_SM"
"L","EKO","G5","SRJN","PNS","PNS",2.96,2.86,"IPK_SM"
"P","EKO","G4","SRJN","GRD","LL",2.95,3.3,"IPK_SM"
"P","KOM","G2","LL","LL","PS",3.64,2.46,"IPK_SM"
"P","EKO","G2","SRJN","LL","PS",3.12,2.67,"IPK_SM"
"P","HUK","G1","SMTA","PDG","PDG",3.1,3.05,"IPK_SM"
"L","HUK","G3","SMTA","PDG","PDG",2.8,2.7,"IPK_SM"
"P","KOM","G2","SMTA","LL","PDG",2.95,3.45,"IPK_SM"
"L","EKO","G7","SRJN","PNS","PNS",3.12,2.88,"IPK_SM"
"P","AKU","G1","SMTA","LL","PDG",3.32,3.77,"IPK_SM"
"L","AKU","G5","SRJN","GRD","PSN",3.33,3.19,"IPK_SM"
"P","AKU","G2","SRJN","PS","PS",2.96,3.0,"IPK_SM"
"P","HUK","G4","SMP","LL","PSN",2.7,2.5,"IPK_SM"
"L","EKO","G4","SMTA","PNS","PNS",2.83,3.21,"IPK_SM"
"L","EKO","G3","SRJN","LL","LL",3.25,3.38,"IPK_SM"
"L","HUK","G4","SMTA","LL","PNS",3.1,2.32,"IPK_SM"
"P","KOM","G5","SRJN","PDG","PS",3.23,3.45,"IPK_SM"
"L","EKO","G4","SMTA","LL","GRD",3.33,3.5,"IPK_SM"
"P","KOM","G2","SMTA","PS","LL",3.27,3.32,"IPK_SM"
"P","AKU","G2","SMP","PDG","LL",3.29,3.0,"IPK_SM"
"L","KOM","G3","SRJN","GRD","GRD",3.09,3.3,"IPK_SM"
"P","AKU","G4","SRJN","PNS","PDG",3.08,3.14,"IPK_SM"
"P","EKO","G3","SMTA","LL","PDG",2.79,3.48,"IPK_SM"
"P","AKU","G4","SRJN","GRD","GRD",3.57,3.48,"IPK_SM"
"L","HUK","G4","SMTA","PDG","ABRI",3.2,3.55,"IPK_SM"
"L","HUK","G3","SMTA","PNS","PSN",2.5,2.1,"IPK_SM"
"L","HUK","G4","SRJN","PNS","PNS",3.0,2.68,"IPK_SM"
"L","HUK","G4","SMTA","LL","PNS",3.1,3.05,"IPK_SM"
"L","EKO","G4","SRJN","GRD","GRD",3.5,3.21,"IPK_SM"
"L","AKU","G4","SMTA","PS","GRD",3.04,3.04,"IPK_SM"
"P","EKO","G2","SMTA","LL","PSN",3.54,3.33,"IPK_SM"
"L","HUK","G3","SD","PDG","PDG",2.6,1.55,"IPK_SM"
"L","EKO","G2","SRJN","LL","PDG",3.54,3.75,"IPK_SM"
"L","EKO","G3","SMTA","LL","PSN",3.25,2.75,"IPK_SM"
"P","KOM","G3","SRJN","PNS","GRD",3.18,3.32,"IPK_SM"
"P","HUK","G5","SMTA","PNS","LL",2.3,3.4,"IPK_SM"
"P","KOM","G4","SRJN","PDG","LL",3.68,3.91,"IPK_SM"
"P","HUK","G5","SMTA","LL","PS",3.1,3.05,"IPK_SM"
"L","HUK","G4","SMTA","PDG","LL",2.8,2.6,"IPK_SM"
"L","HUK","G3","SRJN","GRD","BPN",3.1,2.9,"IPK_SM"
"P","AKU","G3","SMTA","LL","PSN",3.57,3.38,"IPK_SM"
"L","HUK","G4","SRJN","PNS","PSN",2.8,2.3,"IPK_SM"
"P","KOM","G2","SRJN","PNS","PSN",2.71,3.43,"IPK_SM"
"P","HUK","G1","SRJN","PNS","PSN",3.0,2.64,"IPK_SM"
"P","KOM","G1","SMTA","LL","BPN",3.52,3.65,"IPK_SM"
"L","HUK","G3","SMTA","PDG","PS",2.4,2.5,"IPK_SM"
"L","KOM","G4","SRJN","PNS","PSN",3.05,3.18,"IPK_SM"
"L","HUK","G3","SMTA","LL","PNS",3.0,2.7,"IPK_SM"
"L","HUK","G7","SRJN","PDG","PDG",3.1,3.15,"IPK_SM"
"L","EKO","G3","SMTA","LL","PS",3.54,2.96,"IPK_SM"
"L","HUK","G2","SMP","LL","PDG",2.9,2.5,"IPK_SM"
"L","KOM","G4","SMTA","PSN","PSN",3.64,3.36,"IPK_SM"
"P","EKO","G1","LL","BPN","BPN",3.54,3.17,"IPK_SM"
"P","AKU","G4","SRJN","PNS","PSN",3.38,3.29,"IPK_SM"
"L","HUK","G3","SMTA","PS","PSN",2.9,2.6,"IPK_SM"
"P","EKO","G2","SMTA","PS","LL",2.67,2.9,"IPK_SM"
"L","AKU","G1","SMTA","LL","LL",2.88,3.48,"IPK_SM"
"L","AKU","G5","SRJN","PNS","PNS",2.92,2.43,"IPK_SM"
"P","EKO","G3","SMTA","PSN","LL",3.42,3.25,"IPK_SM"
"P","HUK","G1","SMP","BPN","BPN",2.6,2.75,"IPK_SM"
"P","EKO","G3","SMTA","LL","PNS",2.62,3.29,"IPK_SM"
"L","AKU","G6","SRJN","GRD","PS",3.1,3.57,"IPK_SM"
"P","KOM","G7","SRJN","PNS","PNS",3.09,3.05,"IPK_SM"
"L","EKO","G3","SMTA","LL","PS",2.62,2.81,"IPK_SM"
"P","AKU","G5","SRJN","LL","LL",3.33,3.61,"IPK_SM"
"P","HUK","G3","SRJN","LL","PNS",3.0,2.91,"IPK_SM"
"L","HUK","G4","SMTA","LL","GRD",3.0,3.18,"IPK_SM"
"L","HUK","G1","SMP","LL","PSN",1.9,2.25,"IPK_SM"
"P","KOM","G2","SMP","LL","PDG",3.27,2.88,"IPK_SM"
"P","HUK","G4","SMTA","PNS","GRD",2.8,2.7,"IPK_SM"
"P","EKO","G2","SMTA","PDG","PDG",3.12,3.42,"IPK_SM"
"P","AKU","G4","LL","PNS","PNS",3.59,3.29,"IPK_SM"
"P","AKU","G6","SMTA","PNS","PNS",2.83,2.81,"IPK_SM"
"P","AKU","G2","SMTA","PNS","PNS",3.38,3.13,"IPK_SM"
"P","EKO","G2","SMP","PDG","BPN",3.33,3.12,"IPK_SM"
"P","KOM","G3","SRJN","LL","PDG",2.95,3.47,"IPK_SM"
"L","HUK","G1","SRJN","LL","LL",3.1,2.92,"IPK_SM"
"L","HUK","G5","SRJN","GRD","GRD",3.0,2.86,"IPK_SM"
"P","HUK","G3","SMTA","PDG","GRD",2.9,3.1,"IPK_SM"
"L","HUK","G5","SD","PDG","PDG",2.7,2.5,"IPK_SM"
"L","HUK","G4","SMTA","PNS","PS",2.6,2.33,"IPK_SM"
"L","AKU","G2","LL","LL","BPN",3.09,3.0,"IPK_SM"
"P","HUK","G1","SMP","LL","PDG",2.65,3.4,"IPK_SM"
"P","KOM","G7","SRJN","PNS","PS",3.32,3.14,"IPK_SM"
"P","KOM","G4","SRJN","GRD","PS",3.05,2.71,"IPK_SM"
"L","HUK","G3","SMTA","PDG","PDG",1.9,2.5,"IPK_SM"
"L","KOM","G5","SMP","LL","PDG",3.23,3.91,"IPK_SM"
"L","EKO","G4","SRJN","PNS","PNS",3.0,3.25,"IPK_SM"
"P","HUK","G6","SRJN","LL","PNS",2.6,3.25,"IPK_SM"
"P","HUK","G4","SRJN","LL","PNS",2.7,2.75,"IPK_SM"
"L","EKO","G6","SRJN","GRD","PNS",3.08,3.33,"IPK_SM"
"P","HUK","G3","SMTA","PNS","PNS",2.4,2.8,"IPK_SM"
"P","KOM","G4","SRJN","PNS","PNS",3.41,3.45,"IPK_SM"
"L","EKO","G2","SMTA","PDG","PDG",3.09,3.33,"IPK_SM"
"P","AKU","G3","SRJN","PDG","PDG",3.05,3.54,"IPK_SM"
"P","AKU","G7","SMTA","LL","PS",2.96,2.76,"IPK_SM"
"L","AKU","G3","SRJN","PSN","PSN",3.33,3.57,"IPK_SM"
"L","HUK","G3","SRJN","PNS","PNS",2.4,2.95,"IPK_SM"
"L","KOM","G3","SMTA","PNS","PNS",3.0,3.52,"IPK_SM"
"P","HUK","G2","SMTA","LL","PS",3.1,3.23,"IPK_SM"
