,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IPK_TERAKHIR
87,L,FISIKA,G3,SRJN,PDG,PSN,IPK_KM
88,P,FISIKA,G1,SD,BPN,BPN,IPK_M
89,P,FISIKA,G2,LL,PDG,PDG,IPK_KM
90,L,FISIKA,G2,SD,PDG,PDG,IPK_M
91,P,FISIKA,G3,SD,LL,PNS,IPK_SM
92,P,FISIKA,G2,SD,LL,BPN,IPK_M
93,L,FISIKA,G3,SRJN,GRD,PSN,IPK_KM
94,L,FISIKA,G2,SMTA,PDG,GRD,IPK_KM
95,L,FISIKA,G1,LL,BPN,BPN,IPK_SM
96,P,FISIKA,G2,SRJN,GRD,GRD,IPK_KM
97,P,FISIKA,G4,SMTA,PDG,GRD,IPK_M
98,P,FISIKA,G4,SRJN,GRD,PNS,IPK_M
99,P,FISIKA,G1,SD,LL,BPN,IPK_SM
100,P,FISIKA,G2,SMTA,PDG,PSN,IPK_SM
101,P,FISIKA,G3,SMTA,PDG,PSN,IPK_SM
102,P,FISIKA,G1,SD,LL,LL,IPK_M
103,P,FISIKA,G4,SRJN,GRD,PNS,IPK_KM
104,P,FISIKA,G3,SMTA,LL,PDG,IPK_SM
105,L,FISIKA,G3,SRJN,GRD,GRD,IPK_SM
106,L,FISIKA,G2,LL,PDG,PDG,IPK_SM
107,L,FISIKA,G3,SRJN,PDG,ABRI,IPK_KM
108,P,FISIKA,G3,SD,PDG,PDG,IPK_M
109,L,FISIKA,G2,LL,PDG,BPN,IPK_KM
110,L,FISIKA,G3,SD,LL,PS,IPK_SM
111,P,FISIKA,G3,SMTA,LL,PDG,IPK_M
112,P,FISIKA,G1,SD,LL,BPN,IPK_SM
113,L,FISIKA,G2,SMTA,BPN,BPN,IPK_KM
114,L,FISIKA,G1,SD,BPN,BPN,IPK_SM
115,P,FISIKA,G1,SMP,LL,LL,IPK_M
116,P,FISIKA,G2,SD,BPN,BPN,IPK_M
117,P,FISIKA,G2,LL,BPN,BPN,IPK_M
118,P,FISIKA,G3,SRJN,GRD,GRD,IPK_SM
119,L,FISIKA,G1,SMTA,LL,PDG,IPK_M
120,P,FISIKA,G3,SMTA,LL,PNS,IPK_SM
121,P,FISIKA,G3,SMTA,LL,GRD,IPK_KM
122,P,FISIKA,G3,SMTA,PS,PS,IPK_KM
123,L,FISIKA,G2,SD,LL,BPN,IPK_SM
124,P,FISIKA,G1,SD,PDG,PDG,IPK_KM
125,L,FISIKA,G2,SRJN,GRD,PDG,IPK_M
126,P,FISIKA,G4,SMP,BPN,GRD,IPK_M
127,P,FISIKA,G2,SMTA,PDG,PDG,IPK_SM
128,P,FISIKA,G1,SMP,LL,BPN,IPK_SM
129,P,FISIKA,G3,SRJN,GRD,GRD,IPK_CUM
130,P,FISIKA,G4,SRJN,PDG,GRD,IPK_SM
131,L,FISIKA,G2,LL,BPN,BPN,IPK_M
132,L,FISIKA,G3,SMTA,PSN,PSN,IPK_M
133,L,FISIKA,G2,SMP,PDG,PS,IPK_M
134,P,FISIKA,G2,LL,LL,BPN,IPK_M
135,L,FISIKA,G4,SMTA,LL,PDG,IPK_M
136,P,FISIKA,G2,SD,LL,BPN,IPK_SM
137,P,FISIKA,G4,SRJN,GRD,GRD,IPK_SM
138,L,FISIKA,G3,SMP,LL,PNS,IPK_M
139,P,FISIKA,G5,SRJN,LL,PNS,IPK_SM
140,P,FISIKA,G1,SD,BPN,BPN,IPK_SM
141,L,FISIKA,G3,LL,BPN,PNS,IPK_M
142,P,FISIKA,G1,SRJN,LL,PDG,IPK_M
143,L,FISIKA,G2,SMTA,PDG,PDG,IPK_SM
144,P,FISIKA,G2,SMTA,LL,PS,IPK_SM
145,P,FISIKA,G4,SMTA,PDG,GRD,IPK_SM
146,P,FISIKA,G2,SMP,LL,PS,IPK_M
147,L,FISIKA,G1,SMP,BPN,PDG,IPK_M
148,P,FISIKA,G2,SD,BPN,PSN,IPK_SM
149,L,FISIKA,G2,LL,BPN,BPN,IPK_KM
150,L,FISIKA,G2,SMP,PDG,GRD,IPK_CUM
151,P,FISIKA,G3,SMTA,LL,GRD,IPK_M
152,L,FISIKA,G3,SD,PDG,PDG,IPK_SM
153,P,FISIKA,G2,SMTA,PDG,PSN,IPK_SM
154,L,FISIKA,G4,SRJN,GRD,PNS,IPK_M
155,P,FISIKA,G3,SRJN,GRD,PSN,IPK_SM
156,L,FISIKA,G4,SMTA,PDG,PS,IPK_KM
157,L,FISIKA,G1,SD,PDG,PDG,IPK_SM
158,P,FISIKA,G1,SD,BPN,BPN,IPK_SM
159,P,FISIKA,G4,SD,PDG,GRD,IPK_SM
160,P,FISIKA,G4,SMTA,LL,PNS,IPK_SM
161,P,FISIKA,G2,LL,BPN,BPN,IPK_KM
162,P,FISIKA,G3,SMTA,PDG,PNS,IPK_SM
163,P,FISIKA,G2,SD,BPN,LL,IPK_SM
164,P,FISIKA,G5,SMTA,PDG,PDG,IPK_M
165,L,FISIKA,G2,SD,LL,LL,IPK_SM
166,L,FISIKA,G2,SMTA,PDG,BPN,IPK_SM
167,P,FISIKA,G1,SMP,BPN,BPN,IPK_M
168,P,FISIKA,G2,SMTA,PS,PS,IPK_SM
169,P,FISIKA,G2,LL,BPN,BPN,IPK_SM
170,L,FISIKA,G3,SMTA,PDG,PDG,IPK_M
171,P,FISIKA,G2,SD,BPN,BPN,IPK_SM
172,P,FISIKA,G3,SD,PDG,PNS,IPK_M
173,L,FISIKA,G3,SMTA,LL,GRD,IPK_M
174,L,FISIKA,G3,SMP,LL,PS,IPK_SM
175,L,FISIKA,G3,SRJN,PDG,GRD,IPK_CUM
176,P,FISIKA,G2,SD,LL,PDG,IPK_M
177,P,FISIKA,G3,LL,PDG,PDG,IPK_SM
