@relation data_sosial_ipk_dem
@attribute JK{L,P}
@attribute JUR{AKU,EKO,HUK,KOM}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute IPK_TERAKHIR{IPK_CUM,IPK_KM,IPK_M,IPK_SM}
@data
"L","AKU","G4","SMTA","PDG","PNS","IPK_SM"
"P","AKU","G4","SMTA","LL","LL","IPK_SM"
"P","AKU","G4","SRJN","LL","PS","IPK_SM"
"L","AKU","G4","SMTA","LL","PNS","IPK_SM"
"P","AKU","G4","SRJN","GRD","PNS","IPK_CUM"
"P","AKU","G4","SRJN","LL","PNS","IPK_SM"
"L","AKU","G4","SRJN","PNS","PNS","IPK_SM"
"L","AKU","G3","SMTA","LL","PNS","IPK_SM"
"L","AKU","G3","SRJN","GRD","PNS","IPK_SM"
"L","AKU","G4","SRJN","GRD","PNS","IPK_SM"
"L","AKU","G2","SMTA","LL","PS","IPK_M"
"L","AKU","G4","SMTA","LL","GRD","IPK_SM"
"L","AKU","G2","SMTA","PDG","PDG","IPK_SM"
"L","AKU","G4","SMTA","LL","PNS","IPK_SM"
"P","AKU","G4","SMTA","PDG","PDG","IPK_SM"
"L","AKU","G3","SMP","LL","PS","IPK_KM"
"P","AKU","G2","SMTA","PDG","LL","IPK_KM"
"P","AKU","G3","SMTA","LL","PNS","IPK_SM"
"P","AKU","G4","SMTA","LL","PDG","IPK_SM"
"L","AKU","G3","SRJN","GRD","LL","IPK_SM"
"P","AKU","G1","SMP","PDG","BPN","IPK_SM"
"P","AKU","G3","SMTA","LL","PNS","IPK_CUM"
"P","AKU","G4","SMTA","LL","GRD","IPK_SM"
"L","AKU","G5","SRJN","LL","LL","IPK_CUM"
"P","AKU","G2","SMTA","LL","PDG","IPK_CUM"
"P","AKU","G3","SRJN","PNS","PDG","IPK_SM"
"L","AKU","G7","SD","LL","PDG","IPK_SM"
"P","AKU","G4","SMTA","LL","PNS","IPK_M"
"P","AKU","G2","SD","PDG","PDG","IPK_SM"
"P","AKU","G3","SRJN","GRD","GRD","IPK_CUM"
"L","AKU","G4","SMTA","PS","GRD","IPK_SM"
"P","AKU","G4","SMTA","PNS","PNS","IPK_SM"
"P","AKU","G3","SMP","PDG","PDG","IPK_CUM"
"P","AKU","G5","SMTA","LL","PS","IPK_SM"
"P","AKU","G2","SMTA","LL","PDG","IPK_CUM"
"L","AKU","G3","SRJN","PSN","PNS","IPK_SM"
"L","AKU","G4","SRJN","LL","PNS","IPK_SM"
"P","AKU","G4","SRJN","GRD","GRD","IPK_SM"
"L","AKU","G4","SRJN","LL","PS","IPK_CUM"
"L","AKU","G3","SMTA","PS","PDG","IPK_SM"
"L","AKU","G2","SMTA","LL","PSN","IPK_SM"
"L","AKU","G4","SRJN","GRD","GRD","IPK_SM"
"L","AKU","G3","SMP","LL","PSN","IPK_SM"
"P","AKU","G4","SRJN","LL","PS","IPK_SM"
"L","AKU","G3","SMP","PDG","PDG","IPK_CUM"
"P","AKU","G6","SMTA","LL","PNS","IPK_CUM"
"P","AKU","G4","SRJN","GRD","PNS","IPK_CUM"
"P","AKU","G4","SMTA","LL","PS","IPK_CUM"
"P","AKU","G4","SRJN","GRD","PNS","IPK_CUM"
"P","AKU","G3","SMTA","LL","PNS","IPK_CUM"
"P","AKU","G2","SD","PDG","PDG","IPK_CUM"
"L","AKU","G3","SMTA","LL","PSN","IPK_M"
"P","AKU","G3","SMTA","LL","PDG","IPK_CUM"
"P","AKU","G3","SRJN","PNS","GRD","IPK_SM"
"P","AKU","G4","SRJN","GRD","PNS","IPK_SM"
"L","AKU","G4","SRJN","GRD","BPN","IPK_SM"
"L","AKU","G7","SMTA","LL","PS","IPK_KM"
"P","AKU","G4","SRJN","GRD","GRD","IPK_SM"
"L","AKU","G4","SMTA","PNS","PS","IPK_KM"
"P","AKU","G3","SRJN","PSN","PNS","IPK_SM"
"L","AKU","G4","SRJN","GRD","GRD","IPK_SM"
"L","AKU","G4","SD","PDG","PDG","IPK_SM"
"P","AKU","G4","SRJN","PNS","GRD","IPK_SM"
"L","AKU","G5","SRJN","PNS","PNS","IPK_SM"
"P","AKU","G4","SRJN","PNS","PNS","IPK_SM"
"P","AKU","G4","SMTA","PS","LL","IPK_SM"
"L","AKU","G7","SMTA","PDG","PDG","IPK_SM"
"L","AKU","G5","SRJN","LL","LL","IPK_SM"
"P","AKU","G7","SMTA","LL","PS","IPK_SM"
"P","AKU","G4","SMTA","PDG","PS","IPK_SM"
"P","AKU","G3","SRJN","GRD","GRD","IPK_SM"
"L","AKU","G4","SMTA","LL","PNS","IPK_SM"
"P","AKU","G4","SMTA","LL","LL","IPK_SM"
"P","AKU","G5","SRJN","PDG","GRD","IPK_SM"
"L","AKU","G3","SMP","PDG","PS","IPK_SM"
"P","AKU","G5","SRJN","GRD","GRD","IPK_CUM"
"L","AKU","G4","SMTA","LL","PSN","IPK_SM"
"L","AKU","G6","SMTA","PS","PNS","IPK_SM"
"L","AKU","G4","SRJN","GRD","GRD","IPK_SM"
"L","AKU","G4","SRJN","PDG","PNS","IPK_CUM"
"P","AKU","G3","SMTA","LL","GRD","IPK_CUM"
"P","AKU","G4","SMTA","LL","PDG","IPK_CUM"
"L","AKU","G4","SMTA","PSN","PSN","IPK_CUM"
"L","AKU","G3","SMTA","PS","LL","IPK_CUM"
"P","AKU","G3","SRJN","PDG","LL","IPK_SM"
"L","AKU","G5","SMTA","PDG","PDG","IPK_SM"
"P","AKU","G3","SMTA","GRD","LL","IPK_CUM"
"L","AKU","G2","SMTA","LL","PS","IPK_SM"
"P","AKU","G4","SMTA","PNS","PSN","IPK_CUM"
"L","AKU","G3","SRJN","GRD","PSN","IPK_SM"
"L","AKU","G3","SD","LL","PNS","IPK_M"
"P","AKU","G4","SRJN","GRD","LL","IPK_CUM"
