,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,STATUS_LULUS
53,L,AKU,G4,SRJN,PNS,PNS,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_C,LLW
54,L,AKU,G7,SMTA,LL,PS,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,LLW
55,P,AKU,G4,SRJN,GRD,GRD,IPS1_KM,IPS2_M,SKS1_SB,SKS2_B,LLW
56,L,AKU,G4,SMTA,PNS,PS,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,LLW
57,L,AKU,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
58,L,AKU,G4,SD,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_B,LLW
59,L,AKU,G2,SRJN,PS,PDG,IPS1_M,IPS2_KM,SKS1_SB,SKS2_B,LLW
60,L,AKU,G5,SRJN,PNS,PNS,IPS1_M,IPS2_KM,SKS1_SB,SKS2_B,LLW
61,L,AKU,G5,SRJN,LL,LL,IPS1_SM,IPS2_KM,SKS1_SB,SKS2_SB,LLW
62,P,AKU,G5,SMTA,LL,PNS,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,LTW
63,L,AKU,G7,SRJN,PNS,LL,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,LLW
64,P,AKU,G3,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
65,L,AKU,G3,SMTA,LL,PSN,IPS1_KM,IPS2_M,SKS1_SB,SKS2_B,LLW
66,L,AKU,G4,SMTA,LL,PNS,IPS1_SM,IPS2_KM,SKS1_SB,SKS2_SB,LTW
67,L,AKU,G3,SMP,PDG,PS,IPS1_M,IPS2_KM,SKS1_SB,SKS2_B,LLW
68,L,AKU,G4,SMTA,LL,PSN,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,LLW
69,L,AKU,G6,SMTA,PS,PNS,IPS1_M,IPS2_M,SKS1_SB,SKS2_B,LTW
