@relation data_mipa_lulus_dem
@attribute JK{L,P}
@attribute JUR{BIO,FISIKA,IF,MTK}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute STATUS_LULUS{LC,LLW_1,LLW_2,LTW}
@data
"P","FISIKA","G2","SMP","PS","PS","LLW_1"
"P","FISIKA","G2","SD","PDG","GRD","LTW"
"L","FISIKA","G3","SRJN","GRD","GRD","LLW_1"
"P","FISIKA","G1","SD","PDG","PDG","LLW_1"
"P","FISIKA","G1","SMTA","LL","GRD","LLW_2"
"P","FISIKA","G1","SMP","LL","BPN","LTW"
"P","FISIKA","G3","SRJN","LL","GRD","LTW"
"L","FISIKA","G2","SMTA","BPN","BPN","LLW_1"
"L","FISIKA","G3","SRJN","GRD","PDG","LLW_1"
"P","FISIKA","G2","SMTA","PDG","PDG","LLW_1"
"P","FISIKA","G1","SD","BPN","BPN","LLW_1"
"P","FISIKA","G2","LL","PDG","PDG","LLW_1"
"L","FISIKA","G2","SD","PDG","PDG","LLW_1"
"P","FISIKA","G3","SD","LL","PNS","LTW"
"L","FISIKA","G2","LL","PDG","PDG","LLW_2"
"P","FISIKA","G2","SD","LL","BPN","LLW_1"
"L","FISIKA","G3","SRJN","GRD","PSN","LLW_1"
"L","FISIKA","G2","SMTA","PDG","GRD","LLW_2"
"L","FISIKA","G1","LL","BPN","BPN","LLW_1"
"P","FISIKA","G3","SMTA","GRD","PSN","LLW_1"
"P","FISIKA","G2","SRJN","GRD","GRD","LLW_1"
"P","FISIKA","G2","SRJN","PDG","PDG","LLW_1"
"P","FISIKA","G4","SMTA","PDG","GRD","LLW_1"
"P","FISIKA","G2","SRJN","GRD","PDG","LLW_1"
"P","FISIKA","G4","SRJN","GRD","PNS","LLW_1"
"P","FISIKA","G1","SD","LL","BPN","LLW_1"
"P","FISIKA","G2","SMTA","PDG","PSN","LLW_1"
"P","FISIKA","G3","SMTA","GRD","PNS","LLW_1"
"P","FISIKA","G1","SD","LL","LL","LTW"
"L","FISIKA","G2","SD","LL","PS","LLW_2"
"P","FISIKA","G3","SMTA","LL","PDG","LTW"
"P","FISIKA","G3","SRJN","PNS","GRD","LTW"
"L","FISIKA","G3","SRJN","GRD","GRD","LTW"
"L","FISIKA","G2","LL","PDG","PDG","LLW_1"
"L","FISIKA","G3","SRJN","PDG","LL","LLW_2"
"P","FISIKA","G3","SD","PDG","PDG","LLW_1"
"L","FISIKA","G3","SD","LL","PS","LLW_2"
"P","FISIKA","G1","SD","LL","PDG","LLW_1"
"P","FISIKA","G3","SMTA","LL","PDG","LLW_1"
"P","FISIKA","G1","SD","LL","BPN","LLW_1"
"L","FISIKA","G2","SMTA","BPN","BPN","LLW_2"
"P","FISIKA","G1","SMP","LL","LL","LLW_1"
"P","FISIKA","G2","LL","BPN","BPN","LLW_1"
"L","FISIKA","G1","SMTA","LL","PDG","LLW_1"
"P","FISIKA","G3","SMTA","LL","PNS","LLW_1"
"P","FISIKA","G3","SMTA","LL","GRD","LLW_2"
"L","FISIKA","G4","SRJN","GRD","PNS","LLW_1"
"P","FISIKA","G3","SMTA","PS","PS","LLW_1"
"L","FISIKA","G2","SMTA","PDG","PDG","LLW_1"
"P","FISIKA","G1","SD","PDG","PDG","LLW_2"
"L","FISIKA","G2","SRJN","GRD","PDG","LTW"
"P","FISIKA","G1","SD","BPN","BPN","LLW_1"
