@relation data_uji_sosial_lulus_dem
@attribute JK{L,P}
@attribute JUR{AKU,EKO,HUK,KOM}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute STATUS_LULUS{LC,LLW_1,LLW_2,LTW}
@data
"P","HUK","G4","SRJN","LL","PDG","LTW"
"P","AKU","G3","SMTA","LL","PDG","LTW"
"L","HUK","G2","SD","PDG","PDG","LTW"
"P","EKO","G3","SD","PDG","PDG","LTW"
"P","HUK","G4","SRJN","GRD","GRD","LTW"
"P","EKO","G3","SMTA","LL","PS","LTW"
"P","KOM","G4","SRJN","PNS","PNS","LTW"
"P","AKU","G6","SMTA","PSN","PDG","LTW"
"P","HUK","G6","SMTA","PNS","PNS","LTW"
"P","HUK","G1","SMP","BPN","LL","LTW"
"L","HUK","G3","SRJN","GRD","GRD","LTW"
"L","HUK","G3","SRJN","GRD","PNS","LTW"
"P","HUK","G4","SRJN","PNS","PNS","LTW"
"L","EKO","G3","SRJN","LL","PSN","LTW"
"L","AKU","G4","SRJN","GRD","BPN","LTW"
"L","EKO","G3","SRJN","GRD","GRD","LTW"
"P","HUK","G4","SRJN","PS","GRD","LTW"
"P","AKU","G3","SRJN","GRD","LL","LTW"
"P","EKO","G3","SMTA","GRD","GRD","LTW"
"L","HUK","G6","SRJN","PDG","PNS","LTW"
"L","HUK","G3","SD","PDG","PDG","LTW"
"L","AKU","G1","SMTA","LL","PSN","LTW"
"P","HUK","G5","SRJN","GRD","GRD","LTW"
"P","AKU","G4","SMTA","LL","PDG","LTW"
"P","EKO","G4","SMP","LL","PS","LTW"
"L","AKU","G4","SRJN","PDG","PNS","LTW"
"P","HUK","G1","SMP","BPN","BPN","LTW"
"P","EKO","G5","SMTA","LL","PNS","LTW"
"P","AKU","G4","SMTA","PS","PNS","LTW"
"L","EKO","G3","SMTA","LL","PDG","LTW"
"P","AKU","G6","SRJN","LL","PNS","LTW"
"L","HUK","G4","SMTA","PDG","PS","LTW"
"P","AKU","G2","SMTA","LL","LL","LTW"
"L","EKO","G2","SMP","LL","BPN","LTW"
"P","HUK","G2","SMTA","PDG","PDG","LTW"
"L","HUK","G3","SRJN","LL","GRD","LTW"
"L","EKO","G2","SMP","BPN","BPN","LTW"
"P","HUK","G5","SRJN","GRD","PNS","LTW"
"P","EKO","G6","SRJN","LL","PS","LTW"
"P","HUK","G5","SRJN","GRD","PNS","LTW"
"P","EKO","G3","LL","LL","PDG","LTW"
"P","HUK","G3","SRJN","GRD","LL","LTW"
"P","EKO","G3","SRJN","LL","PS","LTW"
"P","AKU","G3","SRJN","PSN","PSN","LTW"
"L","HUK","G6","SRJN","PDG","PDG","LTW"
"L","AKU","G4","SMTA","LL","PDG","LTW"
"P","HUK","G3","SRJN","PS","GRD","LTW"
"P","HUK","G4","SRJN","LL","PNS","LTW"
"L","HUK","G4","SRJN","GRD","PS","LLW_1"
"P","AKU","G4","SRJN","GRD","GRD","LLW_1"
"L","AKU","G4","SRJN","LL","GRD","LLW_1"
"L","EKO","G4","SMTA","LL","PNS","LLW_1"
"P","HUK","G4","SMTA","LL","PNS","LLW_1"
"P","HUK","G3","SMP","LL","PS","LLW_1"
"L","HUK","G4","SMTA","LL","PSN","LLW_1"
"L","HUK","G3","SMTA","PDG","PS","LLW_1"
"P","HUK","G5","SRJN","PNS","PNS","LLW_1"
"P","KOM","G5","SMTA","LL","GRD","LLW_1"
"P","KOM","G4","SMP","LL","PNS","LLW_1"
"L","HUK","G4","SRJN","PDG","PDG","LLW_1"
"L","HUK","G5","SRJN","LL","LL","LLW_1"
"P","KOM","G3","SMP","LL","PSN","LLW_1"
"L","HUK","G4","SRJN","GRD","PNS","LLW_1"
"L","HUK","G3","SMP","LL","PDG","LLW_1"
"L","HUK","G3","SD","PDG","PDG","LLW_1"
"L","HUK","G3","SRJN","GRD","GRD","LLW_1"
"L","AKU","G3","SD","LL","BPN","LLW_1"
"P","HUK","G4","SRJN","PDG","PNS","LLW_1"
"L","HUK","G3","SRJN","GRD","GRD","LLW_1"
"L","HUK","G3","SMTA","LL","PSN","LLW_1"
"P","KOM","G4","SRJN","PDG","PDG","LLW_1"
"P","HUK","G6","SMTA","LL","LL","LLW_1"
"L","EKO","G2","SMTA","LL","PS","LLW_1"
"P","HUK","G3","SMTA","PDG","PDG","LLW_1"
"L","EKO","G4","SD","LL","PDG","LLW_1"
"L","EKO","G3","SRJN","PS","PDG","LLW_1"
"P","AKU","G6","SRJN","PNS","PNS","LLW_1"
"L","HUK","G3","SRJN","GRD","GRD","LLW_1"
"P","AKU","G4","SRJN","PS","PNS","LLW_1"
"L","HUK","G5","SMTA","PDG","PDG","LLW_1"
"P","EKO","G5","SRJN","PDG","PS","LLW_1"
"P","HUK","G1","SMTA","LL","PSN","LLW_1"
"P","HUK","G4","SMTA","LL","PSN","LLW_1"
"P","HUK","G2","SMTA","LL","PS","LLW_1"
"L","EKO","G4","SRJN","PSN","PSN","LLW_1"
"L","EKO","G2","SMTA","PDG","PDG","LLW_1"
"P","KOM","G4","SRJN","PNS","PDG","LLW_1"
"P","KOM","G3","SMTA","LL","PDG","LLW_1"
"P","AKU","G4","SRJN","GRD","PSN","LLW_1"
"P","KOM","G3","SMTA","LL","PSN","LLW_1"
"P","EKO","G6","SRJN","PNS","PS","LLW_1"
"L","KOM","G3","SMTA","PDG","PDG","LLW_1"
"P","KOM","G1","SMTA","PDG","LL","LLW_1"
"P","EKO","G4","SMTA","PDG","PDG","LLW_1"
"L","EKO","G2","SMTA","PDG","PDG","LLW_1"
"L","HUK","G4","SMTA","LL","PDG","LLW_1"
"L","HUK","G4","SRJN","PNS","PNS","LLW_1"
"L","AKU","G3","SRJN","GRD","PNS","LLW_1"
"L","HUK","G4","SRJN","GRD","PS","LLW_1"
"P","EKO","G4","SRJN","LL","GRD","LLW_1"
"P","KOM","G3","SD","LL","PDG","LLW_1"
"L","KOM","G2","SMTA","PDG","PDG","LLW_1"
"L","AKU","G4","SRJN","GRD","GRD","LLW_1"
"L","HUK","G4","SMTA","PDG","PS","LLW_1"
"L","HUK","G5","SRJN","PNS","LL","LLW_1"
"P","KOM","G3","SMTA","PDG","PDG","LLW_1"
"P","KOM","G4","SMP","LL","PDG","LLW_1"
"L","HUK","G4","SMTA","LL","PNS","LLW_1"
"P","KOM","G3","SMTA","PNS","PSN","LLW_1"
"P","KOM","G4","SRJN","PNS","PS","LLW_1"
"P","KOM","G4","SRJN","GRD","PSN","LLW_1"
"P","EKO","G4","SMTA","LL","PNS","LLW_1"
"P","HUK","G2","SD","PDG","LL","LLW_1"
"P","HUK","G1","SD","LL","BPN","LLW_1"
"P","HUK","G4","SRJN","GRD","PS","LLW_1"
"L","AKU","G4","SMTA","LL","PDG","LLW_1"
"L","EKO","G4","SMTA","LL","PNS","LLW_1"
"P","HUK","G2","SMTA","PDG","PDG","LLW_1"
"L","HUK","G3","SMTA","LL","PS","LLW_1"
"L","HUK","G4","SRJN","GRD","LL","LLW_1"
"L","HUK","G3","SRJN","LL","PDG","LLW_1"
"P","KOM","G3","SMP","PDG","PDG","LLW_1"
"P","KOM","G4","SMP","LL","PS","LLW_1"
"L","KOM","G3","SMTA","LL","PDG","LLW_1"
"L","KOM","G2","SD","BPN","BPN","LLW_1"
"L","EKO","G2","SRJN","LL","PDG","LLW_1"
"L","EKO","G2","SRJN","PDG","PDG","LLW_1"
"P","KOM","G4","SRJN","LL","PS","LLW_1"
"L","AKU","G3","SRJN","PSN","PSN","LLW_1"
"P","EKO","G4","SMTA","LL","PS","LLW_1"
"P","KOM","G2","LL","LL","PS","LLW_1"
"L","EKO","G4","SMTA","PNS","PNS","LLW_1"
"L","HUK","G4","SMTA","LL","PNS","LLW_1"
"L","AKU","G3","SMTA","PS","PDG","LLW_1"
"P","AKU","G4","SRJN","PS","PS","LLW_1"
"P","AKU","G4","SMTA","LL","PNS","LLW_1"
"L","AKU","G4","SRJN","LL","PDG","LLW_1"
"L","HUK","G3","SMTA","LL","LL","LLW_1"
"P","HUK","G2","SRJN","PNS","PDG","LLW_1"
"L","KOM","G2","LL","BPN","BPN","LLW_1"
"L","AKU","G4","SRJN","LL","LL","LLW_1"
"P","KOM","G4","SRJN","GRD","GRD","LLW_1"
"L","HUK","G3","SRJN","PNS","PSN","LLW_1"
"L","EKO","G4","SD","PDG","PDG","LLW_1"
"L","HUK","G4","SRJN","LL","PNS","LLW_1"
"L","EKO","G3","SMTA","LL","PS","LLW_1"
"P","KOM","G3","LL","BPN","BPN","LLW_1"
"L","KOM","G1","LL","PDG","BPN","LLW_1"
"P","HUK","G3","SMTA","LL","GRD","LLW_1"
"P","KOM","G4","SRJN","PNS","PNS","LLW_1"
"L","EKO","G4","SRJN","GRD","PNS","LLW_1"
"L","HUK","G4","SMTA","LL","PNS","LLW_1"
"P","HUK","G6","SRJN","PNS","PNS","LLW_1"
"P","HUK","G1","SMTA","LL","PS","LLW_1"
"L","EKO","G6","SRJN","PNS","GRD","LLW_1"
"P","HUK","G4","SRJN","PNS","PDG","LLW_1"
"P","KOM","G5","SRJN","LL","PNS","LLW_1"
"L","HUK","G4","SRJN","LL","PS","LLW_1"
"L","HUK","G4","SRJN","PS","GRD","LLW_1"
"P","KOM","G3","SMTA","LL","PNS","LLW_1"
"L","KOM","G7","SRJN","LL","PS","LLW_1"
"L","KOM","G3","SMTA","LL","GRD","LLW_1"
"P","HUK","G4","SRJN","PNS","PNS","LLW_1"
"L","EKO","G2","SMP","PDG","PDG","LLW_1"
"L","EKO","G2","LL","BPN","BPN","LLW_1"
"L","EKO","G3","SRJN","GRD","GRD","LLW_1"
"L","AKU","G4","SRJN","GRD","GRD","LLW_1"
"L","EKO","G3","SD","LL","PDG","LLW_1"
"L","AKU","G3","SMP","PDG","PSN","LLW_1"
"P","EKO","G4","SMTA","PDG","PNS","LLW_1"
"L","EKO","G3","SMTA","LL","PSN","LLW_1"
"P","HUK","G2","SMTA","LL","PS","LLW_1"
"L","AKU","G4","SMP","LL","PDG","LLW_1"
"L","KOM","G4","SMTA","PDG","PDG","LLW_1"
"P","KOM","G4","SMTA","PS","PNS","LLW_1"
"L","KOM","G3","SD","LL","PSN","LLW_1"
"P","HUK","G3","SMTA","LL","GRD","LLW_1"
"L","AKU","G3","SMTA","LL","PNS","LLW_1"
"P","AKU","G5","SRJN","PNS","GRD","LLW_1"
"P","EKO","G7","SRJN","LL","PS","LLW_1"
"L","HUK","G3","SMTA","PDG","LL","LLW_1"
"P","EKO","G2","SMTA","LL","PNS","LLW_1"
"L","AKU","G7","SRJN","PS","PS","LLW_1"
"P","EKO","G3","SMTA","PDG","PDG","LLW_1"
"P","HUK","G3","SRJN","PDG","PDG","LLW_1"
"P","HUK","G5","SMTA","PS","PS","LLW_1"
"L","EKO","G2","LL","LL","BPN","LLW_1"
"P","EKO","G2","SMTA","LL","PDG","LLW_1"
"P","HUK","G3","SRJN","LL","GRD","LLW_1"
"L","HUK","G4","SRJN","GRD","GRD","LLW_1"
"L","EKO","G5","SRJN","PDG","PNS","LLW_1"
"L","HUK","G3","SRJN","GRD","BPN","LLW_1"
"P","HUK","G3","SMTA","PDG","LL","LLW_1"
"P","KOM","G2","SMP","LL","PS","LLW_1"
"P","KOM","G4","SRJN","GRD","PS","LLW_1"
"L","KOM","G4","SRJN","PNS","PSN","LLW_1"
"L","AKU","G6","SRJN","LL","PDG","LLW_1"
"P","EKO","G3","SMTA","LL","PDG","LLW_1"
"L","HUK","G4","SRJN","GRD","LL","LLW_1"
"P","KOM","G5","SMTA","LL","PSN","LLW_1"
"L","KOM","G5","SRJN","GRD","PNS","LLW_1"
"L","EKO","G7","SRJN","GRD","PS","LLW_1"
"P","KOM","G4","SRJN","GRD","GRD","LLW_1"
"L","HUK","G4","SRJN","GRD","GRD","LLW_1"
"P","KOM","G4","SRJN","PS","GRD","LLW_1"
"L","HUK","G5","SMTA","PNS","PNS","LLW_1"
"P","KOM","G3","SMTA","PS","PS","LLW_1"
"P","KOM","G4","SMTA","LL","LL","LLW_1"
"L","EKO","G4","SMTA","LL","PNS","LLW_1"
"P","KOM","G4","SRJN","PDG","LL","LLW_1"
"L","HUK","G4","SRJN","PNS","GRD","LLW_1"
"L","HUK","G2","SRJN","GRD","LL","LLW_1"
"P","EKO","G3","SMTA","PDG","PDG","LLW_1"
"P","EKO","G3","SD","LL","PDG","LLW_1"
"P","HUK","G5","SRJN","GRD","PNS","LLW_1"
"P","AKU","G4","SRJN","PDG","LL","LLW_1"
"L","KOM","G4","SD","PDG","PNS","LLW_1"
"L","HUK","G7","SMTA","PDG","LL","LLW_1"
"P","HUK","G2","SMTA","LL","PS","LLW_1"
"P","EKO","G3","SRJN","LL","LL","LLW_1"
"L","EKO","G3","SMTA","PDG","PDG","LLW_1"
"L","EKO","G6","SRJN","GRD","PS","LLW_1"
"P","EKO","G5","SMTA","PDG","PDG","LLW_1"
"P","KOM","G4","SMTA","PDG","GRD","LLW_1"
"L","HUK","G3","SRJN","GRD","PNS","LLW_1"
"P","HUK","G4","SRJN","LL","PDG","LLW_1"
"P","AKU","G2","SD","LL","BPN","LLW_1"
"P","KOM","G2","SMTA","PNS","PDG","LLW_1"
"L","EKO","G2","SD","LL","PDG","LLW_1"
"L","KOM","G7","SRJN","GRD","PS","LLW_1"
"P","HUK","G4","SMTA","LL","PSN","LLW_1"
"P","HUK","G2","SMTA","PDG","LL","LLW_1"
"P","KOM","G2","SMTA","PS","LL","LLW_1"
"P","KOM","G3","SMTA","PDG","PDG","LLW_1"
"L","AKU","G3","SMTA","PS","PDG","LLW_1"
"P","AKU","G3","SMTA","LL","GRD","LLW_1"
"L","AKU","G4","SMTA","LL","PS","LLW_1"
"L","KOM","G3","SMTA","PDG","PDG","LLW_1"
"P","HUK","G4","SMTA","PDG","GRD","LLW_1"
"P","EKO","G2","SMP","PDG","BPN","LLW_1"
"L","EKO","G4","SRJN","GRD","PNS","LLW_1"
"L","AKU","G5","SMTA","PDG","PDG","LLW_1"
"P","KOM","G2","SMTA","LL","LL","LLW_1"
"P","KOM","G2","SD","LL","LL","LLW_1"
"P","HUK","G3","SRJN","GRD","GRD","LLW_1"
"P","EKO","G2","SMTA","PS","PS","LLW_1"
"P","KOM","G2","SMTA","LL","BPN","LLW_1"
"P","KOM","G4","SMTA","PNS","PNS","LLW_1"
"L","HUK","G7","SRJN","LL","PS","LLW_1"
"P","KOM","G2","SD","BPN","BPN","LLW_1"
"L","AKU","G3","SMTA","LL","PSN","LLW_1"
"L","AKU","G2","LL","LL","PDG","LLW_1"
"L","AKU","G4","SMTA","PDG","PNS","LLW_1"
"P","KOM","G3","SRJN","GRD","GRD","LLW_1"
"L","KOM","G2","SMP","LL","PNS","LLW_1"
"L","AKU","G7","SD","LL","PDG","LLW_1"
"P","AKU","G4","SRJN","GRD","PNS","LLW_1"
"L","HUK","G2","SD","LL","BPN","LLW_1"
"L","AKU","G4","SMTA","PNS","PNS","LLW_1"
"L","EKO","G3","SMP","PDG","BPN","LLW_1"
"L","HUK","G6","SRJN","PNS","GRD","LLW_1"
"P","HUK","G3","SRJN","GRD","PNS","LLW_1"
"L","AKU","G4","SMTA","PSN","PNS","LLW_1"
"L","HUK","G4","SMTA","LL","PNS","LLW_1"
"L","HUK","G2","SMP","LL","PSN","LLW_1"
"L","HUK","G2","SMP","LL","PSN","LLW_1"
"L","HUK","G5","SRJN","PNS","PNS","LLW_2"
"L","HUK","G4","SMTA","PDG","GRD","LLW_2"
"L","HUK","G7","SRJN","PDG","PDG","LLW_2"
"P","EKO","G3","SMTA","GRD","PNS","LLW_2"
"L","EKO","G3","SMTA","PSN","PSN","LLW_2"
"L","HUK","G3","SRJN","GRD","GRD","LLW_2"
"P","KOM","G3","SMP","GRD","PNS","LLW_2"
"P","EKO","G2","SD","PDG","PDG","LLW_2"
"P","KOM","G3","SRJN","PSN","PSN","LLW_2"
"P","KOM","G4","SRJN","GRD","PS","LLW_2"
"L","KOM","G3","SMTA","LL","PNS","LLW_2"
"L","HUK","G3","SMTA","PNS","PSN","LLW_2"
"L","AKU","G2","SMTA","LL","PS","LLW_2"
"L","HUK","G5","SRJN","PS","PDG","LLW_2"
