,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,STATUS_LULUS
121,P,FISIKA,G2,LL,BPN,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
122,P,FISIKA,G3,SMTA,LL,PNS,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
123,P,FISIKA,G3,SMTA,LL,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
124,L,FISIKA,G4,SRJN,GRD,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
125,P,FISIKA,G3,SMTA,PS,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
126,L,FISIKA,G2,SMTA,PDG,PDG,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
127,L,FISIKA,G2,SMTA,LL,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,LLW
128,L,FISIKA,G2,SRJN,GRD,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LTW
129,P,FISIKA,G1,SD,BPN,BPN,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
130,P,FISIKA,G4,SMP,BPN,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,LLW
131,P,FISIKA,G2,SMTA,PDG,PDG,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,LTW
132,P,FISIKA,G1,SMP,LL,BPN,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LTW
133,L,FISIKA,G4,SRJN,GRD,ABRI,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_B,LTW
134,L,FISIKA,G1,SMTA,LL,PS,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_B,LTW
135,P,FISIKA,G3,SRJN,GRD,GRD,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_B,LC
136,P,FISIKA,G4,SRJN,PDG,GRD,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,LTW
137,L,FISIKA,G2,LL,BPN,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
138,L,FISIKA,G3,SMTA,PSN,PSN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
139,P,FISIKA,G4,SMTA,LL,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,LLW
140,P,FISIKA,G2,SD,LL,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
141,L,FISIKA,G4,SMTA,LL,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
142,P,FISIKA,G2,SD,LL,BPN,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LTW
143,P,FISIKA,G4,SRJN,GRD,GRD,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
144,P,FISIKA,G1,SD,BPN,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LTW
145,P,FISIKA,G5,SRJN,LL,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LTW
146,P,FISIKA,G1,SD,BPN,BPN,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LTW
147,L,FISIKA,G3,LL,BPN,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
148,L,FISIKA,G2,SMTA,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
149,P,FISIKA,G4,SMTA,PDG,GRD,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LTW
150,P,FISIKA,G2,SMP,LL,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
151,P,FISIKA,G3,SD,LL,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LTW
152,L,FISIKA,G1,SMP,BPN,PDG,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
153,L,FISIKA,G2,LL,BPN,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
154,P,FISIKA,G2,SD,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LTW
155,L,FISIKA,G2,SMP,PDG,GRD,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LTW
156,L,FISIKA,G3,SD,PDG,PDG,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LTW
157,L,FISIKA,G4,SRJN,GRD,PNS,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
158,P,FISIKA,G3,SRJN,GRD,PSN,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
159,P,FISIKA,G4,SMTA,LL,PNS,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
160,L,FISIKA,G4,SMTA,PDG,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
161,L,FISIKA,G1,SD,PDG,PDG,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
162,L,FISIKA,G4,SMTA,PDG,PNS,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LTW
163,P,FISIKA,G2,LL,BPN,BPN,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
164,P,FISIKA,G3,SMTA,PDG,PNS,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
165,P,FISIKA,G2,SD,BPN,LL,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
166,P,FISIKA,G5,SMTA,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LTW
167,P,FISIKA,G1,SMTA,BPN,BPN,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
168,L,FISIKA,G2,SD,LL,LL,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
169,L,FISIKA,G2,SMTA,PDG,BPN,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LTW
170,P,FISIKA,G1,SMP,BPN,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
171,L,FISIKA,G2,SD,BPN,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
172,L,FISIKA,G4,SMP,LL,PDG,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,LTW
173,P,FISIKA,G2,SMTA,PS,PS,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LTW
174,P,FISIKA,G2,SD,LL,BPN,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_B,LTW
175,P,FISIKA,G2,LL,BPN,BPN,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LLW
176,P,FISIKA,G2,SD,BPN,BPN,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_B,LLW
177,L,FISIKA,G3,SMTA,LL,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
178,L,FISIKA,G3,SMP,LL,PS,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
179,P,FISIKA,G2,SD,LL,PDG,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,LLW
180,P,FISIKA,G3,SRJN,PSN,PSN,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
181,L,FISIKA,G4,SMTA,LL,ABRI,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LTW
182,L,FISIKA,G2,SMTA,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LTW
183,L,FISIKA,G4,SMP,LL,PDG,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,LLW
184,L,FISIKA,G3,SMTA,LL,LL,IPS1_KM,IPS2_CUM,SKS1_B,SKS2_B,LTW
185,L,FISIKA,G3,SMTA,BPN,PDG,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
186,L,FISIKA,G4,SRJN,GRD,PSN,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LTW
187,P,FISIKA,G4,SRJN,PS,PS,IPS1_M,IPS2_SM,SKS1_B,SKS2_SB,LTW
188,P,FISIKA,G4,SRJN,GRD,PS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LTW
189,L,FISIKA,G2,SD,PDG,PDG,IPS1_SM,IPS2_M,SKS1_B,SKS2_SB,LLW
190,P,FISIKA,G3,SMTA,LL,PDG,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
191,L,FISIKA,G3,SMTA,PNS,BPN,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LTW
192,P,FISIKA,G4,SD,BPN,BPN,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_B,LTW
193,P,FISIKA,G3,SMP,PNS,BPN,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_B,LTW
194,L,FISIKA,G1,LL,BPN,BPN,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LTW
195,L,FISIKA,G3,SD,BPN,GRD,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,LLW
196,P,FISIKA,G2,SMP,PDG,LL,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,LLW
197,P,FISIKA,G3,SMTA,PS,PS,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,LTW
198,P,FISIKA,G3,SD,LL,PDG,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LTW
199,L,FISIKA,G4,SMTA,LL,PNS,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,LTW
200,L,FISIKA,G4,SRJN,PNS,ABRI,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
201,L,FISIKA,G5,SRJN,GRD,PNS,IPS1_M,IPS2_CUM,SKS1_B,SKS2_SB,LTW
202,L,FISIKA,G4,SRJN,LL,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
203,L,FISIKA,G4,SMTA,PDG,PNS,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LTW
204,P,FISIKA,G4,SMP,LL,PDG,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
205,P,FISIKA,G3,SMTA,PS,PDG,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LTW
206,P,FISIKA,G2,SMTA,LL,BPN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LTW
207,P,FISIKA,G2,LL,BPN,BPN,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LLW
208,P,FISIKA,G3,SMTA,LL,PNS,IPS1_M,IPS2_CUM,SKS1_B,SKS2_B,LTW
209,P,FISIKA,G2,SD,LL,PSN,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
210,P,FISIKA,G2,SMP,LL,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
211,P,FISIKA,G3,SD,PDG,PDG,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
212,P,FISIKA,G4,SRJN,GRD,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
213,P,FISIKA,G3,SMP,LL,PNS,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_SB,LLW
214,P,FISIKA,G3,SMTA,LL,PS,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
215,P,FISIKA,G1,LL,LL,PSN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
216,L,FISIKA,G3,SMTA,LL,PS,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
217,P,FISIKA,G4,SMTA,LL,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
218,P,FISIKA,G3,SMP,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
219,P,FISIKA,G3,SRJN,GRD,BPN,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
220,P,FISIKA,G3,SMTA,LL,LL,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LLW
221,L,FISIKA,G4,SMP,PDG,PDG,IPS1_SM,IPS2_M,SKS1_B,SKS2_SB,LLW
222,P,FISIKA,G1,SRJN,GRD,LL,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
223,P,FISIKA,G2,SD,LL,BPN,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
224,L,FISIKA,G4,SRJN,GRD,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
225,L,FISIKA,G2,SD,BPN,PDG,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
226,P,FISIKA,G4,SRJN,GRD,GRD,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
227,P,FISIKA,G1,SMTA,LL,BPN,IPS1_M,IPS2_KM,SKS1_B,SKS2_SB,LLW
228,P,FISIKA,G2,SMTA,PDG,PDG,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
229,P,FISIKA,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LTW
230,P,FISIKA,G3,SMTA,PDG,PNS,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
231,L,FISIKA,G3,SRJN,GRD,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
232,L,FISIKA,G1,SD,LL,BPN,IPS1_SM,IPS2_KM,SKS1_B,SKS2_SB,LLW
233,P,FISIKA,G2,SD,BPN,PDG,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
234,P,FISIKA,G2,SMP,LL,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LTW
