,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,kelas
3460,L,KOM,G2,LL,BPN,BPN,IPS1_SM,IPS2_SM,IPK_SM-LLW
5433,L,HUK,G1,SMP,PDG,PDG,IPS1_SM,IPS2_SM,IPK_SM-LLW
3458,P,KOM,G4,SRJN,LL,PS,IPS1_SM,IPS2_SM,IPK_SM-LLW
5598,L,HUK,G4,SMTA,LL,PNS,IPS1_KM,IPS2_KM,IPK_KM-LLW
2281,P,EKO,G2,SMTA,LL,LL,IPS1_SM,IPS2_CUM,IPK_SM-LTW
6228,L,HUK,G3,SMTA,PSN,PSN,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
6003,P,HUK,G3,SRJN,GRD,PS,IPS1_KM,IPS2_KM,IPK_SM-LTW
5668,L,HUK,G4,SMTA,LL,PS,IPS1_KM,IPS2_M,IPK_SM-LTW
5703,P,HUK,G7,SRJN,PDG,LL,IPS1_SM,IPS2_KM,IPK_SM-LLW
3188,P,KOM,G3,SMTA,LL,PSN,IPS1_M,IPS2_SM,IPK_SM-LLW
737,P,AKU,G3,SRJN,PNS,GRD,IPS1_M,IPS2_SM,IPK_SM-LTW
5589,L,HUK,G4,SRJN,GRD,ABRI,IPS1_KM,IPS2_SM,IPK_SM-LTW
951,P,AKU,G4,SMTA,LL,PS,IPS1_SM,IPS2_CUM,IPK_SM-LLW
6266,P,HUK,G5,SRJN,PDG,PDG,IPS1_KM,IPS2_KM,IPK_KM-LLW
6189,P,HUK,G4,SMTA,LL,PSN,IPS1_SM,IPS2_SM,IPK_CUM-LTW
5603,P,HUK,G4,SMTA,PSN,PSN,IPS1_KM,IPS2_M,IPK_SM-LLW
2025,P,EKO,G1,SMTA,PSN,PSN,IPS1_SM,IPS2_SM,IPK_SM-LLW
899,P,AKU,G4,SRJN,PS,PNS,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
5719,P,HUK,G2,SRJN,GRD,PNS,IPS1_SM,IPS2_CUM,IPK_CUM-LTW
3138,P,KOM,G3,SMP,PDG,PDG,IPS1_KM,IPS2_M,IPK_SM-LLW
5812,P,HUK,G3,SRJN,PS,LL,IPS1_M,IPS2_KM,IPK_SM-LTW
6222,P,HUK,G4,SRJN,LL,GRD,IPS1_SM,IPS2_SM,IPK_SM-LTW
3038,L,KOM,G4,SRJN,GRD,GRD,IPS1_KM,IPS2_SM,IPK_SM-LLW
3201,P,KOM,G3,SMP,LL,PSN,IPS1_SM,IPS2_SM,IPK_KM-LLW
