,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,kelas
6300,L,HUK,G5,SRJN,GRD,PNS,IPS1_KM,IPS2_M,IPK_SM-LLW
5904,L,HUK,G4,SRJN,GRD,PS,IPS1_KM,IPS2_KM,IPK_SM-LLW
924,L,AKU,G4,SRJN,GRD,GRD,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
3251,P,KOM,G3,SRJN,GRD,PDG,IPS1_SM,IPS2_SM,IPK_SM-LLW
3257,P,KOM,G3,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,IPK_KM-LLW
941,L,AKU,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,IPK_SM-LTW
2146,P,EKO,G4,SMP,LL,PS,IPS1_SM,IPS2_CUM,IPK_CUM-LTW
3336,L,KOM,G4,SRJN,PNS,PNS,IPS1_SM,IPS2_SM,IPK_KM-LLW
6250,L,HUK,G7,SRJN,LL,PDG,IPS1_KM,IPS2_KM,IPK_M-LLW
5357,P,HUK,G3,SMTA,PNS,PS,IPS1_KM,IPS2_M,IPK_SM-LTW
2122,P,EKO,G3,SMP,PS,PS,IPS1_SM,IPS2_SM,IPK_CUM-LC
5854,L,HUK,G3,SMTA,LL,PSN,IPS1_KM,IPS2_KM,IPK_M-LLW
3396,P,KOM,G3,SMTA,LL,BPN,IPS1_SM,IPS2_SM,IPK_KM-LLW
3055,P,KOM,G3,SRJN,GRD,GRD,IPS1_SM,IPS2_CUM,IPK_SM-LLW
1778,P,EKO,G3,SMTA,PNS,PS,IPS1_SM,IPS2_SM,IPK_SM-LTW
1014,P,AKU,G3,SRJN,GRD,LL,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
806,P,AKU,G4,SMTA,LL,PDG,IPS1_SM,IPS2_SM,IPK_CUM-LTW
3316,P,KOM,G3,SD,PDG,PSN,IPS1_SM,IPS2_SM,IPK_SM-LLW
6375,L,HUK,G7,SMTA,PDG,PDG,IPS1_KM,IPS2_KM,IPK_SM-LLW
3090,P,KOM,G2,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,IPK_SM-LLW
836,P,AKU,G3,SRJN,GRD,PNS,IPS1_SM,IPS2_SM,IPK_SM-LTW
5948,P,HUK,G4,SMTA,LL,PNS,IPS1_M,IPS2_KM,IPK_CUM-LTW
5659,L,HUK,G4,SMTA,PDG,PNS,IPS1_KM,IPS2_KM,IPK_SM-LLW
3322,P,KOM,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_CUM,IPK_SM-LTW
5869,P,HUK,G3,SMTA,LL,PDG,IPS1_M,IPS2_M,IPK_SM-LTW
5930,P,HUK,G5,SMTA,PNS,LL,IPS1_SM,IPS2_KM,IPK_CUM-LTW
1920,P,EKO,G2,SMTA,LL,PS,IPS1_SM,IPS2_SM,IPK_SM-LTW
5494,P,HUK,G3,SMTA,PDG,PSN,IPS1_KM,IPS2_KM,IPK_SM-LLW
3203,L,KOM,G3,SD,LL,PSN,IPS1_CUM,IPS2_SM,IPK_CUM-LLW
5409,L,HUK,G4,SRJN,LL,PS,IPS1_SM,IPS2_SM,IPK_SM-LLW
5649,P,HUK,G3,SMP,LL,PSN,IPS1_KM,IPS2_M,IPK_SM-LLW
6255,P,HUK,G4,SMTA,LL,PNS,IPS1_M,IPS2_SM,IPK_CUM-LTW
3278,P,KOM,G4,SMP,PDG,PDG,IPS1_SM,IPS2_SM,IPK_KM-LLW
5521,P,HUK,G2,SMTA,GRD,BPN,IPS1_KM,IPS2_KM,IPK_SM-LLW
3047,L,KOM,G3,SMP,LL,PS,IPS1_SM,IPS2_CUM,IPK_SM-LLW
