,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,SKS_S1,SKS_S2,IP_S1,IP_S2,STATUS_LULUS
51,L,FISIKA,G3,SMTA,BPN,PS,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
52,L,FISIKA,G3,SMP,BPN,BPN,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
53,L,FISIKA,G1,LL,LL,LL,SKS1_B,SKS2_K,IPS1_KM,IPS2_KM,LLW_2
54,P,FISIKA,G1,SD,BPN,BPN,SKS1_B,SKS2_B,IPS1_KM,IPS2_M,LLW_1
55,L,FISIKA,G3,SMTA,LL,PNS,SKS1_K,SKS2_B,IPS1_KM,IPS2_KM,LTW
56,P,FISIKA,G3,SRJN,GRD,GRD,SKS1_B,SKS2_C,IPS1_KM,IPS2_KM,LLW_1
57,P,FISIKA,G5,SRJN,GRD,PDG,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
58,L,FISIKA,G1,SMTA,LL,BPN,SKS1_B,SKS2_B,IPS1_M,IPS2_KM,LLW_1
59,L,FISIKA,G3,SRJN,GRD,GRD,SKS1_B,SKS2_C,IPS1_KM,IPS2_SM,LTW
60,P,FISIKA,G1,SMP,LL,LL,SKS1_B,SKS2_C,IPS1_KM,IPS2_M,LLW_1
61,L,FISIKA,G2,SD,BPN,BPN,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_2
62,L,FISIKA,G1,LL,BPN,BPN,SKS1_B,SKS2_B,IPS1_SM,IPS2_M,LLW_1
63,P,FISIKA,G3,SMTA,PDG,PDG,SKS1_B,SKS2_B,IPS1_KM,IPS2_M,LTW
64,P,FISIKA,G1,SMTA,PS,BPN,SKS1_B,SKS2_B,IPS1_SM,IPS2_SM,LC
65,P,FISIKA,G2,SMP,BPN,LL,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LTW
66,P,FISIKA,G3,LL,LL,PSN,SKS1_B,SKS2_B,IPS1_SM,IPS2_SM,LTW
67,P,FISIKA,G3,SMP,LL,LL,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
68,L,FISIKA,G3,SRJN,LL,GRD,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
69,L,FISIKA,G4,SRJN,GRD,PS,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
70,P,FISIKA,G1,SD,LL,BPN,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
71,P,FISIKA,G2,SD,LL,PS,SKS1_B,SKS2_B,IPS1_CUM,IPS2_CUM,LTW
72,P,FISIKA,G2,LL,LL,PDG,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
73,P,FISIKA,G3,SD,PDG,PDG,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_2
74,L,FISIKA,G3,SMTA,LL,GRD,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
75,P,FISIKA,G2,SD,LL,LL,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
76,P,FISIKA,G4,SMTA,LL,PDG,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_2
77,L,FISIKA,G2,SMP,LL,GRD,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
78,P,FISIKA,G3,SRJN,GRD,GRD,SKS1_B,SKS2_B,IPS1_M,IPS2_M,LTW
79,L,FISIKA,G3,SMTA,LL,GRD,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
80,P,FISIKA,G3,SRJN,GRD,LL,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
81,P,FISIKA,G3,SMP,LL,PS,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
82,L,FISIKA,G3,SMTA,GRD,GRD,SKS1_B,SKS2_B,IPS1_M,IPS2_KM,LLW_1
83,L,FISIKA,G2,SD,BPN,PSN,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
84,P,FISIKA,G1,SMTA,LL,PDG,SKS1_B,SKS2_B,IPS1_M,IPS2_M,LTW
85,P,FISIKA,G2,SMP,PS,PS,SKS1_B,SKS2_B,IPS1_KM,IPS2_M,LLW_1
86,P,FISIKA,G2,SD,PDG,GRD,SKS1_B,SKS2_B,IPS1_KM,IPS2_M,LTW
87,L,FISIKA,G3,SRJN,GRD,GRD,SKS1_B,SKS2_B,IPS1_M,IPS2_KM,LLW_1
88,P,FISIKA,G1,SD,PDG,PDG,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
89,P,FISIKA,G1,SMTA,LL,GRD,SKS1_B,SKS2_B,IPS1_SM,IPS2_M,LLW_2
90,P,FISIKA,G1,SMP,LL,BPN,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LTW
91,P,FISIKA,G3,SRJN,LL,GRD,SKS1_B,SKS2_B,IPS1_SM,IPS2_M,LTW
92,L,FISIKA,G2,SMTA,BPN,BPN,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
93,L,FISIKA,G3,SRJN,GRD,PDG,SKS1_B,SKS2_B,IPS1_M,IPS2_KM,LLW_1
