,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,IPK_TERAKHIR
43,P,AKU,G3,SRJN,GRD,LL,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
44,P,AKU,G4,SMTA,LL,PS,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
45,P,AKU,G3,SRJN,PNS,GRD,IPS1_M,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
46,P,AKU,G4,SRJN,GRD,PNS,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
47,P,AKU,G3,SMTA,LL,PS,IPS1_M,IPS2_M,SKS1_SB,SKS2_B,IPK_SM
48,P,AKU,G2,SD,PDG,PDG,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_B,IPK_CUM
49,L,AKU,G3,SMTA,LL,PSN,IPS1_SM,IPS2_KM,SKS1_SB,SKS2_B,IPK_M
50,P,AKU,G3,SMTA,LL,PDG,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
51,P,AKU,G3,SRJN,PNS,GRD,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_SM
52,P,AKU,G4,SRJN,GRD,PNS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
53,L,AKU,G4,SRJN,PNS,PNS,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_C,IPK_KM
54,L,AKU,G7,SMTA,LL,PS,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,IPK_KM
55,L,AKU,G4,SMTA,PNS,PS,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,IPK_KM
56,L,AKU,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
57,L,AKU,G4,SD,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_B,IPK_SM
58,L,AKU,G2,SRJN,PS,PDG,IPS1_M,IPS2_KM,SKS1_SB,SKS2_B,IPK_M
59,L,AKU,G5,SRJN,PNS,PNS,IPS1_M,IPS2_KM,SKS1_SB,SKS2_B,IPK_SM
60,P,AKU,G4,SRJN,PNS,PNS,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_B,IPK_SM
61,P,AKU,G4,SMTA,PS,LL,IPS1_SM,IPS2_KM,SKS1_SB,SKS2_B,IPK_SM
62,L,AKU,G5,SRJN,PNS,PSN,IPS1_SM,IPS2_M,SKS1_SB,SKS2_SB,IPK_SM
63,L,AKU,G7,SRJN,PNS,LL,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,IPK_M
64,P,AKU,G7,SMTA,LL,PS,IPS1_M,IPS2_M,SKS1_SB,SKS2_B,IPK_SM
65,P,AKU,G4,SMTA,PDG,PS,IPS1_M,IPS2_M,SKS1_SB,SKS2_B,IPK_SM
66,P,AKU,G3,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
67,L,AKU,G4,SMTA,LL,PNS,IPS1_SM,IPS2_KM,SKS1_SB,SKS2_SB,IPK_SM
68,P,AKU,G4,SMTA,LL,LL,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
69,P,AKU,G5,SRJN,PDG,GRD,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_B,IPK_SM
70,L,AKU,G3,SMP,PDG,PS,IPS1_M,IPS2_KM,SKS1_SB,SKS2_B,IPK_SM
71,P,AKU,G5,SRJN,GRD,GRD,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_CUM
72,L,AKU,G4,SMTA,LL,PSN,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,IPK_SM
73,L,AKU,G6,SMTA,LL,LL,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_B,IPK_SM
74,L,AKU,G1,SMTA,LL,LL,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,IPK_SM
75,P,AKU,G4,SMTA,LL,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_B,IPK_CUM
76,L,AKU,G4,SMTA,PSN,PSN,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
77,P,AKU,G4,SMTA,PNS,PS,IPS1_KM,IPS2_M,SKS1_SB,SKS2_B,IPK_SM
78,P,AKU,G3,SRJN,PDG,LL,IPS1_SM,IPS2_M,SKS1_SB,SKS2_B,IPK_SM
79,L,AKU,G5,SMTA,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
80,L,AKU,G2,SMTA,LL,PS,IPS1_M,IPS2_KM,SKS1_SB,SKS2_SB,IPK_SM
81,L,AKU,G3,SRJN,LL,PSN,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,IPK_SM
82,P,AKU,G4,SMTA,PNS,PSN,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_B,IPK_CUM
83,P,AKU,G3,SRJN,LL,PDG,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_B,IPK_CUM
84,L,AKU,G3,SD,LL,PNS,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,IPK_M
85,P,AKU,G4,SRJN,GRD,LL,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_B,IPK_CUM
86,L,AKU,G4,SMP,LL,PDG,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
87,P,AKU,G4,SMTA,PDG,PS,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,IPK_SM
88,P,AKU,G4,SRJN,PNS,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_B,IPK_SM
89,L,AKU,G3,SMTA,PS,PS,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,IPK_SM
90,L,AKU,G2,LL,PDG,BPN,IPS1_M,IPS2_M,SKS1_SB,SKS2_B,IPK_SM
91,P,AKU,G2,SRJN,PS,PS,IPS1_M,IPS2_M,SKS1_SB,SKS2_B,IPK_SM
92,P,AKU,G5,SMTA,LL,PS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
93,L,AKU,G5,SMTA,LL,PS,IPS1_KM,IPS2_M,SKS1_SB,SKS2_B,IPK_SM
94,P,AKU,G3,SRJN,GRD,PNS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
95,L,AKU,G4,SRJN,PSN,GRD,IPS1_SM,IPS2_M,SKS1_SB,SKS2_SB,IPK_SM
96,P,AKU,G3,SMTA,LL,PS,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,IPK_SM
97,P,AKU,G3,SMTA,LL,PDG,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,IPK_SM
98,L,AKU,G3,SD,LL,PNS,IPS1_SM,IPS2_M,SKS1_SB,SKS2_B,IPK_SM
99,L,AKU,G3,SRJN,PNS,PS,IPS1_M,IPS2_KM,SKS1_SB,SKS2_B,IPK_SM
100,L,AKU,G4,SMTA,LL,PDG,IPS1_M,IPS2_M,SKS1_SB,SKS2_B,IPK_SM
101,L,AKU,G3,SMTA,LL,PNS,IPS1_SM,IPS2_M,SKS1_SB,SKS2_SB,IPK_SM
102,P,AKU,G3,SRJN,LL,PSN,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
103,P,AKU,G2,SD,LL,BPN,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
104,P,AKU,G4,SRJN,PS,PS,IPS1_M,IPS2_M,SKS1_SB,SKS2_B,IPK_SM
105,P,AKU,G4,SRJN,PNS,PS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_CUM
106,L,AKU,G4,SRJN,PSN,PSN,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
107,L,AKU,G7,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_B,IPK_SM
108,P,AKU,G6,SMTA,PNS,PNS,IPS1_M,IPS2_M,SKS1_SB,SKS2_B,IPK_SM
109,P,AKU,G4,SMTA,LL,PNS,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,IPK_SM
110,P,AKU,G1,SMTA,LL,PSN,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_KM
111,P,AKU,G3,SMTA,LL,PDG,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
112,P,AKU,G3,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
113,L,AKU,G4,SMTA,PNS,GRD,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,IPK_SM
114,P,AKU,G6,SRJN,PNS,PNS,IPS1_SM,IPS2_KM,SKS1_SB,SKS2_SB,IPK_SM
115,P,AKU,G2,LL,LL,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
116,P,AKU,G4,SMP,PDG,PDG,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
117,P,AKU,G3,SRJN,GRD,GRD,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_CUM
118,L,AKU,G4,SRJN,GRD,PS,IPS1_SM,IPS2_KM,SKS1_SB,SKS2_SB,IPK_SM
119,P,AKU,G4,SRJN,GRD,PNS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
120,P,AKU,G2,SMP,LL,PDG,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
121,L,AKU,G4,SRJN,GRD,PNS,IPS1_M,IPS2_KM,SKS1_SB,SKS2_B,IPK_SM
122,P,AKU,G4,SRJN,GRD,GRD,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_CUM
123,P,AKU,G4,SRJN,PNS,PDG,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
124,P,AKU,G4,SMTA,PDG,ABRI,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
125,P,AKU,G3,SMTA,GRD,LL,IPS1_M,IPS2_M,SKS1_SB,SKS2_B,IPK_SM
126,L,AKU,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
127,P,AKU,G2,SMP,PDG,LL,IPS1_SM,IPS2_M,SKS1_SB,SKS2_SB,IPK_SM
128,P,AKU,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
129,L,AKU,G7,SRJN,LL,PNS,IPS1_M,IPS2_M,SKS1_SB,SKS2_B,IPK_M
130,L,AKU,G3,SMTA,LL,PS,IPS1_KM,IPS2_M,SKS1_SB,SKS2_B,IPK_SM
