,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,IPK_TERAKHIR
3392,P,KOM,G3,SMTA,LL,PS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
1119,P,AKU,G2,SMTA,LL,PS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_KM
5896,L,HUK,G6,SRJN,GRD,GRD,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_B,IPK_CUM
3426,P,KOM,G4,SRJN,GRD,PSN,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
858,P,AKU,G3,SMP,LL,ABRI,IPS1_SM,IPS2_KM,SKS1_SB,SKS2_SB,IPK_SM
2140,P,EKO,G3,SMTA,PDG,PDG,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_CUM
3086,P,KOM,G3,SRJN,LL,PDG,IPS1_SM,IPS2_M,SKS1_SB,SKS2_SB,IPK_SM
911,P,AKU,G3,SMTA,LL,PDG,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_SB,IPK_SM
2096,P,EKO,G7,SMTA,LL,PDG,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
5741,P,HUK,G5,SRJN,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,IPK_M
5768,L,HUK,G3,SRJN,GRD,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
5521,P,HUK,G2,SMTA,GRD,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
1149,L,AKU,G7,SRJN,PNS,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
2194,P,EKO,G4,SMTA,PDG,GRD,IPS1_SM,IPS2_M,SKS1_SB,SKS2_SB,IPK_SM
6023,P,HUK,G4,SMTA,PDG,PSN,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
2229,P,EKO,G5,SMTA,PDG,PDG,IPS1_SM,IPS2_M,SKS1_SB,SKS2_SB,IPK_SM
665,L,AKU,G3,SRJN,GRD,PNS,IPS1_KM,IPS2_M,SKS1_SB,SKS2_B,IPK_SM
803,L,AKU,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
3097,P,KOM,G3,SMP,GRD,PNS,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,IPK_SM
6243,L,HUK,G7,SRJN,PS,PS,IPS1_SM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
881,P,AKU,G5,SRJN,GRD,PSN,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
5850,P,HUK,G4,SRJN,LL,PDG,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_SB,IPK_CUM
2170,L,EKO,G2,SMTA,LL,BPN,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_CUM
5737,P,HUK,G3,SMTA,PDG,LL,IPS1_KM,IPS2_SM,SKS1_C,SKS2_B,IPK_SM
2052,P,EKO,G4,SRJN,GRD,LL,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_CUM
5406,L,HUK,G3,SRJN,GRD,GRD,IPS1_M,IPS2_M,SKS1_SB,SKS2_K,IPK_SM
3208,P,KOM,G5,SRJN,GRD,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
3314,P,KOM,G7,SRJN,PS,PNS,IPS1_M,IPS2_KM,SKS1_SB,SKS2_B,IPK_KM
6357,L,HUK,G3,SMTA,PS,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_CUM
5443,L,HUK,G1,SMTA,LL,PSN,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
6072,P,HUK,G4,SRJN,GRD,GRD,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
2026,P,EKO,G2,SRJN,LL,PS,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_K,IPK_SM
1111,L,AKU,G4,SRJN,LL,PS,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_CUM
6132,L,HUK,G1,SMTA,LL,LL,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,IPK_CUM
1188,P,AKU,G5,SRJN,PNS,PNS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
3121,L,KOM,G4,SRJN,LL,GRD,IPS1_CUM,IPS2_M,SKS1_SB,SKS2_SB,IPK_SM
6239,L,HUK,G3,SMTA,PS,PNS,IPS1_KM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
1079,L,AKU,G1,SMTA,LL,PSN,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,IPK_CUM
2274,P,EKO,G3,SRJN,PS,PS,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
2076,L,EKO,G1,SMP,LL,PSN,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
5746,L,HUK,G5,SRJN,PDG,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
5357,P,HUK,G3,SMTA,PNS,PS,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,IPK_SM
2086,L,EKO,G4,SRJN,GRD,PSN,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
5862,L,HUK,G3,SRJN,GRD,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
1210,P,AKU,G2,SD,LL,BPN,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_CUM
6329,P,HUK,G3,SRJN,GRD,BPN,IPS1_M,IPS2_SM,SKS1_B,SKS2_SB,IPK_CUM
2082,P,EKO,G4,SRJN,LL,PS,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
3089,P,KOM,G3,SMTA,PDG,ABRI,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_KM
2131,L,EKO,G5,SMTA,LL,LL,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
3441,L,KOM,G5,SRJN,GRD,PNS,IPS1_M,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
5998,L,HUK,G3,SMTA,LL,ABRI,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
3307,L,KOM,G4,SRJN,LL,PS,IPS1_SM,IPS2_M,SKS1_SB,SKS2_SB,IPK_KM
871,P,AKU,G3,SRJN,PNS,PDG,IPS1_SM,IPS2_KM,SKS1_SB,SKS2_SB,IPK_SM
5925,P,HUK,G5,SMTA,LL,LL,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
5806,L,HUK,G3,SMTA,LL,PS,IPS1_SM,IPS2_KM,SKS1_SB,SKS2_SB,IPK_SM
1974,P,EKO,G3,SRJN,LL,PS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_CUM
5699,P,HUK,G3,SMTA,LL,PSN,IPS1_M,IPS2_M,SKS1_B,SKS2_SB,IPK_SM
1939,L,EKO,G3,SMTA,PSN,PSN,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_C,IPK_KM
1960,P,EKO,G4,SMTA,PDG,PDG,IPS1_M,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
2309,P,EKO,G5,LL,PSN,GRD,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
3098,L,KOM,G4,SRJN,LL,GRD,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_SM
6095,P,HUK,G3,SMTA,LL,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_CUM
3189,L,KOM,G3,SMTA,LL,PNS,IPS1_M,IPS2_KM,SKS1_SB,SKS2_B,IPK_SM
968,L,AKU,G1,SMTA,PDG,LL,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,IPK_CUM
3360,P,KOM,G4,SMTA,PNS,LL,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
1105,P,AKU,G6,SRJN,LL,PNS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
5879,P,HUK,G2,SRJN,PDG,LL,IPS1_SM,IPS2_KM,SKS1_B,SKS2_SB,IPK_SM
3099,P,KOM,G3,SRJN,GRD,BPN,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
1080,L,AKU,G4,SMTA,LL,PS,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,IPK_CUM
1110,L,AKU,G4,SMTA,PSN,PSN,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
859,P,AKU,G4,SRJN,GRD,LL,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
2055,L,EKO,G6,SMP,BPN,BPN,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_SM
6228,L,HUK,G3,SMTA,PSN,PSN,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
1841,P,EKO,G3,SMTA,GRD,PNS,IPS1_M,IPS2_KM,SKS1_SB,SKS2_B,IPK_SM
