,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,STATUS_LULUS
755,P,KOM,G5,SMTA,PS,PNS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
756,L,KOM,G3,SMTA,LL,PSN,IPS1_KM,IPS2_M,SKS1_SB,SKS2_B,LLW
757,P,KOM,G3,SRJN,LL,PS,IPS1_SM,IPS2_M,SKS1_SB,SKS2_SB,LLW
758,L,KOM,G3,SRJN,PS,PSN,IPS1_M,IPS2_KM,SKS1_SB,SKS2_B,LLW
759,P,KOM,G4,SMTA,LL,PNS,IPS1_SM,IPS2_M,SKS1_SB,SKS2_SB,LLW
760,P,KOM,G3,SRJN,GRD,PSN,IPS1_CUM,IPS2_M,SKS1_SB,SKS2_SB,LLW
761,L,KOM,G5,SMTA,LL,PNS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
762,P,KOM,G3,SMTA,LL,LL,IPS1_CUM,IPS2_M,SKS1_SB,SKS2_SB,LLW
763,L,KOM,G4,SRJN,GRD,GRD,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LLW
764,L,KOM,G4,SRJN,LL,PS,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LLW
765,P,KOM,G4,SRJN,PNS,PDG,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LTW
766,P,KOM,G7,SRJN,PNS,PNS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
767,P,KOM,G3,SRJN,PNS,PNS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
768,P,KOM,G5,SRJN,LL,PSN,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
769,P,KOM,G3,SMTA,LL,PNS,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
770,P,KOM,G4,SRJN,PNS,GRD,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LLW
771,P,KOM,G5,SRJN,GRD,PDG,IPS1_M,IPS2_SM,SKS1_SB,SKS2_SB,LLW
