,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IPK_TERAKHIR
6379,P,HUK,G5,SRJN,GRD,ABRI,IPK_CUM
5913,P,HUK,G3,SMTA,PNS,LL,IPK_CUM
5422,P,HUK,G4,SMTA,PDG,PNS,IPK_CUM
1052,P,AKU,G3,SMTA,PDG,PDG,IPK_CUM
2079,P,EKO,G4,SRJN,GRD,PS,IPK_CUM
990,P,AKU,G2,SMTA,LL,PS,IPK_CUM
2109,L,EKO,G3,SRJN,GRD,PSN,IPK_CUM
5860,P,HUK,G4,SRJN,PS,GRD,IPK_CUM
5921,P,HUK,G3,SRJN,LL,PNS,IPK_CUM
1002,L,AKU,G3,SRJN,LL,PS,IPK_CUM
5475,P,HUK,G4,SMTA,LL,PS,IPK_CUM
893,L,AKU,G4,SRJN,PS,LL,IPK_CUM
806,P,AKU,G4,SMTA,LL,PDG,IPK_CUM
2262,P,EKO,G2,SD,PDG,BPN,IPK_CUM
2173,P,EKO,G4,SRJN,LL,GRD,IPK_CUM
2122,P,EKO,G3,SMP,PS,PS,IPK_CUM
1029,P,AKU,G3,SD,BPN,BPN,IPK_CUM
5646,L,HUK,G4,SRJN,PS,PNS,IPK_CUM
6138,P,HUK,G4,SRJN,PDG,PS,IPK_CUM
6310,P,HUK,G4,SRJN,GRD,GRD,IPK_CUM
1101,P,AKU,G5,SRJN,LL,GRD,IPK_CUM
726,L,AKU,G3,SMP,PDG,PDG,IPK_CUM
5872,P,HUK,G5,SMTA,PDG,PNS,IPK_CUM
954,P,AKU,G6,SRJN,LL,PNS,IPK_CUM
1964,P,EKO,G4,SMTA,LL,PS,IPK_CUM
855,P,AKU,G3,SMTA,LL,PDG,IPK_CUM
5889,P,HUK,G3,SRJN,PS,PS,IPK_CUM
2320,P,EKO,G3,SD,BPN,PDG,IPK_CUM
2314,P,EKO,G4,SMTA,LL,PSN,IPK_CUM
968,L,AKU,G1,SMTA,PDG,LL,IPK_CUM
895,P,AKU,G4,SD,PDG,PS,IPK_CUM
2094,L,EKO,G4,SRJN,GRD,PSN,IPK_CUM
6383,P,HUK,G4,SRJN,LL,PNS,IPK_CUM
2276,P,EKO,G4,SMTA,PDG,PNS,IPK_CUM
1999,L,EKO,G4,SRJN,GRD,PSN,IPK_CUM
3317,P,KOM,G2,SD,LL,BPN,IPK_CUM
1092,L,AKU,G4,SMTA,PSN,PSN,IPK_CUM
5916,P,HUK,G7,SRJN,PDG,PDG,IPK_CUM
5943,P,HUK,G4,SRJN,PNS,PNS,IPK_CUM
6253,L,HUK,G2,SD,PDG,PDG,IPK_CUM
5493,P,HUK,G3,SRJN,LL,PSN,IPK_CUM
1016,P,AKU,G5,SRJN,PNS,GRD,IPK_CUM
6096,P,HUK,G4,SRJN,PNS,PS,IPK_CUM
973,P,AKU,G4,SRJN,PDG,GRD,IPK_CUM
6339,P,HUK,G2,SMTA,LL,PDG,IPK_CUM
883,L,AKU,G4,SRJN,GRD,GRD,IPK_CUM
2274,P,EKO,G3,SRJN,PS,PS,IPK_CUM
2259,P,EKO,G1,LL,BPN,PDG,IPK_CUM
1009,L,AKU,G6,SMTA,PDG,PS,IPK_CUM
5968,P,HUK,G4,SRJN,GRD,ABRI,IPK_CUM
6251,P,HUK,G2,SMP,BPN,LL,IPK_CUM
5859,P,HUK,G2,SMTA,PNS,PSN,IPK_CUM
2257,P,EKO,G5,SMTA,LL,PNS,IPK_CUM
1031,P,AKU,G3,SMP,BPN,BPN,IPK_CUM
2215,L,EKO,G2,SMTA,LL,PDG,IPK_CUM
3130,P,KOM,G1,SMTA,BPN,BPN,IPK_CUM
5360,L,HUK,G3,SMTA,PNS,PNS,IPK_CUM
6293,P,HUK,G4,SMP,PDG,GRD,IPK_CUM
5718,P,HUK,G4,SMTA,PS,PS,IPK_CUM
982,P,AKU,G4,SRJN,GRD,PNS,IPK_CUM
738,P,AKU,G4,SRJN,GRD,PNS,IPK_CUM
933,P,AKU,G4,SMTA,LL,PSN,IPK_CUM
2251,P,EKO,G4,SRJN,LL,PNS,IPK_CUM
1995,P,EKO,G4,SRJN,LL,PS,IPK_CUM
