@relation data_uji_mipa_sosial_lulus
@attribute JK{L,P}
@attribute JUR{AKU,EKO,HUK,KOM}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{ABRI,BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{ABRI,BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute IP_S1 real
@attribute IP_S2 real
@attribute STATUS_LULUS{LC,LLW,LTW}
@data
"P","KOM","G5","SRJN","PDG","PS",3.23,3.45,"LLW"
"L","AKU","G5","SRJN","PNS","GRD",3.59,3.36,"LLW"
"L","KOM","G4","SRJN","GRD","GRD",3.5,3.77,"LLW"
"P","KOM","G5","SRJN","PDG","LL",3.22,3.61,"LLW"
"L","KOM","G3","SMTA","PS","LL",3.41,2.83,"LLW"
"P","HUK","G2","SMTA","LL","PS",2.8,3.05,"LLW"
"L","AKU","G4","SMTA","LL","GRD",2.96,3.14,"LLW"
"L","AKU","G5","SMTA","LL","PS",2.75,2.76,"LLW"
"P","HUK","G4","SRJN","LL","PS",2.7,2.95,"LLW"
"P","KOM","G7","SRJN","PS","PNS",2.77,2.0,"LLW"
"L","HUK","G1","SMTA","LL","LL",1.9,1.75,"LLW"
"L","EKO","G7","SRJN","GRD","PS",2.95,2.92,"LLW"
"P","HUK","G5","SRJN","LL","PNS",2.5,2.72,"LLW"
"L","HUK","G5","SMTA","LL","PDG",2.6,2.05,"LLW"
"L","EKO","G5","SRJN","LL","PNS",3.0,2.21,"LLW"
"L","KOM","G4","SMTA","PDG","PDG",3.14,2.65,"LLW"
"P","HUK","G4","SMTA","LL","PSN",1.7,2.81,"LLW"
"P","KOM","G5","SMTA","PS","PNS",3.27,3.32,"LLW"
"P","HUK","G5","SRJN","PNS","PNS",2.4,3.15,"LLW"
"P","KOM","G4","SRJN","LL","GRD",3.27,3.09,"LLW"
"L","HUK","G4","SMTA","LL","PNS",2.2,2.39,"LLW"
"P","HUK","G2","SMP","LL","PSN",3.7,3.42,"LLW"
"L","KOM","G2","SRJN","GRD","LL",3.55,3.5,"LLW"
"P","HUK","G3","SMTA","PNS","PNS",2.1,2.95,"LLW"
"L","HUK","G3","LL","PDG","PDG",1.8,2.31,"LLW"
"L","AKU","G2","SMTA","LL","BPN",3.19,3.22,"LLW"
"L","AKU","G3","SMTA","PS","PDG",3.08,3.0,"LLW"
"L","KOM","G4","SRJN","GRD","PDG",3.41,3.09,"LLW"
"L","AKU","G3","SRJN","GRD","BPN",3.38,3.26,"LLW"
"L","KOM","G4","SRJN","LL","PS",3.32,2.91,"LLW"
"L","AKU","G5","SRJN","PNS","PNS",2.92,2.43,"LLW"
"P","KOM","G3","SMTA","LL","PS",3.5,3.5,"LLW"
"P","EKO","G3","SMTA","LL","PSN",3.73,3.83,"LLW"
"P","HUK","G5","SMTA","LL","PNS",2.4,2.55,"LLW"
"L","EKO","G6","SRJN","GRD","PS",3.04,2.92,"LLW"
"P","KOM","G1","SMTA","LL","BPN",3.52,3.65,"LLW"
"P","EKO","G7","SRJN","LL","PS",3.5,3.46,"LLW"
"P","HUK","G5","SMTA","LL","PNS",3.7,3.27,"LLW"
"P","HUK","G5","SMTA","LL","LL",3.7,3.41,"LTW"
"L","HUK","G3","SRJN","GRD","PNS",2.5,3.1,"LTW"
"P","AKU","G4","SMTA","LL","LL",3.73,3.5,"LTW"
"P","HUK","G2","SRJN","GRD","PNS",2.8,3.4,"LTW"
"P","EKO","G5","SMTA","LL","PNS",3.92,3.54,"LTW"
"P","EKO","G5","SRJN","ABRI","PDG",3.21,3.67,"LTW"
"P","AKU","G5","SMTA","LL","PS",3.46,3.35,"LTW"
"P","EKO","G4","SRJN","GRD","PNS",3.77,3.58,"LTW"
"L","AKU","G4","SRJN","GRD","GRD",3.19,3.78,"LTW"
"P","AKU","G7","SRJN","PS","PDG",3.27,3.64,"LTW"
"L","HUK","G4","SMP","LL","GRD",3.1,3.09,"LTW"
"L","EKO","G4","SRJN","PNS","PS",2.92,3.29,"LTW"
"L","HUK","G3","SRJN","GRD","PNS",3.1,3.32,"LTW"
"P","EKO","G3","SMTA","GRD","PDG",3.18,3.86,"LTW"
"P","HUK","G4","SRJN","PDG","PDG",2.3,2.85,"LTW"
"P","EKO","G3","SMTA","PDG","PDG",3.77,3.67,"LTW"
"P","HUK","G4","SMTA","LL","ABRI",2.6,3.05,"LTW"
"P","HUK","G4","SRJN","PNS","PNS",2.8,2.95,"LTW"
"L","AKU","G3","SMTA","LL","PDG",3.05,3.48,"LTW"
"P","HUK","G3","SRJN","LL","PNS",2.5,2.35,"LTW"
"L","EKO","G2","SMP","LL","PSN",3.42,3.71,"LTW"
"L","AKU","G3","SMP","PDG","PDG",3.54,3.5,"LTW"
"P","EKO","G4","SMTA","PDG","PNS",3.09,3.71,"LTW"
"L","HUK","G3","SMTA","LL","ABRI",2.5,2.8,"LTW"
"L","AKU","G4","SMTA","LL","PDG",3.48,3.22,"LTW"
"L","EKO","G4","SMTA","PS","PS",3.21,3.42,"LTW"
"P","EKO","G4","SMTA","LL","PS",3.5,3.58,"LTW"
"L","EKO","G3","SRJN","GRD","PNS",2.55,3.15,"LTW"
"L","HUK","G3","SMTA","PDG","PDG",2.4,3.0,"LTW"
"L","HUK","G4","SRJN","PNS","PNS",2.9,3.1,"LTW"
"P","EKO","G3","SMTA","PDG","PNS",3.58,3.42,"LTW"
"L","AKU","G3","SRJN","GRD","PNS",3.48,3.78,"LTW"
"P","HUK","G4","SMTA","LL","PSN",3.35,3.54,"LTW"
"P","HUK","G3","SMTA","PNS","PNS",3.0,3.14,"LTW"
"L","EKO","G7","SMTA","LL","PS",3.14,2.96,"LTW"
"P","HUK","G4","SRJN","LL","PS",2.3,3.25,"LTW"
"P","HUK","G3","SRJN","LL","PNS",3.0,2.91,"LTW"
"P","AKU","G4","SRJN","GRD","LL",3.54,3.35,"LTW"
"P","AKU","G5","SRJN","GRD","PSN",3.62,3.46,"LTW"
"P","HUK","G4","SRJN","LL","PDG",3.9,3.46,"LTW"
"L","AKU","G5","SRJN","GRD","GRD",3.24,3.58,"LTW"
"P","AKU","G3","SMTA","PNS","LL",3.46,3.67,"LTW"
"L","HUK","G6","SRJN","PDG","PDG",3.8,3.17,"LTW"
"L","HUK","G6","SRJN","GRD","GRD",3.6,3.3,"LTW"
"L","EKO","G3","SRJN","PDG","PS",2.86,3.12,"LTW"
"P","AKU","G4","SMP","PDG","PDG",3.38,3.71,"LTW"
"P","AKU","G4","SRJN","GRD","PNS",3.29,3.24,"LTW"
"P","HUK","G3","SD","PDG","ABRI",3.2,3.62,"LTW"
"P","AKU","G4","LL","PNS","PNS",3.59,3.29,"LTW"
"P","HUK","G4","SMTA","LL","PNS",3.7,3.38,"LTW"
"P","EKO","G3","SRJN","LL","PS",3.5,3.46,"LTW"
"P","HUK","G3","SRJN","GRD","LL",3.5,3.5,"LTW"
"P","HUK","G4","SMTA","LL","PSN",3.1,3.27,"LTW"
"P","AKU","G4","SMTA","PDG","PS",3.0,3.19,"LTW"
"L","AKU","G3","SMTA","LL","PNS",3.62,3.7,"LTW"
"L","HUK","G4","SMTA","PS","PS",2.8,2.9,"LTW"
"P","HUK","G4","SRJN","PNS","PS",3.1,3.23,"LTW"
"P","EKO","G4","SRJN","GRD","LL",2.95,3.3,"LTW"
"P","HUK","G3","SRJN","PDG","GRD",3.4,3.73,"LTW"
