,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,SKS_S1,SKS_S2,IP_S1,IP_S2,IPK_TERAKHIR
1095,L,MTK,G3,SRJN,PNS,GRD,21.0,22.0,3.0,3.14,IPK_SM
1478,L,BIO,G1,SD,BPN,BPN,21.0,21.0,2.33,1.62,IPK_SM
1547,P,BIO,G4,SRJN,PDG,PNS,21.0,21.0,2.86,3.38,IPK_SM
2021,P,IF,G4,SRJN,GRD,GRD,20.0,20.0,3.45,3.45,IPK_SM
1951,L,IF,G3,SD,PDG,PNS,19.0,20.0,2.79,2.6,IPK_M
1828,L,IF,G3,SMTA,GRD,LL,19.0,18.0,2.79,2.33,IPK_M
1995,P,IF,G1,SD,LL,PDG,19.0,20.0,3.84,3.65,IPK_CUM
990,P,MTK,G3,SMP,LL,BPN,21.0,18.0,2.81,2.78,IPK_M
1000,P,MTK,G1,SD,BPN,BPN,21.0,18.0,3.0,3.67,IPK_SM
275,P,FISIKA,G4,SMTA,LL,PNS,18.0,19.0,3.11,2.79,IPK_SM
217,P,FISIKA,G3,SRJN,GRD,GRD,18.0,19.0,2.89,3.16,IPK_SM
1148,P,MTK,G6,SMP,PDG,PS,21.0,19.0,3.1,2.79,IPK_SM
451,P,FISIKA,G4,SRJN,GRD,PNS,19.0,24.0,3.21,3.33,IPK_CUM
1919,L,IF,G4,SMP,PDG,PDG,19.0,18.0,2.58,2.67,IPK_SM
835,P,MTK,G3,SMTA,LL,PSN,21.0,18.0,2.1,2.44,IPK_M
339,P,FISIKA,G3,SMP,LL,PNS,20.0,23.0,3.4,3.13,IPK_SM
1020,P,MTK,G3,SMTA,PDG,PDG,21.0,18.0,2.57,2.83,IPK_SM
1996,P,IF,G3,SMTA,PDG,PS,19.0,20.0,3.26,3.1,IPK_SM
361,P,FISIKA,G4,SMP,PDG,LL,20.0,20.0,2.85,2.5,IPK_SM
992,L,MTK,G3,SMP,LL,PDG,21.0,18.0,3.05,2.94,IPK_SM
680,L,MTK,G3,SD,LL,GRD,19.0,17.0,1.79,1.62,IPK_KM
1041,L,MTK,G2,LL,LL,BPN,21.0,19.0,2.43,2.74,IPK_SM
862,P,MTK,G2,SD,BPN,BPN,21.0,18.0,3.33,2.61,IPK_SM
1502,L,BIO,G4,SMTA,LL,PDG,21.0,21.0,2.29,2.1,IPK_SM
1732,P,BIO,G3,SMTA,LL,PS,22.0,21.0,2.77,2.81,IPK_SM
983,P,MTK,G2,SD,PDG,BPN,21.0,18.0,3.19,3.06,IPK_SM
229,P,FISIKA,G4,SMP,BPN,GRD,18.0,17.0,1.61,2.0,IPK_M
246,L,FISIKA,G3,SMP,LL,PNS,18.0,19.0,2.72,2.47,IPK_M
1106,P,MTK,G3,SMTA,PS,PS,21.0,19.0,3.05,3.37,IPK_CUM
1303,L,BIO,G4,SRJN,LL,PSN,21.0,24.0,3.48,3.7,IPK_CUM
1695,L,BIO,G4,SRJN,LL,PS,21.0,19.0,2.76,3.0,IPK_SM
2131,L,IF,G3,SRJN,GRD,BPN,20.0,20.0,3.75,3.8,IPK_CUM
1419,P,BIO,G3,SMTA,LL,PNS,21.0,21.0,2.57,3.05,IPK_SM
1096,P,MTK,G6,SMTA,PDG,PDG,21.0,22.0,3.62,3.41,IPK_SM
987,P,MTK,G4,SRJN,GRD,PNS,21.0,18.0,2.43,2.72,IPK_SM
748,P,MTK,G2,LL,BPN,PSN,21.0,18.0,2.62,2.61,IPK_SM
880,P,MTK,G2,SMTA,PDG,GRD,21.0,18.0,2.1,1.94,IPK_KM
364,L,FISIKA,G4,SRJN,GRD,PNS,20.0,19.0,2.35,3.26,IPK_SM
1451,P,BIO,G3,SRJN,PNS,LL,21.0,21.0,2.95,3.43,IPK_CUM
110,P,FISIKA,G2,SMTA,GRD,GRD,18.0,17.0,2.16,2.38,IPK_M
730,P,MTK,G2,SMTA,LL,PNS,18.0,18.0,2.99,2.42,IPK_SM
1504,P,BIO,G5,SMTA,LL,PS,21.0,21.0,2.16,1.76,IPK_M
1437,P,BIO,G3,SD,BPN,PSN,21.0,21.0,2.86,3.0,IPK_SM
780,L,MTK,G3,SRJN,GRD,PNS,21.0,18.0,2.33,2.17,IPK_SM
818,L,MTK,G4,SRJN,PNS,PNS,21.0,18.0,2.33,2.0,IPK_KM
1572,L,BIO,G4,SMTA,LL,PNS,21.0,21.0,2.76,2.81,IPK_M
1339,P,BIO,G3,SRJN,GRD,PSN,18.0,21.0,3.09,3.49,IPK_SM
852,P,MTK,G3,SMTA,PS,PS,21.0,18.0,2.86,2.94,IPK_SM
1064,P,MTK,G2,SMTA,BPN,BPN,21.0,19.0,2.57,2.58,IPK_SM
1509,P,BIO,G2,SD,PDG,PDG,21.0,21.0,2.62,2.24,IPK_SM
1717,P,BIO,G4,SMP,PDG,PDG,22.0,21.0,3.29,3.33,IPK_SM
747,L,MTK,G4,SMTA,GRD,GRD,21.0,18.0,3.21,3.03,IPK_SM
2071,P,IF,G3,SRJN,LL,PNS,20.0,20.0,3.1,3.3,IPK_CUM
1765,P,BIO,G4,SMTA,BPN,LL,22.0,21.0,2.91,3.0,IPK_CUM
1716,P,BIO,G3,SMP,PS,PDG,22.0,21.0,3.45,3.19,IPK_CUM
738,L,MTK,G3,LL,PDG,PNS,21.0,18.0,2.9,2.83,IPK_M
97,L,FISIKA,G2,SMP,LL,PSN,20.0,19.0,2.18,2.08,IPK_M
268,P,FISIKA,G3,SRJN,GRD,PSN,18.0,19.0,2.78,2.79,IPK_SM
292,P,FISIKA,G3,SD,PDG,PNS,18.0,19.0,2.33,2.42,IPK_M
1826,L,IF,G2,SMTA,PDG,PDG,19.0,18.0,3.16,2.89,IPK_SM
1310,L,BIO,G2,SMP,LL,LL,21.0,23.0,3.2,2.87,IPK_SM
