,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,STATUS_LULUS
1038,P,MTK,G4,SRJN,LL,PS,LLW
1220,P,MTK,G3,SMTA,LL,PS,LLW
1768,P,BIO,G3,SRJN,GRD,GRD,LLW
1839,P,BIO,G4,SRJN,GRD,LL,LLW
2054,L,IF,G3,SMTA,GRD,LL,LLW
2152,P,IF,G3,SRJN,GRD,PNS,LLW
1727,P,BIO,G3,LL,BPN,BPN,LLW
911,L,MTK,G3,SRJN,GRD,GRD,LLW
1289,P,MTK,G4,SRJN,PNS,GRD,LLW
1091,L,MTK,G3,SMTA,LL,PDG,LLW
1865,P,BIO,G3,SD,LL,PDG,LLW
2284,P,IF,G2,SMP,LL,PS,LLW
449,L,FISIKA,G2,SMTA,PDG,PDG,LLW
1036,P,MTK,G2,SRJN,GRD,LL,LLW
420,L,FISIKA,G3,SMTA,LL,PS,LLW
958,L,MTK,G2,SMTA,PDG,PDG,LLW
929,L,MTK,G2,SD,LL,PDG,LLW
1639,P,BIO,G3,SD,BPN,PNS,LLW
917,P,MTK,G1,SMTA,PDG,PS,LLW
2000,P,BIO,G3,SMP,PS,PS,LLW
1118,P,MTK,G1,SD,PDG,PS,LLW
1208,P,MTK,G2,SMTA,BPN,BPN,LLW
1575,L,BIO,G3,SMTA,LL,PNS,LLW
510,P,FISIKA,G3,SRJN,GRD,PSN,LLW
896,P,MTK,G2,LL,BPN,PSN,LLW
1132,P,MTK,G5,SMTA,PDG,PDG,LLW
423,P,FISIKA,G3,SRJN,GRD,PSN,LLW
1537,L,BIO,G1,LL,BPN,BPN,LLW
828,L,MTK,G3,SD,LL,GRD,LLW
317,L,FISIKA,G3,SMP,LL,PNS,LLW
2195,L,IF,G1,SD,BPN,BPN,LLW
473,P,FISIKA,G3,SMTA,LL,PS,LLW
1012,L,MTK,G4,SMTA,PDG,GRD,LLW
2247,P,IF,G4,SRJN,GRD,GRD,LLW
1830,P,BIO,G2,SMTA,GRD,BPN,LLW
2199,L,IF,G4,SRJN,PDG,GRD,LLW
2055,L,IF,G2,SMTA,LL,BPN,LLW
346,P,FISIKA,G4,SMTA,LL,PNS,LLW
406,P,FISIKA,G3,SMTA,LL,PDG,LLW
397,P,FISIKA,G4,SMTA,PDG,GRD,LLW
2062,P,IF,G3,SRJN,PNS,LL,LLW
1984,P,BIO,G3,SRJN,LL,PDG,LLW
2308,L,IF,G5,SRJN,GRD,PNS,LLW
1223,P,MTK,G2,SMP,LL,BPN,LLW
2134,P,IF,G2,SD,LL,PNS,LLW
1852,L,BIO,G4,SMTA,LL,PNS,LLW
1146,P,MTK,G2,SD,BPN,BPN,LLW
1956,P,BIO,G4,SMTA,LL,PDG,LLW
884,L,MTK,G3,SRJN,PDG,PNS,LLW
1187,L,MTK,G3,LL,PDG,PDG,LLW
2140,L,IF,G4,SRJN,PDG,PNS,LLW
1636,L,BIO,G3,SMTA,PNS,PNS,LLW
1764,P,BIO,G3,SMTA,PDG,PNS,LLW
2237,L,IF,G4,SMTA,PNS,PSN,LLW
926,L,MTK,G2,SMTA,LL,PDG,LLW
1671,P,BIO,G3,SRJN,GRD,GRD,LLW
1160,L,MTK,G3,SMTA,LL,PS,LLW
2051,L,IF,G3,SRJN,LL,PS,LLW
1916,P,BIO,G4,SRJN,GRD,GRD,LLW
2184,L,IF,G4,SMTA,PDG,PNS,LLW
1101,P,MTK,G3,SRJN,GRD,GRD,LLW
322,P,FISIKA,G1,SRJN,LL,PDG,LLW
1806,P,BIO,G4,SRJN,LL,GRD,LLW
2115,L,IF,G4,SRJN,LL,PNS,LLW
1689,P,BIO,G3,SMTA,LL,GRD,LLW
871,P,MTK,G1,SD,LL,BPN,LLW
1031,L,MTK,G2,SD,LL,PDG,LLW
337,P,FISIKA,G2,SMTA,PDG,PSN,LLW
2146,P,IF,G3,SMTA,LL,PNS,LLW
2077,L,IF,G2,SMTA,LL,PNS,LLW
336,L,FISIKA,G5,SRJN,GRD,PDG,LLW
1184,P,MTK,G3,SMTA,LL,BPN,LLW
1290,L,MTK,G3,SMTA,LL,PNS,LLW
1127,P,MTK,G2,SMTA,LL,PDG,LLW
2197,P,IF,G6,SRJN,LL,PNS,LLW
2063,L,IF,G2,SD,LL,BPN,LLW
1758,P,BIO,G4,SMTA,PDG,PNS,LLW
2106,L,IF,G3,SD,PDG,PNS,LLW
1966,L,BIO,G7,SMTA,GRD,PS,LLW
1507,L,BIO,G2,SMTA,LL,PS,LLW
148,P,FISIKA,G3,SMTA,LL,GRD,LLW
1634,P,BIO,G3,SMTA,PDG,PNS,LLW
2081,P,IF,G3,SRJN,GRD,PSN,LLW
2097,L,IF,G2,SMTA,LL,PSN,LLW
296,P,FISIKA,G1,SD,PDG,PDG,LLW
516,P,FISIKA,G2,SMTA,LL,BPN,LLW
1521,P,BIO,G1,SD,LL,PDG,LLW
2281,L,IF,G7,SRJN,LL,GRD,LLW
1949,P,BIO,G4,SRJN,LL,PS,LLW
1866,P,BIO,G3,SD,PDG,PDG,LLW
1914,L,BIO,G2,SD,BPN,BPN,LLW
517,L,FISIKA,G2,SD,PDG,PDG,LLW
124,L,FISIKA,G3,SMTA,LL,GRD,LLW
363,P,FISIKA,G3,SD,PDG,PNS,LLW
238,P,FISIKA,G1,SD,PDG,PDG,LLW
548,P,FISIKA,G4,SRJN,PNS,PSN,LLW
1007,P,MTK,G1,SMTA,BPN,BPN,LLW
1569,L,BIO,G4,SMTA,GRD,GRD,LLW
2071,L,IF,G3,SRJN,GRD,GRD,LLW
954,L,MTK,G2,SD,LL,PDG,LLW
279,L,FISIKA,G3,SD,LL,PS,LLW
951,P,MTK,G3,LL,LL,PDG,LLW
1021,P,MTK,G3,SMTA,PDG,PDG,LLW
1988,P,BIO,G4,SMTA,LL,LL,LLW
1862,P,BIO,G6,SRJN,GRD,PSN,LLW
455,P,FISIKA,G4,SMTA,LL,PDG,LLW
976,P,MTK,G4,SRJN,PNS,PNS,LLW
1217,P,MTK,G4,SMTA,LL,PNS,LLW
411,P,FISIKA,G2,SD,LL,PS,LLW
1931,P,BIO,G4,SRJN,PNS,PDG,LLW
1082,P,MTK,G4,SMTA,LL,GRD,LLW
2112,L,IF,G4,SRJN,GRD,GRD,LLW
2109,P,IF,G1,SRJN,PDG,PDG,LLW
1613,P,BIO,G3,SMTA,LL,PSN,LLW
941,P,MTK,G2,SMTA,LL,PDG,LLW
2157,L,IF,G3,SRJN,GRD,PDG,LLW
2058,L,IF,G2,SD,BPN,BPN,LLW
205,L,FISIKA,G1,LL,BPN,BPN,LLW
1046,L,MTK,G3,SRJN,GRD,PNS,LLW
1126,L,MTK,G4,SMTA,PS,PS,LLW
849,L,MTK,G2,SD,BPN,BPN,LLW
2307,L,IF,G4,SMTA,LL,GRD,LLW
338,L,FISIKA,G4,SRJN,GRD,PNS,LLW
2305,P,IF,G4,SRJN,PNS,PNS,LLW
1306,L,MTK,G4,SRJN,GRD,LL,LLW
2218,L,IF,G3,SD,LL,PSN,LLW
525,P,FISIKA,G3,SMTA,LL,PDG,LLW
261,P,FISIKA,G4,SRJN,GRD,PNS,LLW
1077,P,MTK,G4,SRJN,PDG,PNS,LLW
329,P,FISIKA,G2,SD,BPN,PSN,LLW
2110,L,IF,G3,SMP,PDG,GRD,LLW
294,L,FISIKA,G2,SD,LL,BPN,LLW
2003,P,BIO,G5,SRJN,LL,GRD,LLW
2142,L,IF,G3,SRJN,PNS,PNS,LLW
164,P,FISIKA,G1,SD,PDG,PDG,LLW
275,L,FISIKA,G3,SRJN,PDG,ABRI,LLW
2303,P,IF,G2,SMP,PDG,BPN,LLW
956,P,MTK,G2,SMP,BPN,BPN,LLW
2292,L,IF,G3,SMTA,LL,PSN,LLW
289,L,FISIKA,G1,SMTA,LL,PDG,LLW
2080,P,IF,G2,SD,LL,PNS,LLW
1016,P,MTK,G2,SMTA,LL,PNS,LLW
1156,P,MTK,G1,LL,LL,LL,LLW
390,P,FISIKA,G3,SMP,LL,PS,LLW
2118,P,IF,G3,SD,PDG,PDG,LLW
1625,L,BIO,G4,SRJN,GRD,BPN,LLW
434,L,FISIKA,G4,SMTA,PDG,GRD,LLW
1845,P,BIO,G2,SMP,BPN,BPN,LLW
994,L,MTK,G3,SD,PDG,BPN,LLW
965,L,MTK,G3,SRJN,LL,PDG,LLW
2185,L,IF,G4,SRJN,GRD,PDG,LLW
2245,P,IF,G4,SRJN,GRD,GRD,LLW
1071,P,MTK,G4,SMTA,PNS,GRD,LTW
2311,P,IF,G4,SMTA,LL,PS,LTW
1860,P,BIO,G2,SMTA,LL,PDG,LTW
491,P,FISIKA,G2,SRJN,LL,PS,LTW
855,P,MTK,G3,SMP,LL,PNS,LTW
1981,P,BIO,G4,SRJN,BPN,PNS,LTW
343,P,FISIKA,G1,SD,BPN,BPN,LTW
405,L,FISIKA,G3,SD,PDG,GRD,LTW
1577,P,BIO,G2,SMTA,PDG,PDG,LTW
180,L,FISIKA,G2,SD,BPN,BPN,LTW
866,P,MTK,G3,SRJN,GRD,PS,LTW
1850,P,BIO,G4,SRJN,PNS,GRD,LTW
1829,L,BIO,G4,SRJN,BPN,PNS,LTW
1936,P,BIO,G2,SD,BPN,BPN,LTW
1769,P,BIO,G4,SRJN,LL,PDG,LTW
1678,P,BIO,G3,SRJN,GRD,GRD,LTW
1869,P,BIO,G3,SRJN,GRD,PSN,LTW
402,P,FISIKA,G2,SMP,BPN,BPN,LTW
1738,P,BIO,G3,LL,LL,LL,LTW
155,L,FISIKA,G2,SMP,LL,PDG,LTW
1710,P,BIO,G2,SMTA,PS,BPN,LTW
1593,P,BIO,G2,SRJN,GRD,GRD,LTW
1785,P,BIO,G2,SD,PDG,PDG,LTW
1567,P,BIO,G3,SMTA,LL,PSN,LTW
879,P,MTK,G1,SD,LL,PSN,LTW
2269,P,IF,G1,SMTA,PS,LL,LTW
185,P,FISIKA,G3,SMTA,PDG,PNS,LTW
381,L,FISIKA,G2,SMTA,GRD,LL,LTW
1720,P,BIO,G4,SRJN,LL,PS,LTW
476,P,FISIKA,G2,SD,BPN,PDG,LTW
1526,P,BIO,G3,SMTA,GRD,GRD,LTW
850,P,MTK,G3,SMP,PS,PNS,LTW
1272,P,MTK,G4,SMTA,PDG,PDG,LTW
1751,P,BIO,G4,SMTA,LL,PDG,LTW
271,L,FISIKA,G3,SRJN,GRD,GRD,LTW
1607,P,BIO,G3,SMP,LL,PNS,LTW
1686,P,BIO,G2,SRJN,PDG,PNS,LTW
494,L,FISIKA,G2,SMTA,PDG,PDG,LTW
865,P,MTK,G2,SD,LL,BPN,LTW
1755,L,BIO,G4,SD,PDG,PDG,LTW
2078,P,IF,G3,SRJN,LL,PNS,LTW
1167,P,MTK,G3,SMTA,LL,PSN,LTW
1085,P,MTK,G3,SRJN,GRD,PNS,LTW
1556,P,BIO,G1,SMTA,BPN,LL,LTW
361,L,FISIKA,G3,SMTA,PDG,PDG,LTW
1811,L,BIO,G2,SRJN,GRD,GRD,LTW
1772,L,BIO,G3,SRJN,LL,GRD,LTW
1254,P,MTK,G3,SMTA,PS,PS,LTW
1664,P,BIO,G2,SRJN,LL,GRD,LTW
1056,P,MTK,G4,SMP,PDG,PDG,LTW
2068,L,IF,G3,SMTA,PDG,PNS,LTW
414,P,FISIKA,G2,SD,PDG,PDG,LTW
197,L,FISIKA,G3,SMTA,LL,PNS,LTW
1974,P,BIO,G3,SMP,LL,PSN,LTW
979,P,MTK,G3,SMP,PDG,PS,LTW
1813,P,BIO,G4,SMTA,PNS,ABRI,LTW
2166,P,IF,G4,SRJN,PNS,GRD,LTW
466,L,FISIKA,G3,SD,BPN,PDG,LTW
1599,P,BIO,G3,SD,PDG,PDG,LTW
1557,P,BIO,G1,SRJN,PDG,PDG,LTW
2219,L,IF,G4,SRJN,LL,GRD,LTW
228,P,FISIKA,G3,SRJN,GRD,GRD,LTW
1994,P,BIO,G2,SMP,LL,BPN,LTW
2265,L,IF,G1,SD,LL,LL,LTW
288,P,FISIKA,G3,SRJN,GRD,GRD,LTW
1743,P,BIO,G2,SMTA,PDG,PDG,LTW
143,L,FISIKA,G2,LL,BPN,BPN,LTW
400,P,FISIKA,G3,SRJN,PNS,BPN,LTW
2339,L,IF,G5,SRJN,GRD,PNS,LTW
202,L,FISIKA,G3,SRJN,GRD,GRD,LTW
1840,P,BIO,G2,SMP,PDG,BPN,LTW
366,L,FISIKA,G3,SRJN,PDG,GRD,LTW
2371,P,IF,G4,SMTA,LL,GRD,LTW
2095,P,IF,G4,SRJN,PDG,PNS,LTW
1541,P,BIO,G3,SMTA,LL,PS,LTW
1073,P,MTK,G4,SRJN,GRD,GRD,LTW
830,P,MTK,G2,SMP,LL,PNS,LTW
1066,P,MTK,G3,SMTA,LL,PSN,LTW
1149,P,MTK,G4,SRJN,PNS,GRD,LTW
1064,P,MTK,G2,SRJN,LL,LL,LTW
1202,P,MTK,G4,SMTA,LL,GRD,LTW
2332,P,IF,G3,SRJN,LL,GRD,LTW
1697,P,BIO,G2,SMTA,PDG,PDG,LTW
1523,P,BIO,G3,SRJN,PNS,LL,LTW
426,P,FISIKA,G2,SD,LL,PS,LTW
599,L,FISIKA,G1,SMP,BPN,PSN,LTW
416,P,FISIKA,G4,SRJN,LL,PS,LTW
371,L,FISIKA,G2,SMTA,LL,LL,LTW
324,P,FISIKA,G2,SMTA,LL,PS,LTW
410,P,FISIKA,G3,SMP,LL,PNS,LTW
1314,P,MTK,G4,SMTA,LL,PS,LTW
498,L,FISIKA,G2,SD,LL,BPN,LTW
1547,P,BIO,G2,SD,BPN,BPN,LTW
1846,P,BIO,G2,SMTA,PDG,PSN,LTW
384,P,FISIKA,G3,LL,LL,PSN,LTW
1903,P,BIO,G2,SD,LL,LL,LTW
399,L,FISIKA,G2,SMP,LL,BPN,LTW
1706,P,BIO,G2,SMP,LL,BPN,LTW
307,P,FISIKA,G1,SMTA,PDG,BPN,LTW
868,L,MTK,G2,LL,BPN,BPN,LTW
1821,P,BIO,G3,SRJN,PDG,GRD,LTW
1111,P,MTK,G3,SMTA,LL,PDG,LTW
1778,P,BIO,G3,SMTA,PDG,PDG,LTW
1663,P,BIO,G3,SD,BPN,PSN,LC
1616,P,BIO,G2,SMP,PS,PNS,LC
1783,P,BIO,G2,SMP,PDG,PDG,LC
1611,P,BIO,G2,SMP,BPN,BPN,LC
1666,P,BIO,G2,LL,PDG,BPN,LC
1854,P,BIO,G4,SRJN,LL,PDG,LC
1685,P,BIO,G3,SRJN,GRD,PDG,LC
1630,P,BIO,G3,SMTA,LL,PSN,LC
1767,P,BIO,G4,SMTA,LL,GRD,LC
