,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,STATUS_LULUS
109,P,FISIKA,G3,SRJN,PNS,GRD,LTW
110,L,FISIKA,G2,SD,BPN,PDG,LTW
111,L,FISIKA,G2,LL,PDG,PDG,LLW
112,P,FISIKA,G2,SMTA,PDG,PS,LLW
113,P,FISIKA,G3,SD,PDG,PDG,LLW
114,L,FISIKA,G2,LL,PDG,BPN,LLW
115,P,FISIKA,G1,SD,LL,PDG,LLW
116,P,FISIKA,G3,SMTA,LL,PDG,LLW
117,L,FISIKA,G2,SMTA,BPN,BPN,LLW
118,L,FISIKA,G1,SD,BPN,BPN,LTW
119,P,FISIKA,G1,SMP,LL,LL,LLW
120,P,FISIKA,G2,SD,BPN,BPN,LLW
121,P,FISIKA,G2,LL,BPN,BPN,LLW
122,P,FISIKA,G3,SMTA,LL,PNS,LLW
123,P,FISIKA,G3,SMTA,LL,GRD,LLW
124,L,FISIKA,G4,SRJN,GRD,PNS,LLW
125,P,FISIKA,G3,SMTA,PS,PS,LLW
126,L,FISIKA,G2,SMTA,PDG,PDG,LLW
127,L,FISIKA,G2,SMTA,LL,GRD,LLW
128,L,FISIKA,G2,SRJN,GRD,PDG,LTW
129,P,FISIKA,G1,SD,BPN,BPN,LLW
130,P,FISIKA,G4,SMP,BPN,GRD,LLW
131,P,FISIKA,G2,SMTA,PDG,PDG,LTW
132,P,FISIKA,G1,SMP,LL,BPN,LTW
133,L,FISIKA,G4,SRJN,GRD,ABRI,LTW
134,L,FISIKA,G1,SMTA,LL,PS,LTW
135,P,FISIKA,G3,SRJN,GRD,GRD,LC
136,P,FISIKA,G4,SRJN,PDG,GRD,LTW
137,L,FISIKA,G2,LL,BPN,BPN,LLW
138,L,FISIKA,G3,SMTA,PSN,PSN,LLW
139,P,FISIKA,G4,SMTA,LL,PNS,LLW
140,P,FISIKA,G2,SD,LL,PS,LLW
141,L,FISIKA,G4,SMTA,LL,PDG,LLW
142,P,FISIKA,G2,SD,LL,BPN,LTW
143,P,FISIKA,G4,SRJN,GRD,GRD,LLW
144,P,FISIKA,G1,SD,BPN,BPN,LTW
145,P,FISIKA,G5,SRJN,LL,PNS,LTW
146,P,FISIKA,G1,SD,BPN,BPN,LTW
147,L,FISIKA,G3,LL,BPN,PNS,LLW
148,L,FISIKA,G2,SMTA,PDG,PDG,LLW
149,P,FISIKA,G4,SMTA,PDG,GRD,LTW
150,P,FISIKA,G2,SMP,LL,PS,LLW
151,P,FISIKA,G3,SD,LL,BPN,LTW
152,L,FISIKA,G1,SMP,BPN,PDG,LLW
153,L,FISIKA,G2,LL,BPN,BPN,LLW
154,P,FISIKA,G2,SD,PDG,PDG,LTW
155,L,FISIKA,G2,SMP,PDG,GRD,LTW
156,L,FISIKA,G3,SD,PDG,PDG,LTW
157,L,FISIKA,G4,SRJN,GRD,PNS,LLW
158,P,FISIKA,G3,SRJN,GRD,PSN,LLW
159,P,FISIKA,G4,SMTA,LL,PNS,LLW
160,L,FISIKA,G4,SMTA,PDG,PS,LLW
161,L,FISIKA,G1,SD,PDG,PDG,LLW
162,L,FISIKA,G4,SMTA,PDG,PNS,LTW
163,P,FISIKA,G2,LL,BPN,BPN,LLW
164,P,FISIKA,G3,SMTA,PDG,PNS,LLW
165,P,FISIKA,G2,SD,BPN,LL,LLW
166,P,FISIKA,G5,SMTA,PDG,PDG,LTW
167,P,FISIKA,G1,SMTA,BPN,BPN,LLW
168,L,FISIKA,G2,SD,LL,LL,LLW
169,L,FISIKA,G2,SMTA,PDG,BPN,LTW
170,P,FISIKA,G1,SMP,BPN,BPN,LLW
171,L,FISIKA,G2,SD,BPN,BPN,LLW
172,L,FISIKA,G4,SMP,LL,PDG,LTW
173,P,FISIKA,G2,SMTA,PS,PS,LTW
174,P,FISIKA,G2,SD,LL,BPN,LTW
175,P,FISIKA,G2,LL,BPN,BPN,LLW
176,P,FISIKA,G2,SD,BPN,BPN,LLW
177,L,FISIKA,G3,SMTA,LL,GRD,LLW
178,L,FISIKA,G3,SMP,LL,PS,LLW
179,P,FISIKA,G2,SD,LL,PDG,LLW
180,P,FISIKA,G3,SRJN,PSN,PSN,LLW
181,L,FISIKA,G4,SMTA,LL,ABRI,LTW
182,L,FISIKA,G2,SMTA,PDG,PDG,LTW
183,L,FISIKA,G4,SMP,LL,PDG,LLW
184,L,FISIKA,G3,SMTA,LL,LL,LTW
185,L,FISIKA,G3,SMTA,BPN,PDG,LLW
186,L,FISIKA,G4,SRJN,GRD,PSN,LTW
187,P,FISIKA,G4,SRJN,PS,PS,LTW
188,P,FISIKA,G4,SRJN,GRD,PS,LTW
189,L,FISIKA,G2,SD,PDG,PDG,LLW
190,P,FISIKA,G3,SMTA,LL,PDG,LLW
191,L,FISIKA,G3,SMTA,PNS,BPN,LTW
192,P,FISIKA,G4,SD,BPN,BPN,LTW
193,P,FISIKA,G3,SMP,PNS,BPN,LTW
194,L,FISIKA,G1,LL,BPN,BPN,LTW
195,L,FISIKA,G3,SD,BPN,GRD,LLW
196,P,FISIKA,G2,SMP,PDG,LL,LLW
197,P,FISIKA,G3,SMTA,PS,PS,LTW
198,P,FISIKA,G3,SD,LL,PDG,LTW
199,L,FISIKA,G4,SMTA,LL,PNS,LTW
200,L,FISIKA,G4,SRJN,PNS,ABRI,LLW
201,L,FISIKA,G5,SRJN,GRD,PNS,LTW
202,L,FISIKA,G4,SRJN,LL,PNS,LLW
203,L,FISIKA,G4,SMTA,PDG,PNS,LTW
204,P,FISIKA,G4,SMP,LL,PDG,LLW
205,P,FISIKA,G3,SMTA,PS,PDG,LTW
206,P,FISIKA,G2,SMTA,LL,BPN,LTW
207,P,FISIKA,G2,LL,BPN,BPN,LLW
208,P,FISIKA,G3,SMTA,LL,PNS,LTW
209,P,FISIKA,G2,SD,LL,PSN,LLW
210,P,FISIKA,G2,SMP,LL,PDG,LLW
211,P,FISIKA,G3,SD,PDG,PDG,LLW
212,P,FISIKA,G4,SRJN,GRD,PNS,LLW
213,P,FISIKA,G3,SMP,LL,PNS,LLW
214,P,FISIKA,G3,SMTA,LL,PS,LLW
215,P,FISIKA,G1,LL,LL,PSN,LLW
216,L,FISIKA,G3,SMTA,LL,PS,LLW
217,P,FISIKA,G4,SMTA,LL,PS,LLW
218,P,FISIKA,G3,SMP,PDG,PDG,LLW
219,P,FISIKA,G3,SRJN,GRD,BPN,LLW
220,P,FISIKA,G3,SMTA,LL,LL,LLW
221,L,FISIKA,G4,SMP,PDG,PDG,LLW
222,P,FISIKA,G1,SRJN,GRD,LL,LTW
223,P,FISIKA,G2,SD,LL,BPN,LLW
224,L,FISIKA,G4,SRJN,GRD,PNS,LLW
225,L,FISIKA,G2,SD,BPN,PDG,LLW
226,P,FISIKA,G4,SRJN,GRD,GRD,LTW
227,P,FISIKA,G1,SMTA,LL,BPN,LLW
228,P,FISIKA,G2,SMTA,PDG,PDG,LTW
229,P,FISIKA,G4,SRJN,GRD,GRD,LTW
230,P,FISIKA,G3,SMTA,PDG,PNS,LLW
231,L,FISIKA,G3,SRJN,GRD,PDG,LLW
232,L,FISIKA,G1,SD,LL,BPN,LLW
233,P,FISIKA,G2,SD,BPN,PDG,LTW
234,P,FISIKA,G2,SMP,LL,PDG,LTW
235,L,FISIKA,G2,SMP,LL,BPN,LLW
236,P,FISIKA,G1,SD,BPN,BPN,LTW
237,P,FISIKA,G4,SRJN,PNS,PSN,LLW
238,L,FISIKA,G2,LL,LL,BPN,LC
239,P,FISIKA,G5,SMTA,PS,PDG,LLW
240,P,FISIKA,G4,SRJN,GRD,PS,LLW
241,P,FISIKA,G3,SRJN,GRD,BPN,LTW
242,P,FISIKA,G3,SMTA,PDG,PDG,LTW
243,L,FISIKA,G4,SRJN,PDG,PDG,LLW
244,P,FISIKA,G2,SMTA,PDG,PDG,LTW
245,P,FISIKA,G2,SMTA,PS,PSN,LLW
