@relation data_uji_sosial_ipk_dem
@attribute JK{L,P}
@attribute JUR{AKU,EKO,HUK,KOM}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute IPK_TERAKHIR{IPK_CUM,IPK_KM,IPK_M,IPK_SM}
@data
"L","HUK","G4","SRJN","PS","LL","IPK_SM"
"P","KOM","G3","SMTA","PDG","GRD","IPK_SM"
"L","AKU","G3","SD","LL","BPN","IPK_SM"
"L","EKO","G1","SD","LL","BPN","IPK_SM"
"L","KOM","G4","SRJN","GRD","GRD","IPK_SM"
"P","AKU","G3","SMTA","LL","PSN","IPK_SM"
"P","KOM","G3","SD","LL","PDG","IPK_SM"
"P","EKO","G3","SRJN","GRD","GRD","IPK_SM"
"L","HUK","G4","SRJN","PDG","PDG","IPK_SM"
"P","KOM","G6","SMTA","LL","PDG","IPK_SM"
"L","AKU","G5","SRJN","PNS","GRD","IPK_SM"
"L","HUK","G4","SRJN","PNS","PNS","IPK_SM"
"P","EKO","G4","SRJN","GRD","GRD","IPK_SM"
"P","AKU","G4","SRJN","PDG","LL","IPK_SM"
"L","HUK","G5","SRJN","PNS","PS","IPK_SM"
"L","KOM","G4","SMTA","LL","PSN","IPK_SM"
"P","EKO","G6","SRJN","PS","PS","IPK_SM"
"P","KOM","G5","SMTA","PS","PNS","IPK_SM"
"L","AKU","G3","SMP","PDG","PSN","IPK_SM"
"P","KOM","G5","SMTA","LL","PSN","IPK_SM"
"L","AKU","G3","SRJN","GRD","BPN","IPK_SM"
"P","KOM","G4","SMTA","LL","LL","IPK_SM"
"L","EKO","G4","SRJN","LL","LL","IPK_SM"
"L","AKU","G7","SMTA","LL","PNS","IPK_SM"
"P","HUK","G4","SRJN","LL","PNS","IPK_SM"
"P","HUK","G3","SRJN","GRD","GRD","IPK_SM"
"L","EKO","G4","SRJN","PSN","PSN","IPK_SM"
"L","AKU","G7","SRJN","PS","LL","IPK_SM"
"P","KOM","G3","SMTA","LL","PS","IPK_SM"
"P","HUK","G3","SRJN","PS","LL","IPK_SM"
"P","HUK","G4","SRJN","PNS","PSN","IPK_SM"
"P","HUK","G5","SMTA","PNS","PNS","IPK_SM"
"P","EKO","G4","SRJN","GRD","LL","IPK_SM"
"L","HUK","G2","LL","LL","LL","IPK_SM"
"L","AKU","G4","SRJN","GRD","PNS","IPK_SM"
"P","EKO","G4","SRJN","PDG","GRD","IPK_SM"
"L","KOM","G3","SMP","PDG","PDG","IPK_SM"
"P","EKO","G4","SMTA","PDG","GRD","IPK_SM"
"P","HUK","G2","SD","PDG","PDG","IPK_SM"
"L","HUK","G4","SMTA","LL","PNS","IPK_SM"
"L","AKU","G5","SRJN","PS","LL","IPK_SM"
"P","EKO","G4","SRJN","PS","PS","IPK_SM"
"P","HUK","G4","SRJN","GRD","PSN","IPK_SM"
"L","HUK","G4","SRJN","GRD","PNS","IPK_SM"
"P","AKU","G4","SRJN","PNS","PSN","IPK_SM"
"L","HUK","G2","SD","PDG","PDG","IPK_SM"
"P","KOM","G4","SRJN","PS","PNS","IPK_SM"
"L","HUK","G4","SMTA","LL","LL","IPK_SM"
"P","HUK","G5","SMTA","PS","PS","IPK_SM"
"P","AKU","G4","SMTA","LL","PS","IPK_SM"
"L","KOM","G3","SMTA","LL","PDG","IPK_SM"
"P","HUK","G4","SRJN","GRD","GRD","IPK_SM"
"P","KOM","G3","SRJN","GRD","PNS","IPK_SM"
"L","KOM","G4","SRJN","GRD","LL","IPK_SM"
"L","HUK","G4","SRJN","PS","PNS","IPK_SM"
"P","HUK","G3","SMTA","LL","PDG","IPK_SM"
"P","AKU","G4","SMTA","LL","PS","IPK_SM"
"L","HUK","G5","SMTA","PDG","PSN","IPK_SM"
"P","AKU","G4","SRJN","GRD","LL","IPK_SM"
"L","AKU","G4","SRJN","LL","PSN","IPK_SM"
"P","KOM","G4","SRJN","GRD","PS","IPK_SM"
"P","EKO","G4","SRJN","GRD","GRD","IPK_SM"
"P","HUK","G6","SRJN","LL","PNS","IPK_SM"
"P","HUK","G1","SMTA","PDG","PDG","IPK_SM"
"L","EKO","G4","SMTA","LL","PSN","IPK_SM"
"P","HUK","G4","SMTA","LL","LL","IPK_SM"
"L","AKU","G3","SMTA","PSN","PNS","IPK_SM"
"L","EKO","G3","SMTA","LL","PS","IPK_SM"
"P","HUK","G2","SMTA","LL","PSN","IPK_SM"
"L","EKO","G2","SRJN","GRD","PDG","IPK_SM"
"P","KOM","G5","SRJN","GRD","PDG","IPK_SM"
"P","EKO","G4","SMTA","LL","PNS","IPK_SM"
"L","EKO","G4","SRJN","LL","GRD","IPK_SM"
"P","EKO","G3","SMTA","LL","PNS","IPK_SM"
"L","AKU","G4","SMTA","LL","PS","IPK_SM"
"P","HUK","G4","SMTA","PDG","PDG","IPK_SM"
"L","EKO","G4","SD","LL","GRD","IPK_SM"
"P","AKU","G4","SMTA","LL","PS","IPK_SM"
"L","AKU","G3","SRJN","PNS","PS","IPK_SM"
"P","AKU","G3","SMTA","PDG","PS","IPK_SM"
"L","EKO","G6","SMTA","LL","PS","IPK_SM"
"P","HUK","G5","SMTA","LL","PS","IPK_SM"
"L","AKU","G6","SMTA","LL","LL","IPK_SM"
"P","HUK","G4","SMTA","LL","GRD","IPK_SM"
"L","HUK","G3","SMTA","LL","PS","IPK_SM"
"L","AKU","G5","SRJN","PNS","PSN","IPK_SM"
"P","AKU","G4","SMTA","PDG","PS","IPK_SM"
"P","HUK","G7","SRJN","PDG","PDG","IPK_SM"
"P","AKU","G4","SRJN","GRD","PNS","IPK_SM"
"P","HUK","G1","SMTA","LL","LL","IPK_SM"
"L","HUK","G3","SRJN","GRD","PDG","IPK_SM"
"L","HUK","G4","SMP","PDG","PNS","IPK_SM"
"L","HUK","G3","SMTA","LL","PS","IPK_SM"
"L","HUK","G4","SRJN","PDG","GRD","IPK_SM"
"L","AKU","G4","SMTA","LL","PNS","IPK_SM"
"P","HUK","G3","SRJN","GRD","PSN","IPK_SM"
"L","HUK","G3","SMP","LL","PDG","IPK_SM"
"L","EKO","G3","SMTA","LL","PNS","IPK_SM"
"P","HUK","G3","SRJN","GRD","GRD","IPK_SM"
"P","EKO","G3","SMTA","LL","PDG","IPK_SM"
"P","AKU","G3","SRJN","PNS","PDG","IPK_SM"
"L","EKO","G4","SRJN","LL","LL","IPK_SM"
"L","EKO","G3","SMTA","BPN","BPN","IPK_SM"
"L","HUK","G4","SMTA","PNS","PS","IPK_SM"
"P","EKO","G4","SRJN","PNS","PNS","IPK_SM"
"P","HUK","G7","SRJN","PDG","LL","IPK_SM"
"L","HUK","G3","SD","BPN","PSN","IPK_SM"
"P","HUK","G4","SMP","PDG","PNS","IPK_SM"
"P","HUK","G4","SRJN","PNS","PS","IPK_SM"
"P","HUK","G3","SMP","LL","LL","IPK_SM"
"P","HUK","G1","SMTA","LL","PSN","IPK_SM"
"P","HUK","G1","SD","BPN","BPN","IPK_SM"
"P","AKU","G4","SRJN","GRD","PS","IPK_SM"
"P","KOM","G7","SRJN","PNS","PS","IPK_SM"
"L","HUK","G4","SRJN","LL","PS","IPK_SM"
"L","HUK","G4","SMTA","LL","PNS","IPK_SM"
"P","HUK","G5","SRJN","GRD","PNS","IPK_SM"
"P","AKU","G4","SRJN","GRD","GRD","IPK_SM"
"P","HUK","G3","SMTA","LL","GRD","IPK_SM"
"L","AKU","G3","SRJN","GRD","PNS","IPK_SM"
"L","KOM","G3","SMTA","LL","GRD","IPK_SM"
"P","AKU","G6","SMTA","PNS","PNS","IPK_SM"
"P","AKU","G2","SRJN","LL","PDG","IPK_SM"
"P","KOM","G7","SRJN","PNS","PS","IPK_SM"
"P","HUK","G4","SMTA","LL","PSN","IPK_SM"
"L","HUK","G4","SRJN","GRD","LL","IPK_SM"
"L","EKO","G4","SMTA","LL","PDG","IPK_SM"
"P","EKO","G1","SMTA","LL","PSN","IPK_SM"
"P","KOM","G3","SD","PDG","PDG","IPK_SM"
"P","KOM","G4","SRJN","GRD","PNS","IPK_SM"
"L","HUK","G3","SMTA","PNS","PNS","IPK_SM"
"P","HUK","G4","SMP","LL","PSN","IPK_SM"
"L","HUK","G4","SMTA","PNS","PS","IPK_SM"
"L","HUK","G3","SMTA","PSN","PDG","IPK_SM"
"L","KOM","G5","SMTA","LL","PS","IPK_SM"
"L","AKU","G3","SMP","PDG","PDG","IPK_SM"
"L","EKO","G2","SMTA","BPN","BPN","IPK_SM"
"P","AKU","G3","LL","PDG","PDG","IPK_SM"
"P","AKU","G4","SMP","LL","LL","IPK_SM"
"L","HUK","G3","SRJN","LL","PDG","IPK_SM"
"L","KOM","G2","SRJN","PS","PDG","IPK_SM"
"L","HUK","G6","SRJN","LL","PNS","IPK_SM"
"L","HUK","G4","SRJN","PNS","PNS","IPK_SM"
"P","AKU","G3","SMTA","LL","PDG","IPK_SM"
"P","AKU","G4","SRJN","GRD","PDG","IPK_SM"
"L","KOM","G5","SRJN","GRD","PSN","IPK_SM"
"L","EKO","G3","SMTA","PDG","GRD","IPK_SM"
"L","HUK","G3","SMTA","PDG","PDG","IPK_SM"
"P","HUK","G5","SRJN","PSN","PSN","IPK_SM"
"L","HUK","G3","SMTA","PNS","PNS","IPK_SM"
"L","KOM","G4","SRJN","GRD","LL","IPK_SM"
"P","HUK","G4","SRJN","LL","PS","IPK_SM"
"L","KOM","G2","SMTA","LL","PSN","IPK_SM"
"L","AKU","G1","SMTA","LL","LL","IPK_SM"
"P","HUK","G2","SMP","LL","PSN","IPK_SM"
"P","HUK","G3","SMTA","PDG","GRD","IPK_SM"
"P","AKU","G2","SD","BPN","BPN","IPK_SM"
"L","HUK","G3","SRJN","GRD","PNS","IPK_SM"
"L","EKO","G4","SRJN","PDG","PDG","IPK_SM"
"L","HUK","G4","SRJN","GRD","PSN","IPK_SM"
"P","KOM","G5","SRJN","PNS","PDG","IPK_SM"
"P","KOM","G3","SD","PDG","PSN","IPK_SM"
"P","HUK","G2","SRJN","PS","PS","IPK_SM"
"P","AKU","G3","SMTA","GRD","LL","IPK_SM"
"P","EKO","G1","SMP","PDG","PDG","IPK_SM"
"L","EKO","G4","SMTA","LL","PS","IPK_SM"
"P","HUK","G4","SMP","PDG","PDG","IPK_SM"
"P","KOM","G7","SMTA","LL","PNS","IPK_SM"
"L","HUK","G2","SD","BPN","BPN","IPK_SM"
"L","HUK","G2","SD","LL","BPN","IPK_SM"
"L","EKO","G4","SRJN","PS","PDG","IPK_SM"
"P","HUK","G3","SMTA","PNS","PNS","IPK_SM"
"L","AKU","G3","SRJN","PSN","PSN","IPK_SM"
"L","HUK","G1","SRJN","LL","LL","IPK_SM"
"L","EKO","G6","SRJN","GRD","PNS","IPK_SM"
"L","EKO","G3","SRJN","GRD","PNS","IPK_SM"
"L","HUK","G5","SRJN","PNS","PNS","IPK_SM"
"P","KOM","G3","SMTA","PNS","PS","IPK_SM"
"P","AKU","G3","SMTA","GRD","LL","IPK_SM"
"P","EKO","G3","SMP","LL","PNS","IPK_SM"
"P","AKU","G3","SRJN","LL","PSN","IPK_SM"
"P","AKU","G3","SMTA","LL","PDG","IPK_SM"
"L","HUK","G4","SRJN","LL","PNS","IPK_SM"
"P","HUK","G3","SRJN","LL","PSN","IPK_SM"
"P","HUK","G4","SRJN","GRD","PNS","IPK_SM"
"L","AKU","G3","SRJN","LL","PSN","IPK_SM"
"P","HUK","G4","SRJN","PNS","PDG","IPK_SM"
"L","HUK","G3","SMP","PDG","PDG","IPK_SM"
"L","KOM","G6","SRJN","LL","LL","IPK_SM"
"P","EKO","G3","SMTA","PSN","PSN","IPK_SM"
"L","HUK","G6","SRJN","PDG","PS","IPK_SM"
"L","HUK","G2","SMTA","PS","LL","IPK_SM"
"P","KOM","G2","SRJN","LL","PSN","IPK_SM"
"P","EKO","G3","SRJN","PS","PDG","IPK_SM"
"L","HUK","G3","SRJN","GRD","PNS","IPK_SM"
"L","HUK","G5","SRJN","GRD","PS","IPK_SM"
"L","AKU","G4","SMTA","LL","PDG","IPK_SM"
"P","HUK","G3","SRJN","PS","GRD","IPK_SM"
"L","HUK","G3","SRJN","PSN","PNS","IPK_SM"
"P","HUK","G3","SMTA","LL","PNS","IPK_SM"
"P","HUK","G4","SMTA","LL","PS","IPK_SM"
"P","KOM","G4","SMTA","PS","LL","IPK_SM"
"P","EKO","G4","SMTA","PDG","PDG","IPK_SM"
"L","KOM","G3","SMTA","PNS","LL","IPK_SM"
"L","HUK","G2","SMTA","BPN","BPN","IPK_SM"
"P","KOM","G3","SMTA","GRD","PNS","IPK_SM"
"P","AKU","G5","SMTA","LL","PS","IPK_SM"
"P","HUK","G3","SMTA","PNS","PNS","IPK_SM"
"P","KOM","G5","SRJN","PS","PNS","IPK_SM"
"P","HUK","G3","SRJN","PS","PNS","IPK_SM"
"L","KOM","G2","SRJN","GRD","LL","IPK_SM"
"L","AKU","G4","SMTA","PDG","GRD","IPK_SM"
"L","HUK","G4","SRJN","GRD","LL","IPK_SM"
"L","EKO","G2","SMTA","LL","PDG","IPK_SM"
"P","AKU","G5","SRJN","GRD","GRD","IPK_SM"
"P","AKU","G4","SMTA","LL","PDG","IPK_SM"
"L","AKU","G4","SRJN","LL","PSN","IPK_SM"
"L","KOM","G3","SMP","LL","PS","IPK_SM"
"L","EKO","G4","SMTA","LL","PDG","IPK_SM"
"P","AKU","G3","SMP","LL","LL","IPK_SM"
"L","HUK","G3","SMP","PDG","PDG","IPK_SM"
"L","AKU","G4","SMTA","LL","PDG","IPK_SM"
"P","HUK","G4","SRJN","PS","PNS","IPK_SM"
"L","EKO","G2","SMTA","LL","PS","IPK_SM"
"P","HUK","G2","SMTA","PS","PS","IPK_SM"
"P","HUK","G2","SMTA","PS","PS","IPK_CUM"
"P","AKU","G5","SMTA","LL","PNS","IPK_CUM"
"P","HUK","G2","SD","LL","PS","IPK_CUM"
"P","EKO","G4","SMP","LL","PS","IPK_CUM"
"P","AKU","G3","SRJN","GRD","LL","IPK_CUM"
"P","AKU","G4","SRJN","LL","PNS","IPK_CUM"
"P","EKO","G3","SD","BPN","PDG","IPK_CUM"
"P","HUK","G5","SMTA","PDG","PNS","IPK_CUM"
"P","EKO","G4","SRJN","LL","PS","IPK_CUM"
"P","HUK","G3","SMTA","PNS","PNS","IPK_CUM"
"P","EKO","G4","SMTA","LL","PS","IPK_CUM"
"P","HUK","G4","SMTA","PDG","PS","IPK_CUM"
"P","EKO","G5","SMTA","LL","PNS","IPK_CUM"
"L","EKO","G4","SD","LL","PDG","IPK_CUM"
"L","EKO","G4","SRJN","PNS","PNS","IPK_CUM"
"P","AKU","G3","SRJN","LL","PS","IPK_CUM"
"P","EKO","G3","SMTA","PDG","PDG","IPK_CUM"
"P","HUK","G4","SMTA","LL","PS","IPK_CUM"
"P","AKU","G7","SRJN","PS","PDG","IPK_CUM"
"P","HUK","G5","SRJN","LL","PS","IPK_CUM"
"L","HUK","G3","SMTA","GRD","GRD","IPK_CUM"
"P","HUK","G2","SMP","LL","PSN","IPK_CUM"
"P","KOM","G3","SRJN","GRD","GRD","IPK_CUM"
"P","AKU","G4","SRJN","GRD","GRD","IPK_CUM"
"L","AKU","G2","SMP","LL","BPN","IPK_CUM"
"P","EKO","G3","SRJN","GRD","GRD","IPK_CUM"
"P","AKU","G3","SMTA","LL","PDG","IPK_CUM"
"P","EKO","G4","SRJN","GRD","GRD","IPK_CUM"
"P","AKU","G3","SMTA","LL","PDG","IPK_CUM"
"P","HUK","G4","SRJN","LL","PS","IPK_CUM"
"L","HUK","G3","SMTA","PS","PDG","IPK_CUM"
"P","KOM","G3","SRJN","GRD","GRD","IPK_CUM"
"L","HUK","G3","SMTA","LL","PDG","IPK_CUM"
"P","EKO","G4","SMTA","PDG","PDG","IPK_CUM"
"P","AKU","G4","SMP","PDG","PSN","IPK_CUM"
"P","AKU","G4","SRJN","PS","GRD","IPK_CUM"
"L","EKO","G6","SRJN","PNS","PNS","IPK_CUM"
"P","HUK","G4","SRJN","LL","PNS","IPK_CUM"
"P","AKU","G6","SRJN","PNS","PNS","IPK_CUM"
"P","AKU","G4","SRJN","GRD","PDG","IPK_CUM"
"P","EKO","G3","SMTA","GRD","PDG","IPK_CUM"
"P","EKO","G1","SMP","BPN","BPN","IPK_CUM"
"L","EKO","G2","SMTA","LL","BPN","IPK_CUM"
"L","HUK","G4","SRJN","GRD","GRD","IPK_CUM"
"L","AKU","G4","SRJN","LL","PNS","IPK_CUM"
"P","HUK","G4","SMP","LL","PDG","IPK_CUM"
"P","HUK","G4","SRJN","PNS","GRD","IPK_CUM"
"P","EKO","G4","SMTA","LL","PS","IPK_CUM"
"P","EKO","G4","SMTA","LL","PDG","IPK_CUM"
"P","HUK","G3","SRJN","GRD","PNS","IPK_CUM"
"P","AKU","G4","SRJN","PS","PNS","IPK_CUM"
"P","EKO","G3","SMTA","PDG","BPN","IPK_CUM"
"L","EKO","G4","SMTA","LL","PDG","IPK_CUM"
"L","AKU","G3","SMTA","LL","PNS","IPK_CUM"
"P","AKU","G3","SMTA","PNS","LL","IPK_CUM"
"P","EKO","G1","LL","LL","LL","IPK_CUM"
"P","HUK","G5","SRJN","PS","PNS","IPK_CUM"
"P","HUK","G3","SMTA","LL","PS","IPK_CUM"
"P","HUK","G5","SMTA","PDG","PNS","IPK_CUM"
"P","EKO","G4","SRJN","LL","PNS","IPK_CUM"
"P","EKO","G3","SMTA","LL","PDG","IPK_CUM"
"L","AKU","G4","SRJN","GRD","BPN","IPK_CUM"
"P","EKO","G5","LL","PSN","PSN","IPK_CUM"
"L","AKU","G4","SMTA","LL","PS","IPK_CUM"
"P","HUK","G3","SMTA","LL","PSN","IPK_CUM"
"P","KOM","G4","SRJN","GRD","PSN","IPK_CUM"
"P","EKO","G4","SRJN","LL","GRD","IPK_CUM"
"P","HUK","G4","SRJN","PDG","PS","IPK_CUM"
"P","EKO","G2","SMTA","LL","PSN","IPK_CUM"
"P","EKO","G1","SD","BPN","BPN","IPK_CUM"
"P","AKU","G3","SMTA","LL","PS","IPK_CUM"
"P","EKO","G4","SRJN","GRD","PNS","IPK_CUM"
"P","HUK","G4","SMTA","PDG","PDG","IPK_CUM"
"L","HUK","G1","SMP","LL","PSN","IPK_CUM"
"P","HUK","G3","SRJN","PDG","PDG","IPK_CUM"
"P","AKU","G4","SRJN","LL","GRD","IPK_CUM"
"P","EKO","G5","SMTA","LL","PNS","IPK_CUM"
"P","AKU","G4","SRJN","GRD","GRD","IPK_CUM"
"P","EKO","G4","SMTA","LL","LL","IPK_CUM"
"P","HUK","G7","SRJN","PDG","PDG","IPK_CUM"
"P","HUK","G3","SMTA","PDG","PDG","IPK_CUM"
"L","HUK","G3","SRJN","LL","PS","IPK_CUM"
"P","HUK","G5","SRJN","GRD","GRD","IPK_CUM"
"P","AKU","G2","SRJN","PDG","PS","IPK_CUM"
"L","AKU","G5","SRJN","GRD","GRD","IPK_CUM"
"P","HUK","G3","SRJN","PDG","LL","IPK_CUM"
"P","AKU","G3","SRJN","LL","PDG","IPK_CUM"
"L","AKU","G4","SRJN","LL","PS","IPK_CUM"
"P","HUK","G3","SMP","PDG","PDG","IPK_CUM"
"P","HUK","G3","SMTA","PSN","PSN","IPK_CUM"
"P","HUK","G4","SRJN","PNS","PS","IPK_CUM"
"L","HUK","G4","SRJN","GRD","PDG","IPK_CUM"
"P","HUK","G3","SMTA","LL","PNS","IPK_CUM"
"P","AKU","G4","SMTA","LL","LL","IPK_CUM"
"P","EKO","G3","SMTA","LL","PSN","IPK_CUM"
"P","EKO","G2","SMTA","PS","PS","IPK_CUM"
"P","EKO","G2","SMTA","LL","PDG","IPK_CUM"
"L","HUK","G3","SRJN","GRD","GRD","IPK_CUM"
"L","HUK","G4","SRJN","PNS","PS","IPK_CUM"
"P","HUK","G1","SMTA","BPN","BPN","IPK_CUM"
"P","AKU","G3","SMP","LL","PDG","IPK_CUM"
"P","AKU","G4","SRJN","GRD","PSN","IPK_CUM"
"P","HUK","G2","SMP","LL","PDG","IPK_CUM"
"P","EKO","G4","SRJN","GRD","PS","IPK_CUM"
"L","AKU","G4","SRJN","PS","LL","IPK_CUM"
"P","HUK","G4","SMTA","PDG","PDG","IPK_CUM"
"P","EKO","G4","SRJN","GRD","LL","IPK_CUM"
"P","AKU","G4","SMP","LL","PSN","IPK_CUM"
"P","AKU","G3","SMP","PS","PDG","IPK_CUM"
"P","HUK","G3","SRJN","PDG","GRD","IPK_CUM"
"L","HUK","G3","SRJN","GRD","GRD","IPK_CUM"
"L","AKU","G7","SRJN","PS","PS","IPK_CUM"
"P","HUK","G3","SRJN","GRD","BPN","IPK_CUM"
"P","HUK","G4","SRJN","PNS","PNS","IPK_CUM"
"P","HUK","G4","SRJN","LL","PNS","IPK_CUM"
"P","AKU","G5","SRJN","LL","GRD","IPK_CUM"
"P","HUK","G3","SRJN","GRD","PDG","IPK_CUM"
"P","AKU","G4","SRJN","PS","PNS","IPK_CUM"
"L","EKO","G3","SMTA","PDG","PDG","IPK_CUM"
