,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,STATUS_LULUS
6031,P,HUK,G4,SRJN,PDG,PSN,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_B,LC
6214,L,HUK,G4,SRJN,PS,LL,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
1111,L,AKU,G4,SRJN,LL,PS,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
1812,P,EKO,G2,SMTA,PDG,PDG,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LLW
1013,P,AKU,G4,SMP,LL,BPN,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
5778,L,HUK,G6,SRJN,GRD,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
2292,P,EKO,G2,SMTA,LL,PDG,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
658,L,AKU,G4,SMTA,LL,PNS,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,LLW
6227,P,HUK,G4,SRJN,PNS,PS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LTW
3341,P,KOM,G7,SMTA,LL,PS,IPS1_SM,IPS2_M,SKS1_SB,SKS2_SB,LLW
872,L,AKU,G4,SRJN,GRD,PNS,IPS1_M,IPS2_KM,SKS1_SB,SKS2_B,LTW
1118,L,AKU,G7,SMTA,LL,GRD,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LTW
6053,L,HUK,G3,SRJN,GRD,GRD,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
848,P,AKU,G4,SRJN,PS,PS,IPS1_M,IPS2_M,SKS1_SB,SKS2_B,LLW
1089,P,AKU,G7,SRJN,PS,PDG,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LTW
2205,P,EKO,G5,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
5643,L,HUK,G6,SRJN,PNS,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,LLW
5380,P,HUK,G1,SMP,BPN,BPN,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_K,LTW
838,P,AKU,G3,SMTA,LL,PS,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LTW
1848,L,EKO,G3,SRJN,GRD,GRD,IPS1_SM,IPS2_M,SKS1_SB,SKS2_SB,LLW
2284,P,EKO,G3,SMTA,GRD,PDG,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,LTW
5756,L,HUK,G7,SRJN,LL,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,LLW
1777,P,EKO,G2,SMP,LL,PS,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
5491,L,HUK,G3,SMP,PDG,PDG,IPS1_M,IPS2_KM,SKS1_SB,SKS2_SB,LTW
6349,P,HUK,G4,SMTA,GRD,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LTW
5718,P,HUK,G4,SMTA,PS,PS,IPS1_SM,IPS2_M,SKS1_B,SKS2_SB,LTW
3313,P,KOM,G3,SRJN,PNS,PS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
5869,P,HUK,G3,SMTA,LL,PDG,IPS1_M,IPS2_M,SKS1_B,SKS2_SB,LTW
6246,L,HUK,G3,SRJN,PS,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
3149,L,KOM,G4,SD,PDG,PNS,IPS1_M,IPS2_SM,SKS1_SB,SKS2_SB,LLW
5900,L,HUK,G5,SRJN,LL,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,LLW
5964,L,HUK,G3,SMTA,LL,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
5148,P,HUK,G2,SD,PDG,LL,IPS1_SM,IPS2_M,SKS1_SB,SKS2_SB,LLW
3131,P,KOM,G2,SMTA,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
3180,L,KOM,G4,SMTA,PDG,PNS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
855,P,AKU,G3,SMTA,LL,PDG,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,LTW
3411,P,KOM,G4,SMTA,LL,LL,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
702,P,AKU,G4,SMTA,PNS,PNS,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,LC
6287,P,HUK,G3,SMTA,PDG,PS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LTW
1078,L,AKU,G2,SMTA,LL,BPN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LTW
