,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,IPK_TERAKHIR
3157,L,KOM,G7,SRJN,LL,PDG,2.23,2.9,IPK_M
669,P,AKU,G4,SRJN,PDG,PNS,2.71,2.57,IPK_M
5488,L,HUK,G7,SMTA,PDG,PDG,2.8,2.3,IPK_M
3124,L,KOM,G1,SRJN,LL,PS,3.14,2.96,IPK_M
5490,L,HUK,G4,SRJN,GRD,GRD,2.1,1.3,IPK_M
5933,L,HUK,G3,SD,PDG,PDG,2.2,2.0,IPK_M
1844,L,EKO,G3,SRJN,GRD,PNS,3.17,2.55,IPK_M
6052,L,HUK,G5,SRJN,GRD,PNS,2.6,1.1,IPK_M
6025,L,HUK,G1,SMTA,LL,LL,1.9,1.75,IPK_M
6006,L,HUK,G3,SMTA,PS,PS,2.1,2.4,IPK_M
5766,L,HUK,G4,SRJN,GRD,GRD,2.1,2.15,IPK_M
6327,L,HUK,G5,SRJN,LL,LL,2.5,2.7,IPK_M
6060,P,HUK,G5,SRJN,GRD,PNS,2.2,1.94,IPK_M
6183,P,HUK,G6,SMTA,PDG,PDG,3.1,2.86,IPK_M
