,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,IPK_TERAKHIR
289,L,FISIKA,G1,SMTA,LL,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
2284,P,IF,G2,SMP,LL,PS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
1635,P,BIO,G3,SMTA,PS,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
1654,P,BIO,G3,SMTA,PS,GRD,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,IPK_SM
1159,L,MTK,G3,SRJN,GRD,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
851,L,MTK,G3,SD,LL,GRD,IPS1_KM,IPS2_SM,SKS1_B,SKS2_C,IPK_SM
137,L,FISIKA,G1,SMTA,LL,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_SB,IPK_KM
1693,P,BIO,G3,SRJN,GRD,LL,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
865,P,MTK,G2,SD,LL,BPN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_C,IPK_SM
168,L,FISIKA,G2,SMP,LL,PSN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
1737,P,BIO,G4,SD,PDG,PS,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
1525,P,BIO,G4,SRJN,GRD,GRD,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
1116,P,MTK,G4,SMTA,BPN,GRD,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
888,P,MTK,G3,SMTA,PS,GRD,IPS1_SM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
1144,P,MTK,G5,SRJN,GRD,PDG,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
